N	3gram	Vinokur_Ku_3	Hudozhes
1	в том что	8	11
2	о том что	3	7
3	по отношению к	2	7
4	в то же	1	4
5	то же время	1	4
6	к тому что	1	4
7	с одной стороны	4	3
8	для того чтобы	11	3
9	тем не менее	9	3
10	в конечном счете	1	3
11	в самом деле	11	3
12	не может быть	3	3
13	все те же	1	2
14	так же как	1	2
15	и в то	1	2
16	и в этом	4	2
17	не только не	1	2
18	и т п	41	2
19	к тому же	2	2
20	не более чем	1	2
21	хотя бы и	1	2
22	ни одного слова	1	2
23	же самое что	1	2
24	того или иного	3	2
25	можно было бы	10	2
26	что она не	1	2
27	не только в	3	2
28	то же самое	1	2
29	и т д	8	2
30	только в том	2	2
31	с точки зрения	16	2
32	в данном случае	4	2
33	до сих пор	8	2
34	заключается в том	1	1
35	не только для	1	1
36	а в том	1	1
37	это отнюдь не	1	1
38	при этом что	2	1
39	во что бы	1	1
40	в таком случае	2	1
41	в одном из	1	1
42	в том числе	2	1
43	в том случае	4	1
44	самом деле не	2	1
45	бы то ни	1	1
46	и о них	1	1
47	именно потому что	1	1
48	системы и т	1	1
49	и при этом	1	1
50	что бы то	1	1
51	только для того	1	1
52	вслед за этим	1	1
53	никоим образом не	1	1
54	а с другой	3	1
55	и тех же	1	1
56	что и в	2	1
57	бы не было	1	1
58	чтобы не было	1	1
59	только о том	1	1
60	то ни стало	1	1
61	что он не	1	1
62	тот или иной	2	1
63	одних и тех	1	1
64	лишь в том	2	1
65	в то время	1	1
66	что если бы	1	1
67	мы тем не	1	1
68	как раз и	2	1
69	в этом случае	4	1
70	она не могла	1	1
71	то или иное	2	1
72	той или иной	5	1
73	и в самом	4	1
74	после того как	4	1
75	но все же	1	1
76	и что на	1	1
77	что на деле	1	1
78	с другой стороны	3	1
79	уже в том	1	1
80	друг от друга	1	1
81	в первом случае	2	1
82	если бы не	2	1
83	о том чтобы	1	1
84	а не как	1	1
85	как и всякая	1	1
86	на наших глазах	1	1
87	не то что	1	1
88	не иметь никакого	1	1
