N	2gram	Propp_Isto_7	Vladivir
1	и в	24	30
2	в этом	12	20
3	то что	7	20
4	у него	10	19
5	и не	4	18
6	в том	7	18
7	и с	1	14
8	же с	1	13
9	что он	21	13
10	в конце	3	13
11	не только	21	12
12	том что	10	12
13	там же	2	12
14	что в	13	12
15	как мы	3	11
16	в его	1	11
17	а в	10	11
18	сказать что	2	11
19	а также	1	10
20	и даже	3	10
21	все же	9	9
22	кроме того	3	9
23	было бы	2	9
24	не в	9	9
25	в то	2	9
26	не может	14	9
27	потому что	9	9
28	в своем	1	8
29	но в	5	8
30	что же	1	8
31	не мог	1	8
32	связи с	3	8
33	но и	11	8
34	в связи	2	8
35	вместе с	7	8
36	ни в	2	7
37	точки зрения	4	7
38	никогда не	4	7
39	не менее	5	7
40	может быть	14	7
41	а не	8	7
42	как это	2	7
43	между прочим	3	7
44	для нас	6	7
45	и все	6	7
46	он был	1	6
47	хотя и	3	6
48	и к	1	6
49	об этом	6	6
50	тем не	4	6
51	и его	3	6
52	то время	2	6
53	всякого рода	1	6
54	только в	6	6
55	а именно	6	6
56	прежде всего	2	6
57	о чем	1	6
58	к этому	2	6
59	жизни и	1	6
60	того же	2	5
61	и то	1	5
62	с этим	2	5
63	все эти	2	5
64	при этом	4	5
65	как и	6	5
66	в своей	1	5
67	в котором	2	5
68	по себе	1	5
69	так как	8	5
70	для себя	1	5
71	в дальнейшем	3	5
72	так и	5	5
73	с ним	5	5
74	другими словами	2	5
75	и что	10	5
76	того что	6	5
77	тот же	2	5
78	он уже	1	5
79	так что	3	5
80	но что	1	5
81	как бы	4	5
82	в основном	2	5
83	все это	8	5
84	из этого	1	5
85	то же	8	4
86	я не	1	4
87	то это	5	4
88	и он	3	4
89	в ней	1	4
90	и на	2	4
91	что его	2	4
92	с его	3	4
93	совсем не	1	4
94	отношение к	5	4
95	в которой	2	4
96	что это	6	4
97	в целом	1	4
98	в этой	1	4
99	и если	3	4
100	на его	2	4
101	в нем	6	4
102	он не	6	4
103	его в	3	4
104	мы знаем	2	4
105	в этих	13	4
106	мы должны	4	4
107	вот что	1	4
108	и о	2	4
109	здесь не	2	4
110	можно сказать	1	4
111	о том	9	4
112	конечно не	2	4
113	вовсе не	4	4
114	со стороны	2	4
115	именно в	1	4
116	после смерти	3	4
117	так же	6	4
118	с этой	6	4
119	но это	3	4
120	в начале	1	4
121	н я	1	4
122	и наконец	3	4
123	на этот	2	4
124	отношения к	1	3
125	нам кажется	1	3
126	и больше	1	3
127	и вот	1	3
128	во всех	7	3
129	но не	6	3
130	его на	2	3
131	как в	12	3
132	и как	1	3
133	более или	1	3
134	из этих	3	3
135	им в	2	3
136	всех этих	6	3
137	таким образом	7	3
138	те же	1	3
139	должен был	2	3
140	в них	3	3
141	должно быть	1	3
142	или менее	1	3
143	я его	1	3
144	с точки	1	3
145	не столько	3	3
146	что я	1	3
147	но он	2	3
148	не могли	1	3
149	вплоть до	2	3
150	к ней	2	3
151	где он	1	3
152	и это	2	3
153	вот и	1	3
154	никак не	1	3
155	что и	8	3
156	уже не	2	3
157	я в	1	3
158	уже в	3	3
159	в виде	1	3
160	здесь мы	5	3
161	даже и	1	3
162	дело в	1	3
163	сведения о	1	3
164	под влиянием	1	3
165	из трех	1	3
166	в данном	4	3
167	по существу	4	3
168	еще более	1	3
169	тем более	2	3
170	хотя бы	1	3
171	но вот	2	3
172	в таком	1	3
173	точно так	2	3
174	это в	1	3
175	цели но	1	2
176	увидим ниже	1	2
177	не имел	1	2
178	но тем	2	2
179	и есть	1	2
180	очень много	2	2
181	в чисто	1	2
182	из его	1	2
183	что эти	2	2
184	приходит к	3	2
185	мы уже	4	2
186	его не	2	2
187	что если	1	2
188	который был	1	2
189	время как	2	2
190	не вполне	3	2
191	как я	1	2
192	ему в	1	2
193	сказал ему	1	2
194	только после	2	2
195	признаки и	1	2
196	по своему	1	2
197	только тогда	1	2
198	себе и	3	2
199	он пишет	1	2
200	бог с	1	2
201	это тоже	1	2
202	он на	2	2
203	и хотя	1	2
204	в самом	2	2
205	бы с	1	2
206	еще один	2	2
207	во многих	2	2
208	как он	6	2
209	на то	3	2
210	не могла	1	2
211	три года	2	2
212	прочим и	2	2
213	том чтобы	3	2
214	и сам	1	2
215	на земле	2	2
216	и по	3	2
217	но дело	1	2
218	но все	4	2
219	это значит	2	2
220	в работе	1	2
221	и может	1	2
222	на все	1	2
223	это не	10	2
224	с начала	1	2
225	он все	1	2
226	однако здесь	1	2
227	кажется что	3	2
228	он же	1	2
229	на обратном	1	2
230	этого не	2	2
231	с тем	1	2
232	которой он	3	2
233	мы видели	7	2
234	мы не	4	2
235	на первый	4	2
236	и при	1	2
237	ли он	4	2
238	в их	4	2
239	он дает	3	2
240	к той	1	2
241	то с	1	2
242	мы пока	2	2
243	она не	2	2
244	не имеет	4	2
245	тогда когда	3	2
246	того как	3	2
247	было у	1	2
248	что вы	2	2
249	того и	1	2
250	по вопросу	1	2
251	не о	1	2
252	как будто	1	2
253	начиная с	1	2
254	и часто	1	2
255	ему все	2	2
256	к тому	1	2
257	а что	1	2
258	вы не	1	2
259	можно и	1	2
260	но по	2	2
261	не могу	1	2
262	без всякого	2	2
263	данном случае	3	2
264	возможно что	3	2
265	ничего не	5	2
266	со своей	2	2
267	второй половине	1	2
268	после того	4	2
269	в чем	5	2
270	и во	1	2
271	к нему	7	2
272	и она	3	2
273	в каких	2	2
274	от нас	1	2
275	него и	3	2
276	а то	1	2
277	ни с	2	2
278	себе в	1	2
279	друг друга	2	2
280	но уже	1	2
281	ее на	4	2
282	но из	1	2
283	для того	1	2
284	и из	1	2
285	здесь в	1	2
286	тут же	1	2
287	во второй	1	2
288	бытия в	1	2
289	что не	2	2
290	был в	2	2
291	та часть	1	2
292	если не	4	2
293	в частности	1	2
294	здесь можно	2	2
295	и потому	1	2
296	или по	1	2
297	можно было	1	2
298	вообще говоря	1	2
299	и от	2	2
300	обратном пути	1	2
301	к этой	1	2
302	даже после	1	2
303	же в	1	2
304	с ней	3	2
305	сколько угодно	1	2
306	есть и	4	2
307	можно назвать	1	2
308	не говорится	3	2
309	во сне	2	2
310	как известно	1	1
311	от этой	1	1
312	не прямо	1	1
313	и т	17	1
314	не должны	1	1
315	одним из	1	1
316	например в	3	1
317	в этот	1	1
318	в тех	5	1
319	и третий	1	1
320	и др	2	1
321	необходимо отметить	1	1
322	между двумя	1	1
323	и за	1	1
324	по его	2	1
325	и ясный	1	1
326	хлеб и	1	1
327	это объяснение	1	1
328	в несколько	1	1
329	есть не	1	1
330	характер его	1	1
331	отсюда видно	4	1
332	она ему	2	1
333	объявил что	1	1
334	этого нет	1	1
335	в первый	1	1
336	ответить на	1	1
337	пока только	1	1
338	случаях так	1	1
339	но она	1	1
340	что иное	1	1
341	требует от	1	1
342	ее отцу	1	1
343	оно есть	1	1
344	его никто	1	1
345	мне более	1	1
346	представление о	3	1
347	мы здесь	2	1
348	которые он	1	1
349	дать ему	1	1
350	в которых	1	1
351	бы то	1	1
352	этим не	2	1
353	за него	4	1
354	заключается не	1	1
355	самом деле	1	1
356	своей работе	1	1
357	его жены	2	1
358	то он	1	1
359	а только	1	1
360	и сл	1	1
361	не все	3	1
362	если в	2	1
363	не просто	2	1
364	бы что	1	1
365	земле в	1	1
366	до наших	1	1
367	что они	3	1
368	что два	1	1
369	лет с	1	1
370	во что	1	1
371	однако из	1	1
372	независимо от	1	1
373	что именно	1	1
374	еще из	1	1
375	некоторое время	1	1
376	туда и	1	1
377	этой стороны	3	1
378	еще больше	1	1
379	этом же	2	1
380	когда он	3	1
381	что по	2	1
382	духа и	1	1
383	самом начале	1	1
384	знаю что	2	1
385	и свою	1	1
386	за собой	1	1
387	та же	2	1
388	а последний	1	1
389	два обстоятельства	1	1
390	он в	2	1
391	тоже не	3	1
392	право на	5	1
393	думать что	2	1
394	при новом	1	1
395	непосредственно перед	1	1
396	если он	3	1
397	его но	1	1
398	что она	5	1
399	бы от	1	1
400	т д	16	1
401	после этого	3	1
402	в первую	7	1
403	на том	2	1
404	xix века	1	1
405	интерес представляет	1	1
406	важным из	1	1
407	ему на	1	1
408	его от	1	1
409	всех своих	1	1
410	так например	2	1
411	это конечно	2	1
412	сделать из	1	1
413	то ни	1	1
414	об этой	2	1
415	них не	1	1
416	а по	1	1
417	и иногда	1	1
418	а как	1	1
419	всех народов	1	1
420	в свое	1	1
421	приносит с	3	1
422	отца и	2	1
423	надо считать	1	1
424	в жизни	1	1
425	общественного развития	2	1
426	к области	1	1
427	до приезда	1	1
428	на которую	1	1
429	далеко не	1	1
430	для своего	1	1
431	на основании	1	1
432	мы имеем	12	1
433	как видно	1	1
434	со своими	1	1
435	уже у	1	1
436	что такого	1	1
437	здесь все	1	1
438	такой же	1	1
439	не понимает	1	1
440	с первых	1	1
441	можно только	1	1
442	не так	2	1
443	свойства она	1	1
444	во время	6	1
445	ему во	1	1
446	но если	1	1
447	от своего	1	1
448	будет в	1	1
449	при изучении	1	1
450	можно найти	2	1
451	взгляд на	1	1
452	и без	1	1
453	это делает	1	1
454	оказывается что	2	1
455	может сделать	1	1
456	своего рода	4	1
457	не путем	1	1
458	что имеет	1	1
459	нельзя было	1	1
