N	4gram	Vinokur_St_1	Problema
1	в то же время	4	3
2	не выходя за пределы	1	2
3	с другой же стороны	1	2
4	и в то же	1	2
5	дело в том что	4	1
6	не может быть признана	1	1
7	мы имеем дело с	1	1
8	что бы то ни	1	1
9	и в том и	1	1
10	она не могла бы	1	1
11	с одной стороны в	1	1
12	бы то ни стало	1	1
13	в то время как	1	1
14	именно в том что	1	1
15	если бы все эти	1	1
16	как бы они ни	1	1
17	которой можно было бы	1	1
18	не говоря уже о	1	1
19	и в области изучения	1	1
20	во что бы то	1	1
21	но в то же	2	1
22	и в этом отношении	1	1
23	в том смысле что	1	1
24	на то что в	2	1
25	бы они ни были	1	1
