N	3gram	Ircho_Kome_2	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	1	7
4	с одной стороны	2	6
5	в том что	5	5
6	едва ли не	5	4
7	с другой стороны	1	4
8	с точки зрения	1	3
9	по отношению к	3	3
10	речь идет о	2	3
11	о том что	4	2
12	не говоря уже	2	2
13	говоря уже о	2	2
14	и т п	2	2
15	за то что	4	2
16	в том числе	3	2
17	тем не менее	1	2
18	тех пор пока	1	1
19	мы имеем дело	1	1
20	же время он	1	1
21	то и вовсе	1	1
22	в соответствии с	1	1
23	себя в жизни	1	1
24	вместе с тем	4	1
25	что он не	1	1
26	в отличие от	2	1
27	бы то ни	2	1
28	том числе и	1	1
29	можно было бы	2	1
30	а то и	1	1
31	до тех пор	3	1
32	и вовсе не	1	1
33	и в то	1	1
34	в самом начале	2	1
35	у того же	2	1
36	не более чем	2	1
37	на протяжении многих	1	1
38	имеем дело с	1	1
39	в соединении с	1	1
40	как он был	1	1
41	в целом ряде	1	1
42	а нередко и	1	1
43	в частности в	2	1
44	в этом же	2	1
45	в свою очередь	1	1
46	речь шла о	1	1
47	той или иной	1	1
48	то ни было	2	1
49	после того как	2	1
50	к тому что	2	1
51	для того чтобы	4	1
52	как мы видели	1	1
53	и не менее	1	1
