N	2gram	Bakhtin_Fr_7	KulturaY
1	в том	11	30
2	и в	41	24
3	потому что	5	23
4	том что	4	21
5	что в	9	17
6	было бы	4	15
7	в этом	15	14
8	точки зрения	5	14
9	может быть	4	13
10	все же	1	12
11	таким образом	19	12
12	и не	7	12
13	в его	12	12
14	не в	9	11
15	только в	6	11
16	в самом	1	10
17	не только	5	10
18	в силу	1	10
19	у нас	1	10
20	вовсе не	7	10
21	самом деле	1	9
22	с точки	3	9
23	так как	3	9
24	о том	6	9
25	того что	2	9
26	отношению к	2	9
27	прежде всего	11	9
28	то что	8	9
29	а только	2	8
30	по отношению	2	8
31	уже не	2	8
32	то обстоятельство	1	8
33	то же	13	8
34	том чтобы	1	8
35	обстоятельство что	1	8
36	тем что	3	8
37	а не	2	8
38	не может	3	7
39	не трудно	1	7
40	это не	6	7
41	в них	7	7
42	связи с	1	7
43	в области	2	7
44	так и	10	7
45	бы в	2	7
46	в качестве	9	7
47	с помощью	6	7
48	как бы	7	7
49	вместе с	5	7
50	мы имеем	2	6
51	в ней	5	6
52	однако не	1	6
53	в которой	2	6
54	все эти	13	6
55	при этом	3	6
56	в которых	2	6
57	можно было	3	6
58	что он	3	6
59	но и	9	6
60	именно в	2	6
61	все это	10	6
62	например в	3	5
63	еще не	2	5
64	xix века	1	5
65	но не	1	5
66	не просто	2	5
67	что это	4	5
68	слово это	2	5
69	и с	4	5
70	но уже	1	5
71	рядом с	4	5
72	с тем	1	5
73	так сказать	3	5
74	и его	9	5
75	к тому	2	5
76	в виду	4	5
77	с ним	2	5
78	и что	1	5
79	между тем	1	5
80	еще и	1	5
81	всяком случае	1	5
82	в той	3	5
83	в результате	2	5
84	целый ряд	4	5
85	этом отношении	2	5
86	а в	5	5
87	во всяком	2	5
88	того же	3	4
89	это и	1	4
90	и на	4	4
91	с его	2	4
92	что они	1	4
93	как в	5	4
94	учение о	2	4
95	роль в	2	4
96	в нем	7	4
97	в данном	2	4
98	из области	1	4
99	речи в	1	4
100	тем самым	3	4
101	того как	5	4
102	к себе	1	4
103	не на	3	4
104	что и	5	4
105	с ними	3	4
106	должен быть	2	4
107	так что	1	4
108	есть в	6	4
109	не есть	2	4
110	из них	3	4
111	в частности	1	4
112	и потому	3	4
113	с этим	2	4
114	в тех	1	4
115	по существу	8	4
116	слова и	1	4
117	один из	1	4
118	же в	2	4
119	в этих	2	4
120	так же	5	4
121	и то	2	3
122	в первом	1	3
123	в котором	1	3
124	той же	3	3
125	в сущности	4	3
126	то мы	1	3
127	трудно видеть	1	3
128	в истории	1	3
129	в связи	2	3
130	в своем	9	3
131	хотя и	4	3
132	его к	3	3
133	более или	2	3
134	что слово	1	3
135	в этой	13	3
136	с их	1	3
137	в себе	11	3
138	должна быть	1	3
139	на том	2	3
140	и может	2	3
141	он есть	1	3
142	несмотря на	3	3
143	должно быть	4	3
144	или менее	2	3
145	в их	3	3
146	представление о	1	3
147	даже в	1	3
148	только и	1	3
149	это слово	1	3
150	из одного	4	3
151	оно не	2	3
152	свою очередь	3	3
153	здесь не	1	3
154	не с	1	3
155	том как	2	3
156	и здесь	4	3
157	этом смысле	1	3
158	культурного развития	1	3
159	мы увидим	1	3
160	уже в	5	3
161	себе в	1	3
162	в одном	3	3
163	связано с	2	3
164	уже и	1	3
165	даже и	1	3
166	не было	3	3
167	в особенности	2	3
168	и даже	1	3
