N	4gram	Trubetskoy_1	StatiiOP
1	дело в том что	1	4
2	в то же время	10	4
3	в том числе и	1	2
4	и в этом случае	1	2
5	заключается в том что	1	2
6	но в то же	1	2
7	этого прежде всего необходимо	1	1
8	может быть уверен в	1	1
9	что бы то ни	3	1
10	само собой разумеется что	1	1
11	только в том случае	2	1
12	быть уверен в том	1	1
13	говорить о том что	1	1
14	во всяком случае не	1	1
15	что с точки зрения	1	1
16	без всякого давления со	1	1
17	точно так же и	1	1
18	для этого прежде всего	1	1
19	во что бы то	3	1
20	не трудно видеть что	1	1
21	и в том и	2	1
22	только с точки зрения	1	1
23	всякого давления со стороны	1	1
24	также и то что	1	1
25	бы то ни стало	3	1
26	но как бы ни	1	1
27	уверен в том что	1	1
