N	3gram	Propp_Russ_2	Istorich
1	и т д	5	18
2	с другой стороны	1	8
3	с одной стороны	2	7
4	в этом случае	6	7
5	в этих случаях	3	6
6	вместе с тем	4	6
7	о том что	4	4
8	тем не менее	2	4
9	так же как	4	3
10	к заключению что	1	3
11	здесь мы имеем	1	3
12	но вместе с	2	3
13	т е в	5	3
14	в воду и	2	3
15	за тридевять земель	1	3
16	для того чтобы	6	3
17	как мы увидим	1	3
18	после того как	2	3
19	не может быть	3	3
20	о том как	1	2
21	в это время	1	2
22	можно наблюдать что	1	2
23	мы видели что	4	2
24	как и в	1	2
25	не будем здесь	2	2
26	но это не	1	2
27	в том что	18	2
28	же как и	2	2
29	мы не будем	2	2
30	мы здесь имеем	1	2
31	на то что	1	2
32	в некоторых случаях	1	2
33	что представление о	1	2
34	т е на	1	2
35	это показывает что	3	2
36	в данном случае	6	2
37	мы и здесь	1	2
38	но и в	1	2
39	так как в	1	2
40	и таким образом	1	2
41	но так как	1	2
42	потому что он	1	2
43	в том чтобы	2	2
44	подобно тому как	3	1
45	до некоторой степени	1	1
46	а и никифоров	1	1
47	можно найти в	1	1
48	вопрос о том	1	1
49	сюда же относится	1	1
50	все это показывает	3	1
51	в древние времена	1	1
52	мы указывали что	1	1
53	но и других	1	1
54	к этому же	1	1
55	сюда же можно	1	1
56	не говорится что	1	1
57	из того что	1	1
58	мы должны будем	1	1
59	должен быть признан	1	1
60	можно сказать что	1	1
61	это не совсем	1	1
62	речь будет ниже	1	1
63	всех этих случаях	1	1
64	видели что в	1	1
65	потому что в	1	1
66	дело представляется иначе	1	1
67	и в таком	1	1
68	иметь в виду	1	1
69	дело не в	1	1
70	не было ни	1	1
71	что такие представления	2	1
72	здесь еще не	1	1
73	и в других	4	1
74	и многие другие	2	1
75	представление о них	1	1
76	как и вообще	1	1
77	в то время	2	1
78	совершенно очевидно что	1	1
79	в некоторых местах	4	1
80	после этого они	1	1
81	и в мифе	1	1
82	вне связи с	1	1
83	таким образом в	1	1
84	в других местах	7	1
85	мы видели также	1	1
86	одна из наиболее	1	1
87	в землю и	1	1
88	потому что над	1	1
89	чем речь будет	1	1
90	круга представлений о	1	1
91	выше мы видели	1	1
92	в мировом фольклоре	1	1
93	как мы видели	1	1
94	в свете приведенных	1	1
95	в виду что	1	1
96	во многих отношениях	1	1
97	свете приведенных материалов	1	1
98	только тогда когда	3	1
99	т д с	1	1
100	к себе в	1	1
101	не совсем ясно	1	1
102	состоит не в	1	1
103	что один из	1	1
104	на другой день	2	1
105	то время как	1	1
106	представлений о том	1	1
107	в царство мертвых	1	1
108	мы уже знаем	1	1
109	в отличие от	3	1
110	это делается для	1	1
111	может быть не	1	1
112	во всех этих	1	1
113	же можно отнести	1	1
114	делается для того	1	1
115	а иногда и	1	1
116	во всяком случае	1	1
117	в свою очередь	1	1
118	выше мы указывали	2	1
119	получает свою силу	1	1
120	и привязывают к	1	1
121	в мифе часто	1	1
122	состоит в том	13	1
123	о чем речь	1	1
