N	2gram	Bakhtin_sl_2	Vvedenie
1	и т	35	42
2	т д	2	36
3	и в	39	32
4	в том	5	31
5	в этом	16	30
6	том что	5	26
7	может быть	37	26
8	не только	24	22
9	для того	2	21
10	того чтобы	2	20
11	таким образом	8	19
12	также и	2	18
13	то что	2	16
14	так как	4	15
15	не может	20	14
16	в самом	1	13
17	в нем	19	13
18	о том	2	13
19	в их	2	12
20	в его	7	12
21	того что	1	12
22	только в	5	12
23	и не	22	12
24	как мы	7	11
25	в данном	2	11
26	что такое	1	11
27	языка и	9	10
28	что в	3	10
29	то же	4	9
30	в истории	11	9
31	и как	3	9
32	но в	6	9
33	по себе	5	9
34	между тем	3	9
35	в той	4	9
36	науки о	1	8
37	это не	5	8
38	не в	9	8
39	тем не	1	8
40	не менее	4	8
41	с другой	5	8
42	именно в	2	8
43	но не	6	7
44	все же	6	7
45	точки зрения	8	7
46	в применении	1	7
47	филологии в	1	7
48	дело с	4	7
49	прежде всего	8	7
50	только как	1	7
51	смысле слова	1	6
52	и это	1	6
53	как он	2	6
54	широком смысле	1	6
55	его в	4	6
56	как и	6	6
57	представить себе	1	6
58	вовсе не	10	6
59	в то	4	6
60	в качестве	1	6
61	же время	4	6
62	тем что	1	6
63	не могут	5	6
64	один из	5	6
65	и его	33	6
66	истории языка	1	6
67	и даже	7	6
68	до сих	2	6
69	но и	21	6
70	а именно	2	6
71	применении к	1	6
72	сих пор	2	6
73	все это	16	6
74	хотя бы	3	6
75	одним из	2	5
76	а как	1	5
77	в целом	1	5
78	в широком	1	5
79	с их	3	5
80	об этом	1	5
81	на почве	4	5
82	и тем	1	5
83	в них	6	5
84	сказать что	3	5
85	могут быть	7	5
86	имеет дело	2	5
87	быть в	1	5
88	как например	2	5
89	уже в	2	5
90	т п	33	5
91	что не	1	5
92	а не	14	5
93	как бы	7	5
94	другой стороны	1	5
95	в какой	1	5
96	вместе с	2	5
97	как это	3	4
98	в чисто	3	4
99	той же	3	4
100	язык как	3	4
101	по отношению	4	4
102	не просто	1	4
103	независимо от	2	4
104	как уже	2	4
105	уже не	5	4
106	в себе	2	4
107	этот процесс	1	4
108	должен был	1	4
109	в своей	1	4
110	как о	2	4
111	только с	2	4
112	в каждом	1	4
113	здесь нет	1	4
114	и что	1	4
115	еще не	7	4
116	что он	2	4
117	и ее	1	4
118	с одной	5	4
119	в виде	2	4
120	одно из	1	4
121	всяком случае	2	4
122	как раз	1	4
123	этом отношении	3	4
124	даже и	4	4
125	науки в	1	4
126	в особенности	3	4
127	одной стороны	5	4
128	и обратно	1	4
129	или иначе	1	4
130	этом случае	6	4
131	и для	5	4
132	особого рода	1	4
133	а в	4	4
134	отношению к	4	4
135	во всяком	3	4
136	и есть	1	3
137	собственном смысле	3	3
138	в германии	2	3
139	что уже	1	3
140	в сущности	6	3
141	говорить о	3	3
142	в виду	1	3
143	и этого	1	3
144	и на	4	3
145	он сам	1	3
146	в различных	2	3
147	в чем	3	3
148	совсем не	1	3
149	сама по	3	3
150	стороны и	3	3
151	однако не	1	3
152	хотя и	2	3
153	и к	6	3
154	за собой	1	3
155	сливается с	4	3
156	бы и	3	3
157	все эти	6	3
158	в этой	1	3
159	что она	1	3
160	при этом	7	3
161	вообще не	1	3
162	на этом	3	3
163	на этой	1	3
164	и уже	1	3
165	мы видели	2	3
166	чем в	2	3
167	нисколько не	1	3
168	в этих	7	3
169	работы в	1	3
170	быта и	1	3
171	однако в	2	3
172	тогда когда	2	3
173	текста и	1	3
174	дело в	2	3
175	дело не	1	3
176	связи с	3	3
177	языков в	8	3
178	в области	2	3
179	языка в	6	3
180	но все	5	3
181	должен быть	2	3
182	в ней	3	3
183	в собственном	3	3
184	на том	1	3
185	во второй	1	3
186	чтобы понять	1	3
187	истории литературы	3	3
188	язык и	7	3
189	можно сказать	1	3
190	а также	3	3
191	или как	4	3
192	к нему	3	3
193	знания и	1	3
194	одной из	1	3
195	до нас	1	3
196	и других	4	3
197	в известной	1	3
198	в одном	2	3
199	в конце	1	3
200	что и	3	3
201	отношение к	4	3
202	может служить	1	3
203	свое выражение	1	3
204	именно как	2	3
205	или меньшей	1	3
206	до конца	17	3
207	говорит о	1	3
208	на основании	1	3
209	зависит от	1	3
210	от характера	2	3
211	да и	1	3
212	большей или	1	3
213	материал для	2	3
214	в своем	6	3
215	в филологии	1	3
216	sui generis	1	3
217	в результате	2	3
218	относящиеся к	1	3
219	к этому	1	3
220	в частности	1	3
221	гораздо более	1	3
222	языка с	2	2
223	наших дней	1	2
224	и до	1	2
225	от которых	1	2
226	должна быть	3	2
227	мы уже	2	2
228	есть не	1	2
229	мы не	2	2
230	изложения и	1	2
231	конца xviii	1	2
232	на тему	1	2
233	и со	1	2
234	так называемые	1	2
235	того же	1	2
236	литературы и	1	2
237	в создании	1	2
238	значение и	1	2
239	чем же	1	2
240	выражение в	1	2
241	от действительности	2	2
242	и те	1	2
243	свой материал	1	2
244	в другом	2	2
245	и с	9	2
246	них не	1	2
247	входит в	4	2
248	на протяжении	2	2
249	действительности в	1	2
250	в прошлом	2	2
251	но уже	1	2
252	о которых	1	2
253	и представить	1	2
254	этого не	1	2
255	несмотря на	1	2
256	как сказано	1	2
257	должно быть	1	2
258	и при	2	2
259	с точки	3	2
260	не столько	3	2
261	мысли и	1	2
262	тем именно	1	2
263	в отношении	4	2
264	на котором	2	2
265	того как	2	2
266	одна из	4	2
267	без остатка	1	2
268	никогда не	7	2
269	ничего не	1	2
270	не до	1	2
271	лежит в	1	2
272	как только	1	2
273	той или	5	2
274	рядом с	3	2
275	если же	1	2
276	то она	1	2
277	научной работы	1	2
278	в дальнейшем	2	2
279	значение в	2	2
280	и сам	1	2
281	так и	15	2
282	не с	3	2
283	мог бы	1	2
284	не нужно	1	2
285	не исчерпывается	1	2
286	для этого	4	2
287	к языку	1	2
288	и здесь	2	2
289	и должно	1	2
290	в значительной	6	2
291	во всех	12	2
292	тем или	1	2
293	нуждается в	2	2
294	в языке	2	2
295	в форме	2	2
296	язык в	6	2
297	вообще и	1	2
298	все время	1	2
299	единого и	2	2
300	этой почве	1	2
301	быть и	3	2
302	здесь не	4	2
303	для нее	1	2
304	именно на	2	2
305	своей целью	1	2
306	языка а	5	2
307	только на	1	2
308	мы можем	1	2
309	или иной	5	2
310	языка или	2	2
311	и др	4	2
312	них и	2	2
313	не было	2	2
314	в подлинном	1	2
315	языка не	4	2
316	ближе к	1	2
317	в связи	2	2
318	с помощью	4	2
319	все более	1	2
320	мы говорим	1	2
321	не влечет	1	2
322	с этим	2	2
323	этих случаях	2	2
324	целом ряде	1	2
325	этого слова	1	2
326	с изучением	1	2
327	еще раз	3	2
328	критикой и	1	2
329	но это	3	2
330	влечет за	1	2
331	которые были	1	2
332	и собственно	1	2
333	в более	2	2
334	это может	1	2
335	или нет	1	2
336	ни к	2	2
337	но зато	1	2
338	идет об	1	2
339	нами не	1	2
340	или иным	1	2
341	жизни и	6	2
342	и другие	2	2
343	языков а	2	1
344	было вполне	1	1
345	например в	5	1
346	словом как	1	1
347	оно входит	2	1
348	языку и	4	1
349	не остается	1	1
350	проблемы в	1	1
351	это и	2	1
352	как такового	1	1
353	в средние	1	1
354	например у	2	1
355	сохраняет свое	1	1
356	испытания в	3	1
357	установка на	2	1
358	можно говорить	2	1
359	речь идет	1	1
360	сюда входит	1	1
361	ведь и	2	1
362	в зависимости	4	1
363	отношения к	4	1
364	и за	1	1
365	и могут	1	1
366	совсем иным	1	1
367	и современной	1	1
368	опирающееся на	1	1
369	та же	1	1
370	нам в	1	1
371	его использования	1	1
372	его современников	1	1
373	требует от	2	1
374	все здесь	1	1
375	он отчетливо	1	1
376	для исторического	1	1
377	мы ее	1	1
378	слово не	1	1
379	к общему	1	1
380	и говорить	1	1
381	материала на	1	1
382	на них	2	1
383	что его	1	1
384	более того	2	1
385	то мы	1	1
386	и установлением	1	1
387	различия между	1	1
388	самих себя	1	1
389	самое содержание	1	1
390	но как	2	1
391	в сторону	1	1
392	всего он	1	1
393	в противовес	2	1
394	к слову	1	1
395	как в	13	1
396	в новом	2	1
397	этого типа	1	1
398	отличие от	13	1
399	и речи	2	1
400	связи и	2	1
401	им свой	1	1
402	необходимый для	1	1
403	материалом для	1	1
404	трудно сказать	1	1
405	не входят	2	1
406	от содержания	1	1
407	как к	3	1
408	и исторические	2	1
409	кроме того	2	1
410	слова своей	1	1
411	и художественного	1	1
412	более или	2	1
413	этой идеи	1	1
414	или иную	1	1
415	для которого	1	1
416	из самых	1	1
417	не приходится	3	1
418	с какой	1	1
419	и ясной	1	1
420	он в	1	1
421	что так	1	1
422	действительности а	1	1
423	поэтому при	1	1
424	конкретное единство	1	1
425	говорят о	1	1
426	оттенков и	1	1
427	на то	1	1
428	если он	1	1
429	но на	1	1
430	на его	2	1
431	больше всего	1	1
432	оно было	2	1
433	время и	1	1
434	слова а	1	1
435	не значит	1	1
436	язык дан	1	1
437	как часто	1	1
438	из него	2	1
439	его от	3	1
440	лишь с	1	1
441	одно и	1	1
442	и бытовым	1	1
443	поколений в	1	1
444	внешний характер	1	1
445	подход к	1	1
446	как они	1	1
447	факт что	2	1
448	нем есть	1	1
449	этой традиции	1	1
450	материала и	3	1
451	литературного языка	12	1
452	зрения на	2	1
453	лишь в	3	1
454	того или	1	1
455	то все	1	1
456	что неизбежно	1	1
457	уже сказано	2	1
458	чаще всего	1	1
459	особое отношение	1	1
460	его и	2	1
461	бы только	2	1
462	национальная культура	1	1
463	языков так	1	1
464	и совершается	1	1
465	в слове	6	1
466	не всегда	2	1
467	этим и	1	1
468	способы ее	1	1
469	проникая в	1	1
470	языка которая	1	1
471	этим в	1	1
472	автора и	2	1
473	одного и	1	1
474	язык но	3	1
475	и становится	1	1
476	или менее	2	1
477	в эту	1	1
478	его нельзя	1	1
479	его действий	1	1
480	никак не	1	1
481	в такой	1	1
482	и без	1	1
483	с идеей	1	1
484	тема может	1	1
485	и истолкованием	1	1
486	прийти к	1	1
487	от времени	1	1
488	почва для	1	1
489	в отличие	12	1
490	далее в	2	1
491	от его	1	1
492	образцы этого	1	1
493	становится предметом	2	1
494	должны были	1	1
495	мы теперь	1	1
496	для изучения	1	1
497	моментов но	1	1
498	точку зрения	3	1
499	заставляет нас	1	1
500	но он	2	1
501	но во	1	1
502	зависимости от	4	1
503	речи в	1	1
504	возможно только	1	1
505	языков и	9	1
506	вещей и	1	1
507	не была	3	1
508	этом и	1	1
509	а два	1	1
510	в историческом	2	1
511	например и	1	1
512	и своими	1	1
513	и разновидности	1	1
514	а наоборот	1	1
515	как будет	1	1
516	в таких	1	1
517	непосредственно и	1	1
518	мышления и	5	1
519	самого начала	1	1
520	точности и	2	1
521	нас и	1	1
522	ее с	1	1
523	к новым	1	1
524	было у	1	1
525	случае не	1	1
526	и имеет	1	1
527	опираться на	1	1
528	смысле которые	1	1
529	самого по	1	1
530	следовательно и	1	1
531	заключены в	1	1
532	источников в	1	1
533	с материалом	2	1
534	это то	1	1
535	и способы	1	1
536	слова как	2	1
537	она с	1	1
538	таким путем	1	1
539	на те	1	1
540	во всем	4	1
541	специфическое содержание	1	1
542	но теперь	1	1
543	слова о	2	1
544	входят в	2	1
545	из существенных	1	1
546	превращается в	1	1
547	в духе	1	1
548	она во	1	1
549	его нужно	2	1
550	чтобы увидеть	1	1
551	из самого	1	1
552	человека в	5	1
553	отличается от	2	1
554	языках и	1	1
555	и отдельных	1	1
556	содержанием и	1	1
557	анализа и	1	1
558	не предполагает	1	1
559	оно не	8	1
560	что при	1	1
561	утверждать что	1	1
562	но независимо	1	1
563	отсюда следует	1	1
564	смысле в	1	1
565	правда не	1	1
566	говорят на	1	1
567	языка по	1	1
568	дошедшие до	1	1
569	и о	1	1
570	как не	1	1
571	свою очередь	2	1
572	языки в	2	1
573	как один	1	1
574	без всякого	2	1
575	с каким	1	1
576	воплощен в	2	1
577	исторической жизни	3	1
578	чтобы быть	1	1
579	и этим	1	1
580	с самого	1	1
581	культуры и	1	1
582	их языком	1	1
583	с языком	2	1
584	как с	2	1
585	и которые	1	1
586	и глубины	1	1
587	еще в	1	1
588	интересом к	1	1
589	между собой	1	1
590	образом в	1	1
591	но здесь	4	1
592	дальнейшего развития	1	1
593	затем у	1	1
594	другими словами	1	1
595	может не	2	1
596	языке как	3	1
597	данного языка	2	1
598	должно было	1	1
599	это было	1	1
600	нем не	1	1
601	смысле не	1	1
602	когда оно	1	1
603	во всей	1	1
604	сомнения в	1	1
605	наконец в	4	1
606	также в	1	1
607	в свете	3	1
608	наук и	1	1
609	в лучшем	1	1
610	условия для	1	1
611	в литературе	1	1
612	в дальнейшей	1	1
613	от материала	2	1
614	а лишь	2	1
615	иной степени	3	1
616	всех его	3	1
617	дело здесь	1	1
618	себя в	8	1
619	первостепенное значение	1	1
620	языка совершенно	1	1
621	это остается	1	1
622	на всем	1	1
623	ряде случаев	1	1
624	и античным	1	1
625	своим собственным	1	1
626	языка как	7	1
627	кризиса и	1	1
628	а это	1	1
629	слова не	4	1
630	этого процесса	3	1
631	или даже	3	1
632	языка но	4	1
633	это требует	1	1
634	за ним	1	1
635	и соответствующего	1	1
636	для него	7	1
637	и художественно	2	1
638	вообще в	1	1
639	слова в	13	1
640	мы находим	1	1
641	к ним	1	1
642	и язык	4	1
643	у него	3	1
644	и никогда	1	1
645	ближайшим образом	1	1
646	момент в	1	1
647	самый стиль	1	1
648	этот последний	1	1
649	глубине и	1	1
650	из важнейших	2	1
651	как особое	1	1
652	говорим о	1	1
653	и т.п	2	1
654	язык во	1	1
655	здесь в	3	1
656	все равно	1	1
657	с той	1	1
658	на которые	1	1
659	предметом и	1	1
660	ее представители	1	1
661	и затем	2	1
662	но есть	1	1
663	связано с	3	1
664	не на	1	1
665	притом не	1	1
666	нужно сказать	1	1
667	поскольку она	1	1
668	тот факт	2	1
669	однако и	1	1
670	и внутренне	2	1
671	человек в	6	1
672	и художественном	1	1
673	чужую мысль	1	1
674	его собственной	1	1
675	и национальных	1	1
676	именно так	1	1
677	всегда и	1	1
678	мира в	1	1
679	в одно	2	1
680	для этой	1	1
681	во франции	2	1
682	здесь именно	1	1
683	и об	1	1
684	проникновения в	1	1
685	входить в	2	1
686	все то	1	1
687	ближе всего	1	1
688	во-вторых и	1	1
689	и особенно	2	1
690	и чистые	1	1
691	эта идея	2	1
692	слова хотя	1	1
693	и потому	7	1
694	философии языка	1	1
695	самой действительности	1	1
696	здесь уже	2	1
697	рода и	1	1
698	не одно	1	1
699	к своему	9	1
700	между языком	3	1
701	и языки	1	1
702	случае она	4	1
703	что одним	1	1
704	быть только	1	1
705	языке и	1	1
706	своего времени	1	1
707	находить и	1	1
708	культур в	1	1
709	или с	1	1
710	слова и	8	1
711	не касается	1	1
712	все зависит	1	1
713	как предмет	4	1
714	лучшем случае	1	1
715	в который	1	1
716	мира у	1	1
717	и часто	3	1
718	и более	2	1
719	слова но	1	1
720	и от	3	1
721	она может	2	1
722	что оно	4	1
723	своему предмету	5	1
724	это как	1	1
725	однако самая	1	1
726	для нас	5	1
727	из различных	1	1
728	всего что	1	1
729	и все	5	1
730	из себя	3	1
731	еще более	2	1
732	разной степени	1	1
733	на языке	1	1
734	же в	1	1
735	себя не	1	1
736	отношении к	4	1
737	в системе	1	1
738	может и	2	1
739	и прямо	2	1
740	в свою	3	1
741	письма и	1	1
742	работы и	2	1
743	средние века	1	1
744	не получила	1	1
745	эта установка	1	1
746	или иного	1	1
747	одновременно и	3	1
748	ко всему	1	1
749	только о	2	1
750	включает в	2	1
751	частности в	1	1
752	просто не	2	1
753	только одна	1	1
754	также не	1	1
755	в своих	1	1
756	в таком	4	1
757	все что	2	1
758	они не	2	1
759	которая не	1	1
