N	2gram	Berdyaev_O_1	Literetu
1	не только	11	24
2	но и	13	17
3	в том	5	16
4	а не	11	16
5	в частности	1	15
6	том что	2	14
7	может быть	11	13
8	сознания в	1	12
9	и не	13	12
10	в этом	12	12
11	в своем	2	11
12	прежде всего	9	11
13	в русской	3	10
14	то что	5	10
15	не в	11	8
16	и в	19	8
17	как это	1	8
18	как бы	3	7
19	в себе	3	7
20	в его	7	7
21	уже не	1	7
22	и я	1	6
23	как и	6	6
24	и сам	1	6
25	того что	3	6
26	в жизни	1	6
27	как в	1	5
28	что он	3	5
29	уже в	2	5
30	не может	4	5
31	с его	4	5
32	в своей	2	4
33	еще не	3	4
34	но не	1	4
35	в этой	5	4
36	все же	2	4
37	представляет собой	1	4
38	в силу	1	4
39	лишь в	7	4
40	в уме	1	4
41	и его	4	4
42	ведет к	1	4
43	никогда не	9	4
44	так и	2	4
45	из них	1	4
46	мир в	1	4
47	в конце	1	4
48	со стороны	1	4
49	это не	3	4
50	в своих	3	4
51	например в	1	3
52	и есть	3	3
53	тем же	1	3
54	также и	1	3
55	в самом	5	3
56	с их	1	3
57	его в	2	3
58	в душе	2	3
59	он и	1	3
60	художественного творчества	1	3
61	но в	2	3
62	дело в	1	3
63	одна из	1	3
64	свое собственное	1	3
65	всего в	2	3
66	в виду	1	3
67	особый мир	1	3
68	нуждается в	1	3
69	по своей	1	3
70	один из	1	3
71	и прежде	1	3
72	потому что	9	3
73	одно из	2	3
74	у него	22	3
75	и даже	1	3
76	не было	9	3
77	мира в	1	3
78	да и	1	3
79	жизни и	1	3
80	что в	4	3
81	а в	5	3
82	свободы от	1	3
83	же и	1	3
84	во всяком	1	3
85	внутренней свободы	1	2
86	чтобы не	1	2
87	человека и	10	2
88	и то	2	2
89	самом деле	1	2
90	от самого	2	2
91	должна быть	1	2
92	та же	1	2
93	в сущности	1	2
94	во имя	3	2
95	то он	1	2
96	и нет	2	2
97	все эти	4	2
98	не оставляет	1	2
99	с чем	2	2
100	в нем	10	2
101	же это	2	2
102	различие между	3	2
103	самим собой	1	2
104	было бы	3	2
105	всяком случае	1	2
106	для многих	1	2
107	в россии	5	2
108	ничего кроме	2	2
109	виду не	1	2
110	было у	1	2
111	жизни не	1	2
112	в сознании	1	2
113	как будто	1	2
114	этом отношении	1	2
115	могут быть	3	2
116	у достоевского	19	2
117	в мире	1	2
118	ту же	1	2
119	в другом	2	2
120	о том	3	2
121	все та	1	2
122	мир и	1	2
123	своей глубине	1	2
124	хотя бы	3	2
125	их не	2	2
126	человеческого духа	3	2
127	что не	4	2
128	вл соловьева	1	2
129	что для	2	2
130	для него	5	2
131	а потому	1	2
132	не случайно	1	2
133	тем что	2	2
134	нет ничего	7	2
135	русской литературы	1	2
136	можно было	1	2
137	в сферу	1	2
138	своем я	1	2
139	особого рода	1	2
140	не есть	2	2
141	ко всему	1	2
142	и наказания	1	1
143	кто бы	1	1
144	частности может	1	1
145	от самой	1	1
146	о любви	2	1
147	на самом	1	1
148	между двумя	1	1
149	к другому	1	1
150	этому произведению	1	1
151	достоевского в	3	1
152	который в	1	1
153	есть не	1	1
154	мы не	1	1
155	преступления и	1	1
156	уверен что	1	1
157	вопрос о	10	1
158	не читает	1	1
159	жизни как	1	1
160	и он	8	1
161	не иметь	1	1
162	достоевского с	2	1
163	он был	8	1
164	он сам	4	1
165	и нигде	1	1
166	так любит	1	1
167	во внешнем	1	1
168	к которой	1	1
169	отношение к	5	1
170	что они	2	1
171	человеческого достоинства	1	1
172	природы это	1	1
173	толстого и	1	1
174	в центре	1	1
175	в одной	1	1
176	как к	2	1
177	на человека	1	1
178	и как	1	1
179	духа и	1	1
180	то в	1	1
181	за собой	1	1
182	в которой	2	1
183	он в	2	1
184	говорят о	1	1
185	на то	1	1
186	как мыслитель	1	1
187	он не	7	1
188	от которого	1	1
189	ключ к	1	1
190	к одному	1	1
191	и вот	3	1
192	и более	1	1
193	в борьбе	1	1
194	и природой	1	1
195	имя свободы	1	1
196	ни был	1	1
197	человека в	11	1
198	в каждом	1	1
199	и с	2	1
200	его принадлежности	1	1
201	это было	3	1
202	в глазах	1	1
203	смерть и	1	1
204	жизни человека	1	1
205	в них	1	1
206	бытие и	1	1
207	в ее	2	1
208	с тем	2	1
209	всю жизнь	1	1
210	романы достоевского	1	1
211	должно быть	2	1
212	со всей	1	1
213	в этих	3	1
214	места в	1	1
215	в отношении	1	1
216	как глубоко	1	1
217	быть он	1	1
218	одном из	1	1
219	в поэме	1	1
220	права на	1	1
221	который всегда	1	1
222	если бы	1	1
223	не могли	2	1
224	как от	1	1
225	быть не	1	1
226	вовсе не	1	1
227	на свободу	1	1
228	что есть	2	1
229	она не	1	1
230	не имеет	2	1
231	лишь способ	1	1
232	ее с	1	1
233	у кого	2	1
234	есть путь	1	1
235	в форму	1	1
236	показывает нам	1	1
237	о нем	1	1
238	достоевским в	1	1
239	с другом	1	1
240	перед ним	1	1
241	бог и	1	1
242	своего сознания	1	1
243	вл соловьев	1	1
244	отличается от	1	1
245	души человеческой	1	1
246	быть назван	1	1
247	типа есть	1	1
248	можно и	1	1
249	людей в	1	1
250	с каким	1	1
251	и от	3	1
252	россии в	2	1
253	мысль о	2	1
254	не те	1	1
255	он говорит	1	1
256	жизнь а	1	1
257	собой в	1	1
258	же принадлежит	1	1
259	быть может	3	1
260	в эпоху	1	1
261	его романов	1	1
262	ведет свое	1	1
263	но может	1	1
264	никогда и	2	1
265	и здесь	1	1
266	люди с	1	1
267	и что	1	1
268	его жизни	1	1
269	это должно	1	1
270	самому себе	1	1
271	все в	4	1
272	достоевского всегда	1	1
273	к нему	3	1
274	которых в	1	1
275	что же	2	1
276	и других	1	1
277	не идет	1	1
278	было и	1	1
279	между этими	1	1
280	бы ни	1	1
281	со всеми	1	1
282	с какой	1	1
283	человеческой личности	6	1
284	самой жизни	1	1
285	кажется что	1	1
286	чего бы	1	1
287	не так	1	1
288	русской и	1	1
289	в котором	1	1
290	в одном	1	1
291	никто не	3	1
292	так как	2	1
293	может служить	1	1
294	отношении к	1	1
295	и бесконечно	2	1
296	свободу в	1	1
297	художник не	1	1
298	а те	1	1
299	что и	2	1
300	для художника	1	1
301	человека а	2	1
302	с той	1	1
303	а с	1	1
304	во внешней	1	1
305	записки из	3	1
306	него из	1	1
307	не делает	1	1
308	стремится к	1	1
309	до конца	7	1
310	и завершает	1	1
311	человек в	1	1
312	есть лишь	4	1
313	проникновения в	1	1
314	в творчестве	5	1
315	него в	5	1
316	красоте если	1	1
317	но сам	1	1
318	и на	2	1
319	в чистом	1	1
320	в мир	1	1
321	мотив в	1	1
322	с тобой	1	1
323	ней не	1	1
324	в это	1	1
325	как например	1	1
326	свободы в	1	1
327	и о	2	1
328	о его	5	1
329	природу и	1	1
330	другом месте	1	1
331	и ему	1	1
332	достоевского но	2	1
333	и состоит	1	1
334	в силах	1	1
335	от него	7	1
336	и все	10	1
337	пределы искусства	1	1
338	жизни в	2	1
339	сказать что	2	1
340	состоит из	1	1
341	была бы	1	1
342	от всех	1	1
343	совершенно не	1	1
344	к этой	2	1
345	он лишь	3	1
346	к этому	2	1
347	все что	3	1
