N	3gram	Bakhtin_Fr_2	Dialekti
1	с точки зрения	5	9
2	в том что	1	9
3	ровно ничего не	1	6
4	не может быть	4	6
5	то же время	6	6
6	в то же	6	6
7	есть то что	1	5
8	для того чтобы	1	5
9	подобно тому как	2	4
10	только тогда когда	1	4
11	и той же	1	3
12	одной и той	1	3
13	на то что	1	3
14	в чем же	1	2
15	и в то	2	2
16	ни в коем	1	2
17	в собственном смысле	2	2
18	в коем случае	1	2
19	но в то	3	2
20	ни на что	1	2
21	по сравнению с	2	2
22	вовсе не в	1	2
23	начале и конце	1	2
24	но прежде всего	3	1
25	но это есть	1	1
26	только потому что	1	1
27	прежде всего в	1	1
28	дело в том	1	1
29	в силу того	1	1
30	самом же деле	1	1
31	вполне понятно что	2	1
32	именно в этом	1	1
33	не входит в	1	1
34	и та же	1	1
35	можно сказать что	2	1
36	когда вся жизнь	1	1
37	на самом же	1	1
38	в себе и	2	1
39	до некоторой степени	1	1
40	в меру своей	1	1
41	свой смысл и	1	1
42	в виду в	1	1
43	и этот момент	1	1
44	содержит в себе	2	1
45	не только в	5	1
46	в конце концов	1	1
47	в сущности это	1	1
48	ничего не дает	2	1
49	рождение и смерть	1	1
50	мы будем говорить	1	1
51	пределах одной и	1	1
52	собственном смысле мы	1	1
53	в этом случае	1	1
54	одна и та	1	1
55	о том что	3	1
56	мы можем сказать	1	1
57	не только не	1	1
58	в пределах одной	2	1
59	и не может	1	1
60	и прежде всего	1	1
61	он как бы	2	1
62	как бы второе	1	1
63	но все же	2	1
64	включает в себя	2	1
65	нужно сказать что	3	1
66	с другой стороны	3	1
67	после того как	1	1
68	это как бы	1	1
69	мы сказали что	1	1
70	новой точки зрения	1	1
71	но также и	1	1
72	можем сказать что	1	1
