N	2gram	Tiupa_Narr_1	UchenyiS
1	и в	11	14
2	а не	13	10
3	не только	31	10
4	прежде всего	4	8
5	и не	23	8
6	не может	8	7
7	в этом	12	7
8	то что	9	7
9	может быть	15	6
10	в искусстве	1	6
11	то же	8	5
12	и только	2	5
13	художественное произведение	1	5
14	все это	1	5
15	хотя бы	2	5
16	с другой	2	4
17	но и	27	4
18	в их	1	4
19	в конечном	3	4
20	конечном счете	1	4
21	в этой	6	4
22	то ни	1	3
23	и то	3	3
24	это не	3	3
25	как и	13	3
26	для этого	1	3
27	в частности	14	3
28	в своей	5	3
29	или точнее	1	3
30	и т.д	6	3
31	бы то	1	3
32	в то	4	3
33	все же	4	3
34	но в	7	3
35	же время	4	3
36	в области	2	3
37	у нас	3	3
38	другой стороны	2	3
39	для него	4	3
40	не как	1	3
41	ни было	1	3
42	не о	2	3
43	крайней мере	1	2
44	одним из	1	2
45	и с	3	2
46	и через	2	2
47	а его	2	2
48	до сих	2	2
49	это было	2	2
50	самом деле	3	2
51	в итоге	1	2
52	мы не	3	2
53	не приходится	1	2
54	о чем	4	2
55	является в	1	2
56	если бы	7	2
57	что мы	2	2
58	ничего не	2	2
59	если не	2	2
60	том что	7	2
61	материал для	1	2
62	сводится к	3	2
63	но даже	1	2
64	мы и	1	2
65	этого термина	1	2
66	меньшей степени	2	2
67	надо было	1	2
68	ни от	2	2
69	нас в	2	2
70	с его	4	2
71	но не	4	2
72	в противовес	3	2
73	не все	1	2
74	в его	6	2
75	по крайней	1	2
76	что и	1	2
77	по себе	4	2
78	сих пор	2	2
79	но это	1	2
80	в том	8	2
81	это уже	3	2
82	и для	2	2
83	что он	3	2
84	роль не	1	2
85	в себе	6	2
86	при таком	1	2
87	в самом	6	2
88	между тем	3	2
89	и у	1	2
90	только в	12	2
91	не в	6	2
92	для всех	1	2
93	и является	2	2
94	вопроса о	1	2
95	как принцип	1	2
96	все они	1	2
97	этом отношении	3	2
98	его и	2	2
99	могут быть	1	2
100	в конце	2	2
101	а о	2	2
102	же самое	2	2
103	не случайно	1	2
104	как раз	6	2
105	тем что	1	2
106	что она	1	2
107	таким образом	1	2
108	правило не	1	1
109	в последние	1	1
110	конструктивный принцип	1	1
111	об этом	6	1
112	же как	1	1
113	в исторической	1	1
114	даже не	1	1
115	то есть	9	1
116	в виду	1	1
117	сам по	1	1
118	говорить не	1	1
119	входит в	2	1
120	данном случае	8	1
121	в период	1	1
122	для читателя	1	1
123	или меньшей	1	1
124	было и	2	1
125	в произведении	2	1
126	в пределах	2	1
127	сам автор	1	1
128	что для	1	1
129	слова а	1	1
130	никогда не	4	1
131	произведение как	1	1
132	так и	5	1
133	по его	1	1
134	одной стороны	1	1
135	той же	1	1
136	в сфере	2	1
137	не меньшей	1	1
138	этого не	2	1
139	столько же	2	1
140	до конца	2	1
141	с тем	1	1
142	мы имеем	3	1
143	сдвиг в	1	1
144	детали как	2	1
145	обращение к	1	1
146	со своими	1	1
147	смысле можно	1	1
148	в не	1	1
149	и даже	2	1
150	любопытно что	1	1
151	иначе говоря	8	1
152	и слово	1	1
153	можно сказать	5	1
154	не вполне	2	1
155	или менее	1	1
156	о нем	3	1
157	сводятся к	2	1
158	произведения как	1	1
159	приводит к	1	1
160	о том	4	1
161	историю в	2	1
162	в ней	4	1
163	и потому	1	1
164	в котором	1	1
165	она в	2	1
166	его собственному	1	1
167	он был	1	1
168	в различных	1	1
169	быть в	1	1
170	из которых	1	1
171	в значительной	1	1
172	под понятие	1	1
173	в той	2	1
174	словами как	1	1
175	своей работе	1	1
176	в данном	11	1
177	не то	1	1
178	не входит	1	1
179	того что	4	1
180	разрыв с	1	1
181	в которых	1	1
182	их в	3	1
183	друг с	1	1
184	в наиболее	2	1
185	ней не	1	1
186	что этот	1	1
187	на то	2	1
188	быть не	3	1
189	и вся	1	1
190	его как	1	1
191	отнюдь не	2	1
192	она не	2	1
193	еще раз	3	1
194	в преодолении	1	1
195	его на	1	1
196	но тут	1	1
197	большей или	2	1
198	восемь лет	1	1
199	в своем	3	1
200	может обойтись	1	1
201	но для	3	1
202	в большей	1	1
203	которой и	1	1
204	и все	3	1
205	того как	1	1
206	тот же	1	1
207	более или	1	1
208	не существует	3	1
209	которое мы	1	1
210	всего лишь	3	1
211	он уже	2	1
212	по мнению	1	1
213	в которой	1	1
214	о котором	1	1
215	бы ни	1	1
216	это то	1	1
217	не было	3	1
218	с одной	1	1
219	для наиболее	1	1
220	значимость и	2	1
221	с которыми	1	1
222	в качестве	14	1
223	но именно	3	1
224	тем более	1	1
225	случае он	1	1
226	в известном	2	1
227	начала и	3	1
228	этого построения	1	1
229	уже не	8	1
230	далеко не	1	1
231	то и	1	1
232	же в	2	1
233	направлено на	1	1
234	и всей	1	1
235	не столь	2	1
236	что было	1	1
237	в нем	4	1
238	на роль	1	1
239	или даже	1	1
240	или просто	2	1
241	с другом	1	1
242	он не	3	1
243	а для	3	1
244	сказать что	2	1
245	впервые в	1	1
246	он и	2	1
247	что еще	1	1
248	думает о	1	1
249	в свое	1	1
250	это верно	1	1
251	может служить	3	1
252	содержание в	1	1
253	у него	7	1
254	само по	1	1
255	мы можем	2	1
256	него уже	1	1
257	и делает	1	1
258	к этому	1	1
259	что в	3	1
260	в таком	2	1
261	все что	2	1
262	от которой	1	1
