N	2gram	Vygotskiy__1	Sovremen
1	не может	12	17
2	может быть	14	12
3	точки зрения	26	12
4	таким образом	26	11
5	мы не	7	9
6	в этом	17	7
7	не можем	1	7
8	и в	23	7
9	мы можем	6	6
10	ничего не	3	6
11	как и	14	6
12	и не	9	6
13	в результате	4	6
14	и наконец	2	5
15	все эти	4	5
16	что же	1	5
17	прежде всего	10	5
18	с точки	18	5
19	в дальнейшем	1	4
20	в зависимости	2	4
21	вопрос о	7	4
22	зависимости от	2	4
23	мы должны	5	4
24	в том	24	4
25	в целом	20	4
26	если мы	2	4
27	из них	1	4
28	так как	7	4
29	мы видели	2	4
30	не только	16	4
31	системы в	2	4
32	в развитии	12	4
33	с помощью	13	4
34	как бы	11	4
35	вместе с	9	4
36	это не	1	4
37	точку зрения	2	4
38	их в	4	4
39	а в	2	4
40	жизни и	2	4
41	он может	2	3
42	в первом	2	3
43	с самого	8	3
44	на две	3	3
45	то же	8	3
46	ясно что	2	3
47	и т.д	5	3
48	но мы	1	3
49	между собой	5	3
50	может не	3	3
51	видели что	1	3
52	отнюдь не	1	3
53	все же	3	3
54	еще не	1	3
55	но в	5	3
56	он в	3	3
57	у каждого	1	3
58	в этой	7	3
59	в себе	6	3
60	уже в	3	3
61	как он	3	3
62	в наших	3	3
63	что она	4	3
64	в одном	4	3
65	в конце	2	3
66	в нем	1	3
67	при этом	4	3
68	на этой	1	3
69	и мы	3	3
70	было бы	4	3
71	а не	3	3
72	и потому	2	3
73	мы называем	3	3
74	не в	4	3
75	все это	6	3
76	самого начала	8	3
77	и все	5	3
78	поэтому мы	1	3
79	и к	4	3
80	когда мы	1	3
81	отличается от	1	3
82	в области	3	3
83	как известно	3	2
84	как мы	5	2
85	свою очередь	3	2
86	приводит к	4	2
87	той же	2	2
88	каждого из	2	2
89	на этом	2	2
90	и даже	2	2
91	говорить о	2	2
92	только так	1	2
93	и что	5	2
94	на другом	1	2
95	на их	2	2
96	самом деле	3	2
97	в его	14	2
98	и будет	1	2
99	может иметь	1	2
100	с этим	6	2
101	в самом	7	2
102	по мнению	1	2
103	в которой	3	2
104	что это	3	2
105	в нашем	2	2
106	из этих	3	2
107	с одной	8	2
108	со всеми	2	2
109	первый период	1	2
110	уже не	2	2
111	то и	3	2
112	с другом	4	2
113	в виде	2	2
114	на его	1	2
115	тем не	1	2
116	мы знаем	1	2
117	всяком случае	3	2
118	у него	1	2
119	отличие от	1	2
120	ее на	4	2
121	но все	2	2
122	что все	4	2
123	значение в	3	2
124	или иной	1	2
125	развития в	2	2
126	результаты своих	1	2
127	и пр	2	2
128	на этот	3	2
129	которой он	1	2
130	мы с	1	2
131	такой же	3	2
132	конце развития	1	2
133	в один	2	2
134	свою собственную	2	2
135	он должен	2	2
136	из которых	3	2
137	в отличие	1	2
138	знаем что	1	2
139	такого рода	1	2
140	друг с	4	2
141	пока наконец	1	2
142	не менее	1	2
143	о значении	1	2
144	можно назвать	2	2
145	на котором	1	2
146	и именно	1	2
147	этих двух	3	2
148	в новых	3	2
149	мы видим	4	2
150	не дает	1	2
151	в свою	4	2
152	наконец не	1	2
153	совершенно не	1	2
154	могут быть	3	2
155	что при	1	2
156	же самое	3	2
157	что в	14	2
158	помощью которых	1	2
159	в таком	1	2
160	во всяком	3	2
161	и наиболее	2	1
162	физическими и	1	1
163	должен быть	4	1
164	и это	3	1
165	для этих	1	1
166	речи мы	4	1
167	существующими в	1	1
168	всегда останется	1	1
169	совершенно бессильна	1	1
170	человека и	3	1
171	функции в	4	1
172	как происходит	1	1
173	с ее	1	1
174	на другой	1	1
175	на самом	1	1
176	шаг за	2	1
177	этот метод	2	1
178	но тем	2	1
179	мы имели	1	1
180	рассмотрение и	1	1
181	между двумя	2	1
182	отношению к	7	1
183	и до	2	1
184	бы к	1	1
185	не имеют	1	1
186	от всяких	1	1
187	иметь место	1	1
188	входящих в	1	1
189	можно было	3	1
190	нашей науки	2	1
191	мы уже	1	1
192	из всех	2	1
193	есть не	2	1
194	здесь нет	1	1
195	различные функции	1	1
196	же как	6	1
197	еще в	1	1
198	двух и	1	1
199	же мере	3	1
200	поэтому в	2	1
201	если бы	5	1
202	эта функция	1	1
203	и действительно	1	1
204	мы всегда	1	1
205	к началу	1	1
206	плоскость в	1	1
207	для нашей	1	1
208	на элементы	6	1
209	сдвигается к	1	1
210	о том	6	1
211	в ней	1	1
212	и та	1	1
213	одного из	3	1
214	которую можно	1	1
215	на них	1	1
216	все его	1	1
217	быть в	1	1
218	и методологической	1	1
219	же время	2	1
220	функциями в	1	1
221	что его	2	1
222	от другой	1	1
223	с его	4	1
224	во всех	3	1
225	мы намерены	1	1
226	раз и	1	1
227	данные которые	1	1
228	путь для	1	1
229	данном случае	2	1
230	но не	4	1
231	к этому	4	1
232	которых в	1	1
233	мы будем	1	1
234	и основное	1	1
235	перед глазами	1	1
236	при исследовании	1	1
237	функций в	1	1
238	в конечном	1	1
239	конечном счете	1	1
240	по отношению	7	1
241	позволит нам	1	1
242	очередь на	1	1
243	во всей	4	1
244	одна не	1	1
245	крайней мере	1	1
246	вообще и	1	1
247	один и	1	1
248	в ту	2	1
249	все время	6	1
250	чем же	1	1
251	идет о	2	1
252	независимо от	6	1
253	стороны и	1	1
254	этого развития	1	1
255	значит что	1	1
256	более и	2	1
257	мы получили	2	1
258	известном смысле	2	1
259	один из	2	1
260	кроме того	1	1
261	вся остальная	1	1
262	и критика	1	1
263	одной из	1	1
264	в одинаковой	2	1
265	главе мы	1	1
266	в действительности	1	1
267	развития все	1	1
268	только в	6	1
269	положение в	1	1
270	на какой	1	1
271	за собой	2	1
272	почти совершенно	1	1
273	то он	1	1
274	та же	1	1
275	целого на	1	1
276	до наших	1	1
277	в известном	2	1
278	остановиться на	1	1
279	или нарушения	1	1
280	нами в	2	1
281	этот вопрос	3	1
282	и у	1	1
283	и те	2	1
284	то этим	1	1
285	вопрос и	2	1
286	и если	3	1
287	объяснения и	2	1
288	научного знания	1	1
289	а это	1	1
290	по самому	1	1
291	чтобы он	1	1
292	т.е она	1	1
293	он не	5	1
294	и еще	1	1
295	искать в	1	1
296	себе в	1	1
297	эти три	2	1
298	центр тяжести	1	1
299	к одному	1	1
300	дела не	1	1
301	как их	1	1
302	физические и	1	1
303	по существу	4	1
304	другую сторону	1	1
305	вовсе не	3	1
306	хода развития	1	1
307	для них	1	1
308	как его	1	1
309	но что	1	1
310	какой бы	1	1
311	одной и	2	1
312	бы все	1	1
313	заключает в	1	1
314	в основу	2	1
315	не хотим	2	1
316	по его	1	1
317	зрения с	2	1
318	это значит	1	1
319	а затем	5	1
320	факт что	3	1
321	нет нужды	1	1
322	в совершенно	1	1
323	что произошло	1	1
324	в другом	7	1
325	одной стороны	9	1
326	живой жизни	1	1
327	и речи	38	1
328	мы это	1	1
329	развития на	1	1
330	до сих	4	1
331	с другой	10	1
332	на ее	2	1
333	образом если	1	1
334	этим вопросом	1	1
335	самом конце	1	1
336	дальнейшем и	1	1
337	нельзя сказать	1	1
338	именно в	6	1
339	уже знаем	1	1
340	этом смысле	1	1
341	мы постараемся	1	1
342	должен был	1	1
343	в природе	3	1
344	к области	1	1
345	ни в	4	1
346	позволяет ему	1	1
347	окружающих его	1	1
348	не было	1	1
349	остается еще	2	1
350	и составляет	1	1
351	на которых	2	1
352	и вся	1	1
353	всегда и	3	1
354	несмотря на	2	1
355	для чего	1	1
356	развиваются в	1	1
357	должно быть	2	1
358	неверной и	1	1
359	и следовательно	3	1
360	связей и	2	1
361	том что	21	1
362	в эту	1	1
363	все более	3	1
364	но если	1	1
365	и при	2	1
366	далее что	1	1
367	сказать так	1	1
368	таким же	1	1
369	так же	16	1
370	в такой	3	1
371	мы конечно	1	1
372	почти не	1	1
373	мы говорим	1	1
374	тот факт	1	1
375	что вся	1	1
376	представление о	2	1
377	направление в	1	1
378	выполнять в	1	1
379	по многим	1	1
380	от его	1	1
381	в область	1	1
382	в данном	2	1
383	для объяснения	1	1
384	в течение	2	1
385	является только	1	1
386	и той	2	1
387	процесса и	1	1
388	но эта	1	1
389	которые в	1	1
390	по крайней	1	1
391	именно к	1	1
392	и более	5	1
393	там где	2	1
394	влечет за	2	1
395	человек с	1	1
396	по себе	5	1
397	в своем	3	1
398	если понимать	1	1
399	она по	1	1
400	как например	1	1
401	за шагом	2	1
402	сих пор	4	1
403	и развития	1	1
404	поэтому что	1	1
405	что эта	2	1
406	она не	3	1
407	что с	2	1
408	состояние нашей	1	1
409	но для	1	1
410	мысли в	5	1
411	не имеет	2	1
412	дело в	2	1
413	смысле т.е	1	1
414	в процессе	8	1
415	мы вправе	2	1
416	не является	9	1
417	несколько различных	1	1
418	формы с	1	1
419	указать на	1	1
420	и от	3	1
421	он с	1	1
422	только не	1	1
423	этого явления	1	1
424	никогда не	2	1
425	или в	1	1
426	затем идет	1	1
427	и всегда	1	1
428	это как	1	1
429	человек и	1	1
430	хотя и	2	1
431	только и	1	1
432	в отдельных	1	1
433	только из	1	1
434	или другой	1	1
435	не представляет	1	1
436	место только	1	1
437	с опытами	1	1
438	самому своему	1	1
439	жизни как	1	1
440	и его	6	1
441	связи с	3	1
442	наших дней	1	1
443	на части	1	1
444	этой области	1	1
445	на которой	2	1
446	сказать ничего	1	1
447	и из	1	1
448	объяснить нам	1	1
449	между ними	2	1
450	совершенно независимо	1	1
451	начала от	1	1
452	сказать что	11	1
453	не быть	1	1
454	методе исследования	1	1
455	и для	1	1
456	сравнительно с	1	1
457	приспособления к	1	1
458	в то	7	1
459	в заключение	1	1
460	в какой	5	1
461	назвать в	1	1
462	той или	1	1
463	в своих	5	1
464	на это	1	1
465	опыта и	2	1
466	которая не	1	1
467	все что	1	1
468	из многих	1	1
