N	2gram	Medvedev_F_3	ViktorSh
1	в шкловского	2	5
2	конце концов	2	2
3	и в	27	2
4	том что	4	2
5	в том	7	2
6	в конце	3	2
7	в шкловский	3	2
8	и только	2	1
9	и почти	1	1
10	момент то	1	1
11	все дело	1	1
12	сами формалисты	1	1
13	под влиянием	1	1
14	ни к	1	1
15	хотя бы	6	1
16	и не	30	1
17	все время	6	1
18	и его	19	1
19	потому что	7	1
20	даже не	1	1
21	сводится к	5	1
22	и то	1	1
23	способами ее	1	1
24	а отсюда	1	1
25	самом деле	16	1
26	в шкловским	3	1
27	к созданию	1	1
28	все это	7	1
29	совершенно ясно	1	1
30	от других	2	1
31	именно в	1	1
32	главным образом	2	1
33	и сводится	1	1
34	в их	1	1
35	дело в	2	1
36	говорили в	1	1
37	в частности	1	1
38	так в	2	1
39	одно и	1	1
40	все то	1	1
41	столь же	3	1
42	время в	3	1
43	ведь это	1	1
44	в которых	3	1
45	в значительной	1	1
46	в самом	11	1
47	для них	7	1
48	только в	8	1
49	то же	15	1
50	ясно что	3	1
51	так как	9	1
52	и составляет	1	1
53	бы уже	1	1
54	каждая новая	1	1
55	но это	2	1
56	в этом	18	1
57	они на	2	1
58	да и	4	1
59	чем больше	1	1
60	а только	1	1
61	для формализма	2	1
62	по существу	1	1
63	то я	1	1
64	к этому	2	1
65	значительной степени	1	1
66	том же	1	1
