N	3gram	Tiupa_Narr_1	Dialekti
1	с точки зрения	2	12
2	в том что	8	7
3	сам по себе	1	6
4	само по себе	1	5
5	по себе не	1	5
6	в то же	3	4
7	то же время	3	4
8	с другой стороны	4	4
9	можно было бы	2	4
10	по крайней мере	1	4
11	в этом смысле	1	3
12	можно сказать что	4	3
13	может быть и	1	3
14	иметь в виду	1	3
15	более или менее	2	3
16	только то что	1	3
17	содержит в себе	1	3
18	только потому что	1	3
19	той или иной	4	3
20	не может быть	5	3
21	о том что	6	2
22	с одной стороны	7	2
23	и даже не	1	2
24	по себе а	1	2
25	точно так же	2	2
26	на что не	1	2
27	или хотя бы	1	2
28	и в то	1	2
29	до сих пор	1	2
30	не с точки	1	2
31	на самом деле	1	2
32	может и не	1	2
33	в этом отношении	3	2
34	в себе самом	1	2
35	ни на что	1	2
36	то или иное	2	2
37	и быть может	1	1
38	по направлению к	1	1
39	так или иначе	2	1
40	или ином отношении	1	1
41	в данный момент	1	1
42	друг от друга	1	1
43	друг с другом	1	1
44	том или ином	2	1
45	и не в	4	1
46	перед нами два	1	1
47	в первую очередь	1	1
48	до известной степени	1	1
49	мы имеем дело	2	1
50	что это за	1	1
51	точки зрения не	1	1
52	мы увидим впоследствии	1	1
53	тех или иных	1	1
54	но это не	1	1
55	и не дает	1	1
56	и в особенности	1	1
57	может показаться что	1	1
58	говорить о разных	1	1
59	несмотря на свою	1	1
60	но от этого	1	1
61	то же самое	1	1
62	как мы увидим	1	1
63	на первый взгляд	2	1
64	как то что	1	1
65	по себе без	1	1
66	а не с	1	1
67	и не то	1	1
68	никогда не бывает	1	1
69	к тому же	4	1
70	но все же	4	1
71	не что иное	2	1
72	далеко не всегда	1	1
73	сами по себе	2	1
74	есть прежде всего	1	1
75	от тех кто	1	1
76	самом деле не	1	1
77	в связи с	2	1
78	что иное как	2	1
79	в самом деле	1	1
80	том что именно	1	1
81	в чистом виде	1	1
82	есть не что	1	1
83	в той или	2	1
84	она может быть	1	1
85	в том чтобы	1	1
86	еще не есть	1	1
87	дело в том	1	1
88	а не только	1	1
89	в ней не	1	1
90	то что он	1	1
91	тем не менее	3	1
92	никогда и не	1	1
93	в себе момент	1	1
