N	2gram	Medvedev_V_1	Analitik
1	в качестве	11	31
2	может быть	22	29
3	в том	15	27
4	не может	17	22
5	и не	19	21
6	в частности	11	19
7	и в	26	18
8	но и	10	17
9	а не	7	17
10	отнюдь не	3	15
11	не только	25	15
12	не в	6	14
13	в этом	26	13
14	как и	7	13
15	в его	14	13
16	том что	8	12
17	литературное произведение	1	12
18	в себе	6	11
19	то есть	1	11
20	произведения в	7	11
21	но не	2	10
22	художественного целого	1	10
23	то же	10	9
24	в то	6	9
25	а в	3	9
26	но в	2	8
27	в той	1	8
28	том чтобы	2	7
29	произведения как	5	7
30	к тому	4	7
31	мы имеем	3	6
32	по отношению	7	6
33	в самом	4	6
34	это не	7	6
35	далеко не	2	6
36	точки зрения	3	6
37	в своей	4	6
38	в основе	1	6
39	той или	1	6
40	должен быть	4	6
41	же время	5	6
42	только в	7	6
43	то что	6	6
44	или иной	2	6
45	прежде всего	13	6
46	художественного произведения	6	5
47	в их	5	5
48	и как	3	5
49	в целом	4	5
50	в этой	4	5
51	лишь в	2	5
52	и его	6	5
53	о том	10	5
54	сводится к	3	5
55	между тем	5	5
56	как бы	5	5
57	художественное произведение	5	5
58	отношению к	7	5
59	что в	10	5
60	всего лишь	3	4
61	из того	1	4
62	более чем	1	4
63	все же	5	4
64	сознания в	1	4
65	тому же	1	4
66	не следует	8	4
67	с другими	2	4
68	не всегда	1	4
69	большей или	3	4
70	по себе	2	4
71	имеем дело	1	4
72	в области	2	4
73	ни в	1	4
74	могут быть	5	4
75	так и	5	4
76	с ним	1	4
77	в другом	2	4
78	на вопрос	2	4
79	с другой	11	4
80	в конечном	7	4
81	того что	3	4
82	дело с	1	4
83	уже не	1	4
84	конечном счете	5	4
85	для того	3	4
86	именно в	2	4
87	себя и	1	4
88	во времени	1	4
89	вместе с	7	4
90	из которых	2	4
91	исходя из	1	4
92	собственно говоря	1	4
93	или меньшей	3	4
94	как известно	2	3
95	и т	23	3
96	одним из	5	3
97	таком случае	1	3
98	и есть	5	3
99	если в	2	3
100	в художественном	10	3
