N	2gram	Medvedev_B_1	VelikijI
1	и не	2	20
2	и в	1	16
3	еще не	1	8
4	а не	1	7
5	и потому	1	7
6	все это	2	5
7	говорить о	1	4
8	так и	1	4
9	что все	1	4
10	в ней	2	4
11	должна быть	1	3
12	в своей	1	3
13	не было	1	3
14	что в	1	3
15	можно было	2	2
16	его не	1	2
17	и во	1	2
18	не только	1	2
19	прежде всего	1	2
20	ведет по	1	2
21	о свободе	1	2
22	всего в	1	2
23	во всяком	1	2
24	что опять-таки	1	1
25	вопрос о	1	1
26	и ее	1	1
27	и на	1	1
28	крайней мере	1	1
29	все же	1	1
30	по мотивам	1	1
31	с другой	1	1
32	у нас	3	1
33	по крайней	1	1
34	и нет	1	1
35	нельзя не	1	1
36	будто бы	1	1
37	другой стороны	1	1
