N	3gram	Bakhtin_fo_1	Vvedenie
1	для того чтобы	5	20
2	в том что	2	12
3	о том что	1	12
4	не может быть	3	8
5	до сих пор	3	6
6	в самом деле	1	6
7	то же время	9	6
8	к выводу что	1	6
9	в то же	6	6
10	и т п	8	5
11	в широком смысле	2	5
12	по отношению к	3	4
13	и в особенности	2	4
14	в этом случае	1	4
15	в этом отношении	3	4
16	в данном случае	1	4
17	не только в	2	4
18	и в этом	1	4
19	по сравнению с	2	4
20	во всяком случае	1	4
21	с одной стороны	2	4
22	также и в	2	3
23	одной стороны и	2	3
24	в строгом смысле	2	3
25	с тем что	1	3
26	вместе с тем	2	3
27	но в то	1	3
28	и в том	1	3
29	и в самом	1	3
30	сама по себе	1	3
31	но все же	2	3
32	на том что	1	2
33	до наших дней	1	2
34	в другом месте	1	2
35	дело в том	2	2
36	вообще не может	1	2
37	в соответствии с	2	2
38	с точки зрения	2	2
39	что в нем	1	2
40	может быть и	2	2
41	в значительной мере	1	2
42	на этой почве	1	2
43	смысле этого слова	1	2
44	не могут быть	1	2
45	в связи с	5	2
46	но вместе с	1	2
47	а также и	2	2
48	общий вопрос о	1	2
49	как мы уже	8	2
50	мы уже знаем	1	2
51	той или иной	2	2
52	и для того	1	1
53	и того же	5	1
54	в его прямой	1	1
55	в той или	1	1
56	мы говорим о	1	1
57	том что классическая	1	1
58	одном и том	1	1
59	прежде всего в	1	1
60	и всего того	1	1
61	тесно связан и	1	1
62	и как раз	6	1
63	имеем в виду	1	1
64	совершенно та же	1	1
65	и как оно	1	1
66	в том же	1	1
67	тогда когда оно	1	1
68	одним из существенных	1	1
69	здесь не место	2	1
70	дело не только	1	1
71	в нем все	2	1
72	целого но все	1	1
73	в одном и	1	1
74	в отличие от	2	1
75	но и в	2	1
76	и в дальнейшем	1	1
77	дошедших до нас	1	1
78	себе самому и	1	1
79	совершенно ясно что	1	1
80	или иной степени	1	1
81	сказанного ясно что	1	1
82	и др в	2	1
83	человека в его	3	1
84	может быть только	3	1
85	как если бы	2	1
86	в зависимости от	1	1
87	одно и то	3	1
88	все то что	2	1
89	и тогда когда	1	1
90	в особенности в	1	1
91	тот факт что	1	1
92	так же как	2	1
93	этого целого и	1	1
94	не могло не	1	1
95	как раз в	4	1
96	могут быть названы	1	1
97	мы имеем в	1	1
98	и том же	1	1
99	и то же	3	1
100	быть и речи	1	1
101	то что можно	1	1
102	приходит к выводу	1	1
103	в нем не	3	1
104	дошедшие до нас	1	1
105	когда мы говорим	1	1
106	и до наших	1	1
107	имел в виду	1	1
108	в свою очередь	1	1
109	та или иная	1	1
110	всего того что	1	1
111	но дело не	1	1
112	связи с этим	2	1
113	с самого начала	2	1
114	и прежде всего	2	1
115	но в этом	1	1
116	как своего рода	1	1
117	как мы видим	2	1
118	одного и того	5	1
119	и все прочие	1	1
120	народа в их	1	1
121	по глубине и	1	1
122	не входят в	1	1
123	в этом ее	1	1
124	в средние века	1	1
125	в них не	1	1
126	во всех его	1	1
127	соответствии с этим	2	1
128	все это не	1	1
129	того чтобы быть	1	1
130	историческая действительность в	1	1
