N	3gram	Nazirov_Tv_1	Komedia
1	в том что	6	9
2	и т п	2	5
3	с другой стороны	1	5
4	к тому же	1	5
5	в конце концов	1	4
6	то же время	12	4
7	в то же	13	4
8	и т д	1	4
9	по отношению к	1	3
10	с одной стороны	1	3
11	о том что	5	3
12	то же самое	1	2
13	в эти годы	1	2
14	в первую очередь	1	2
15	до сих пор	1	2
16	как и в	1	2
17	то ни было	1	2
18	бы то ни	1	2
19	на протяжении всего	2	2
20	том что в	2	1
21	что иное как	1	1
22	хотя и не	1	1
23	для этого случая	1	1
24	что же касается	1	1
25	вслед за ними	1	1
26	чуть ли не	1	1
27	в соответствии с	3	1
28	в том же	1	1
29	те и другие	1	1
30	да и в	1	1
31	вместе с тем	1	1
32	у него не	1	1
33	а может быть	1	1
34	это вовсе не	1	1
35	что все это	3	1
36	в году он	1	1
37	в этой области	1	1
38	в данном случае	2	1
39	не только в	2	1
40	но при этом	1	1
41	в отличие от	1	1
42	и в их	1	1
43	бросается в глаза	1	1
44	не мог не	1	1
45	и вот в	1	1
46	что он не	1	1
47	не означает что	1	1
48	одного из них	1	1
49	как один из	1	1
50	из них он	1	1
51	что у него	1	1
52	с самого начала	3	1
53	в отрыве от	1	1
54	не что иное	1	1
55	же время для	1	1
56	нельзя не заметить	1	1
57	к тому что	1	1
58	не заметить что	1	1
59	в отношении к	1	1
60	свое завершение в	1	1
61	тем не менее	2	1
62	и те и	1	1
