N	2gram	Propp_Morf_1	DiskursI
1	в качестве	5	34
2	не только	4	28
3	в том	6	23
4	литературных жанров	1	22
5	а не	11	22
6	тогда как	2	19
7	том что	4	19
8	представляет собой	17	17
9	может быть	52	17
10	как и	3	16
11	и в	13	16
12	в этом	14	15
13	еще не	3	14
14	но и	4	14
15	при этом	1	13
16	но не	4	11
17	прежде всего	9	11
18	и не	12	11
19	как в	3	10
20	далеко не	5	10
21	с другой	8	10
22	по отношению	4	9
23	не может	14	9
24	состоит в	2	9
25	с одной	1	9
26	одной стороны	1	9
27	в частности	2	9
28	отношению к	4	9
29	но в	2	8
30	о том	2	8
31	так и	6	8
32	а также	4	8
33	в себе	1	7
34	то же	7	7
35	не в	3	7
36	в основе	1	7
37	со стороны	3	7
38	в его	1	7
39	только в	2	7
40	и сказки	2	6
41	и как	5	6
42	ни к	2	6
43	и на	1	5
44	во всех	4	5
45	отличие от	1	5
46	в рамках	1	5
47	в силу	1	5
48	можно сказать	2	5
49	а с	2	5
50	в данном	1	5
51	как бы	3	5
52	к тому	4	5
53	а в	7	5
54	то что	8	5
55	в своей	1	5
56	в которых	2	4
57	с его	2	4
58	отношение к	1	4
59	и к	4	4
60	уже не	2	4
61	в целом	3	4
62	на его	4	4
63	в них	1	4
64	потому что	3	4
65	могут быть	16	4
66	между тем	5	4
67	во втором	3	4
68	одной из	1	4
69	что он	4	4
70	для него	1	4
71	в особенности	1	4
72	что не	1	4
73	связи с	10	4
74	не является	3	4
75	что в	8	4
76	также и	4	3
77	в первом	3	3
78	в одной	1	3
79	с этим	11	3
80	перед нами	10	3
81	и сказка	2	3
82	это не	6	3
83	ведет к	1	3
84	точки зрения	2	3
85	в ходе	4	3
86	в сказке	15	3
87	однако в	2	3
88	бы быть	1	3
89	в то	3	3
90	таким образом	21	3
91	должны быть	1	3
92	они и	3	3
93	как не	1	3
94	не с	2	3
95	еще в	1	3
96	и даже	1	3
97	о животных	9	3
98	или на	3	3
99	что и	7	3
100	хотя бы	4	3
101	в данной	1	3
102	из них	3	3
103	тем что	4	3
104	сказки о	6	3
105	по своему	2	3
106	тому как	5	3
107	того что	3	3
108	один из	5	3
109	все же	7	3
110	как уже	2	3
111	сказать что	2	3
112	другой стороны	4	3
113	одним из	1	2
114	например в	2	2
115	е годы	1	2
116	и есть	2	2
117	мы имеем	9	2
118	в сущности	3	2
119	ему в	1	2
120	в виду	1	2
121	в е	1	2
122	между собой	4	2
123	в различных	2	2
124	но как	2	2
125	сказки и	3	2
126	себя в	1	2
127	каждый в	1	2
128	что касается	1	2
129	хотя и	3	2
130	целый ряд	3	2
131	более или	2	2
132	не приходится	1	2
133	в тех	6	2
134	в этой	2	2
135	подобно тому	6	2
136	и по	2	2
137	на этом	3	2
138	так например	3	2
139	в каждом	1	2
140	могла бы	4	2
141	об этом	4	2
142	того или	1	2
143	и тем	2	2
144	не всегда	9	2
145	или менее	2	2
146	в г	1	2
147	наших дней	2	2
148	не от	2	2
149	и герой	1	2
150	то с	2	2
151	не менее	5	2
152	и охватывает	1	2
153	но они	1	2
154	что с	1	2
155	дело не	2	2
156	можно усмотреть	1	2
157	текста к	1	2
158	и его	1	2
159	на самого	1	2
160	в момент	1	2
161	в сказках	3	2
162	же самое	1	2
163	не есть	1	2
164	оно не	2	2
165	как мы	6	2
166	с ее	1	2
167	данном случае	1	2
168	в пределах	3	2
169	приводит к	2	2
170	же касается	1	2
171	в другом	2	2
172	а по	3	2
173	во всяком	2	2
174	и что	2	2
175	самому себе	1	2
176	это было	3	2
177	в волшебной	1	2
178	в форме	6	2
179	волшебной сказке	2	2
180	к различным	2	2
181	дело с	1	2
182	в какой	3	2
183	и ее	3	2
184	как их	2	2
185	в одном	1	2
186	как его	1	2
187	заметить что	8	2
188	из двух	2	2
189	на ее	1	2
190	и др	10	2
191	а сам	1	2
192	из наиболее	1	2
193	в рассказе	1	2
194	однако и	1	2
195	одну из	1	2
196	о чем	1	2
197	то она	1	2
198	более чем	1	2
199	одновременно с	1	2
200	что же	2	2
201	в ряду	1	2
202	в начале	3	2
203	рассматривать как	1	2
204	известной степени	1	2
205	или в	4	2
206	о котором	1	2
207	и все	1	2
208	не более	1	2
209	может и	1	2
210	последовательность событий	3	2
211	что даже	1	2
212	героя в	4	2
213	они не	1	2
214	к этому	3	2
215	можно говорить	1	1
216	обычно в	1	1
217	таком случае	1	1
218	и то	1	1
219	самом деле	4	1
220	на самом	4	1
221	это и	2	1
222	всего это	1	1
223	и должны	1	1
224	и до	1	1
225	из его	2	1
226	которое может	2	1
227	и за	2	1
228	что далеко	1	1
229	к текстам	1	1
230	о добывании	1	1
231	говорить о	3	1
232	но она	1	1
233	он сам	1	1
234	которые однако	1	1
235	как таковая	2	1
236	не требует	1	1
237	герой не	2	1
238	что они	2	1
239	вследствие чего	1	1
240	же с	1	1
241	независимо от	3	1
242	героя то	1	1
243	о жизни	1	1
244	и нет	1	1
245	там же	1	1
246	в противном	1	1
247	тех случаях	2	1
248	вопросом о	1	1
249	следующим образом	3	1
250	отнесены к	1	1
251	определен как	3	1
252	в которой	3	1
253	что это	1	1
254	образом и	1	1
255	в нашем	3	1
256	из этих	1	1
257	в первоначальном	1	1
258	это разделение	1	1
259	право на	2	1
260	учение о	3	1
261	рассказ о	1	1
262	другом случае	1	1
263	на то	2	1
264	их действия	1	1
265	что она	2	1
266	противном случае	1	1
267	он не	3	1
268	является следствием	1	1
269	он вдруг	1	1
270	волшебная сказка	1	1
271	может существовать	3	1
272	более близких	1	1
273	или иных	1	1
274	одно и	1	1
275	но все	3	1
276	русском языке	1	1
277	не будет	1	1
278	и может	1	1
279	в жены	2	1
280	их отношении	1	1
281	на все	1	1
282	говорить не	1	1
283	при помощи	9	1
284	с другими	1	1
285	такого случая	1	1
286	то все	1	1
287	от отца	1	1
288	типа действительно	1	1
289	сказка о	4	1
290	о которых	1	1
291	их как	2	1
292	этом сказка	1	1
293	этом явлении	1	1
294	с этой	1	1
295	с тем	2	1
296	и вне	3	1
297	оно имеет	1	1
298	мы не	8	1
299	как таковой	2	1
300	в научной	1	1
301	в этих	13	1
302	во время	6	1
303	бы на	1	1
304	и при	1	1
305	или точнее	1	1
306	что такое	3	1
307	лежат в	1	1
308	это делает	1	1
309	с точки	2	1
