N	2gram	Tiupa_Lite_3	Freidism
1	и не	22	23
2	не может	8	20
3	точки зрения	7	19
4	прежде всего	3	18
5	в этом	14	15
6	в его	6	15
7	может быть	12	13
8	и его	6	12
9	как и	5	11
10	с точки	3	11
11	как бы	8	11
12	то что	12	11
13	самом деле	3	10
14	но в	3	10
15	его в	2	10
16	как мы	2	10
17	так и	9	10
18	и потому	2	10
19	с его	6	9
20	во всех	2	9
21	по отношению	4	9
22	и в	16	9
23	то же	9	8
24	влечение к	1	8
25	не только	14	8
26	он не	1	8
27	в своей	7	8
28	еще не	6	8
29	что он	5	8
30	только в	7	8
31	так как	1	8
32	все это	1	8
33	и все	1	8
34	отношению к	4	8
35	в самом	3	7
36	мы уже	1	7
37	отношение к	2	7
38	и наконец	3	7
39	к нему	1	7
40	один из	2	7
41	сказать что	1	7
42	в ней	1	6
43	за пределы	1	6
44	все те	1	6
45	так сказать	1	6
46	и с	2	6
47	на протяжении	1	6
48	и ее	2	6
49	того что	9	6
50	для него	2	6
51	вовсе не	1	6
52	никогда не	4	6
53	хотя бы	1	6
54	совершенно не	3	6
55	я и	10	5
56	на самом	1	5
57	и на	2	5
58	он сам	1	5
59	в чем	1	5
60	и к	3	5
61	в этой	8	5
62	что такое	1	5
63	не в	10	5
64	в то	9	5
65	сознанием и	1	5
66	для этого	1	5
67	но мы	1	5
68	можно сказать	2	5
69	для того	2	5
70	во внешнем	1	5
71	по мнению	1	5
72	а в	5	5
73	но и	14	5
74	с этим	1	5
75	в период	1	5
76	в свою	2	5
77	что в	2	5
78	и за	1	4
79	той же	3	4
80	говорить о	1	4
81	я не	2	4
82	но не	4	4
83	все же	2	4
84	не было	1	4
85	сознания с	2	4
86	в нем	2	4
87	то ни	2	4
88	при этом	15	4
89	с другими	1	4
90	в жизни	8	4
91	во время	1	4
92	не менее	2	4
93	в основе	5	4
94	же время	7	4
95	всей жизни	1	4
96	потому что	3	4
97	и для	4	4
98	к тому	6	4
99	того чтобы	2	4
100	данном случае	4	4
101	с ними	2	4
102	конечно не	1	4
103	уже не	3	4
104	в котором	1	4
105	как раз	2	4
106	себя и	2	4
107	в данном	4	4
108	и о	1	4
109	сознания и	2	4
110	в этих	1	4
111	в последнем	1	4
112	в таком	1	4
113	и есть	1	3
114	на себя	2	3
115	он был	1	3
116	конечном счете	1	3
117	в общем	1	3
118	как в	5	3
119	и как	3	3
120	между двумя	1	3
121	жизни к	2	3
122	в себе	6	3
123	о которой	2	3
124	и вот	2	3
125	выражение и	1	3
126	было бы	2	3
127	нисколько не	1	3
128	мысли и	1	3
129	отцом и	1	3
130	случае не	1	3
131	тому что	1	3
132	к себе	8	3
133	она не	1	3
134	ничего общего	1	3
135	с ее	3	3
136	свою очередь	1	3
