N	3gram	Propp_Russ_2	Vladivir
1	в том что	18	10
2	тем не менее	2	9
3	о том что	4	8
4	вместе с тем	4	6
5	не может быть	3	6
6	более или менее	1	5
7	и в этом	1	5
8	дело в том	1	5
9	в то время	2	4
10	том что в	1	3
11	в настоящее время	1	3
12	то что в	1	3
13	во всяком случае	1	3
14	с одной стороны	2	3
15	в отличие от	3	3
16	как мы видели	1	3
17	иметь в виду	1	2
18	на самом же	2	2
19	в этом отношении	1	2
20	в это время	1	2
21	так же как	4	2
22	в данном случае	6	2
23	то время как	1	2
24	на себя внимание	1	2
25	с другой стороны	1	2
26	и в том	1	2
27	самом же деле	2	2
28	бросается в глаза	2	2
29	и в таком	1	2
30	на то что	1	2
31	что иное как	2	1
32	потому что он	1	1
33	не может не	1	1
34	потому что в	1	1
35	в виду что	1	1
36	том что это	3	1
37	так как в	1	1
38	в таком виде	2	1
39	внимания на то	1	1
40	так что в	1	1
41	в том же	1	1
42	о том как	1	1
43	в этом случае	6	1
44	как нет и	1	1
45	же как и	2	1
46	более высокой ступени	1	1
47	и то и	1	1
48	мы не будем	2	1
49	но в данном	1	1
50	в первую очередь	1	1
51	а так как	1	1
52	можно было бы	1	1
53	у нас нет	1	1
54	одна из них	1	1
55	по этому поводу	2	1
56	может быть и	1	1
57	вопрос о том	1	1
58	и с ней	1	1
59	мы имеем не	2	1
60	не будем здесь	2	1
61	но вместе с	2	1
62	кроме того в	2	1
63	можно найти в	1	1
64	все то что	1	1
65	тем и другим	1	1
66	но не с	1	1
67	а вместе с	1	1
68	мы не можем	2	1
69	там же в	4	1
70	это и есть	1	1
71	в течение всего	1	1
72	в глаза при	1	1
73	не было ни	1	1
74	не только на	1	1
75	не что иное	2	1
76	и возвращается к	1	1
77	мы уже знаем	1	1
78	для того чтобы	6	1
