N	3gram	Losev_Prob_5	OGranits
1	с точки зрения	8	5
2	не может быть	2	4
3	по отношению к	2	3
4	что иное как	3	2
5	в самом деле	1	2
6	не чем иным	2	2
7	в данном случае	2	2
8	с одной стороны	3	2
9	с другой стороны	5	2
10	чем иным как	2	2
11	с самого начала	1	2
12	не что иное	3	2
13	в том что	8	2
14	как то что	1	1
15	только потому что	1	1
16	этой точки зрения	1	1
17	там где нет	1	1
18	а вовсе не	1	1
19	равно как и	2	1
20	на самом деле	1	1
21	должно было бы	1	1
22	между тем как	1	1
23	в этом отношении	1	1
24	можно было бы	1	1
25	в значительной мере	2	1
26	с этой точки	1	1
27	то или иное	1	1
28	по себе а	1	1
29	ту или иную	1	1
30	для того чтобы	2	1
31	далеко не всегда	3	1
32	и в его	1	1
33	ничего общего не	1	1
34	состоит в том	1	1
35	а также и	1	1
36	не входит в	1	1
37	тем не менее	5	1
38	и вместе с	1	1
39	и как бы	1	1
40	в связи с	7	1
41	чуть ли не	1	1
42	того же автора	1	1
43	потому что они	2	1
44	только в связи	1	1
45	то же время	1	1
46	но тем не	1	1
47	таким образом мы	1	1
48	может быть это	1	1
49	все же остается	1	1
50	что в ней	1	1
51	хотя бы в	1	1
52	и никогда не	2	1
53	и превращается в	1	1
54	но в то	1	1
55	на то что	2	1
56	в то же	1	1
57	тех или иных	2	1
58	в предисловии к	1	1
59	общего не имеет	1	1
