N	2gram	Losev_Prob_5	Literetu
1	не только	18	24
2	при этом	4	19
3	в качестве	4	17
4	но и	13	17
5	в том	12	16
6	а не	5	16
7	в частности	4	15
8	том что	17	14
9	в году	5	13
10	может быть	7	13
11	и не	12	12
12	в этом	17	12
13	в своем	11	11
14	состоит в	1	11
15	своего рода	1	11
16	прежде всего	6	11
17	в русской	3	10
18	такого рода	2	10
19	то что	18	10
20	или иначе	1	9
21	так или	1	8
22	не в	7	8
23	и в	30	8
24	только в	9	8
25	как это	1	8
26	я и	1	7
27	я не	2	7
28	как бы	6	7
29	в себе	4	7
30	не менее	5	7
31	в его	12	7
32	уже не	6	7
33	то есть	21	6
34	как и	7	6
35	точки зрения	10	6
36	и сам	4	6
37	того что	3	6
38	связи с	7	6
39	xix века	1	6
40	то же	2	5
41	как в	2	5
42	не столько	1	5
43	в то	4	5
44	для себя	5	5
45	искусства и	1	5
46	а также	3	5
47	же время	1	5
48	русской литературе	3	5
49	же в	3	5
50	что он	7	5
51	уже в	2	5
52	русской поэзии	1	5
53	не может	5	5
54	в данном	2	5
55	с этой	2	5
56	я в	1	5
57	с его	1	5
58	тем самым	1	5
59	в своей	22	4
60	еще не	3	4
61	но не	7	4
62	в этой	10	4
63	все же	9	4
64	не как	1	4
65	в силу	5	4
66	и его	6	4
67	данном случае	2	4
68	никогда не	7	4
69	так и	7	4
70	еще в	5	4
71	и тем	3	4
72	свобода от	1	4
73	из них	2	4
74	в конце	8	4
75	как раз	5	4
76	о себе	2	4
77	в стихотворении	14	4
78	в связи	7	4
79	со стороны	1	4
80	это не	2	4
81	в своих	1	4
82	тех же	1	3
83	и есть	1	3
84	тем же	3	3
85	также и	12	3
86	что его	3	3
87	по отношению	2	3
88	в самом	5	3
89	бы не	3	3
90	таким образом	13	3
91	его в	6	3
92	в душе	1	3
93	далеко не	4	3
94	он и	5	3
95	несмотря на	6	3
96	не мог	4	3
97	художественного творчества	8	3
98	в их	1	3
99	но в	9	3
100	на рубеже	1	3
101	дело в	2	3
102	не должен	1	3
103	в области	2	3
104	свое собственное	2	3
105	к себе	1	3
106	ли не	2	3
107	в виду	3	3
108	по аналогии	1	3
109	сводится к	1	3
110	нуждается в	1	3
111	по своей	2	3
112	один из	2	3
113	сознание в	1	3
114	потому что	13	3
115	одно из	1	3
116	у него	11	3
117	и даже	14	3
118	с другой	6	3
119	еще и	4	3
120	и др	1	3
121	не было	1	3
122	мира в	3	3
123	быть это	1	3
124	да и	2	3
125	этой точки	1	3
126	аналогии с	1	3
127	при всем	2	3
128	жизни и	2	3
129	что в	5	3
130	а в	6	3
131	же и	1	3
132	во всяком	2	3
133	всем и	1	2
134	человека и	4	2
135	того же	4	2
136	и то	5	2
137	самом деле	2	2
138	к своей	1	2
139	из его	1	2
140	на себя	1	2
141	во мне	1	2
142	и самого	3	2
143	я создал	1	2
144	то он	1	2
145	а только	1	2
146	нет не	1	2
147	отнюдь не	4	2
148	и нет	2	2
149	или иную	1	2
150	все эти	2	2
151	чуть ли	1	2
152	из этих	1	2
153	тому же	1	2
154	в нем	6	2
155	окружающей его	1	2
156	поскольку он	1	2
157	в нашей	2	2
158	же это	1	2
159	не к	2	2
160	для всей	1	2
161	поэзии и	1	2
162	здесь как	2	2
163	было бы	4	2
164	по мысли	2	2
165	для них	3	2
166	бы на	2	2
167	от своего	1	2
168	что такое	1	2
169	а как	1	2
170	всяком случае	2	2
171	с точки	8	2
172	жизни с	1	2
173	что я	1	2
174	тем не	5	2
175	однако в	3	2
176	даже в	1	2
177	раз и	2	2
178	вплоть до	1	2
179	ничего кроме	1	2
180	xviii века	1	2
181	виду не	1	2
182	и является	2	2
183	как будто	3	2
184	этом отношении	1	2
185	могут быть	1	2
186	и вполне	4	2
187	к тому	2	2
188	должен быть	1	2
189	говоря уже	1	2
190	обращаясь к	1	2
191	имеется в	1	2
192	или иной	1	2
193	является по	2	2
194	в другом	3	2
195	о том	12	2
196	с одной	3	2
197	обращается к	1	2
198	между тем	2	2
199	во втором	2	2
200	и только	2	2
201	хотя бы	2	2
202	по этому	2	2
203	только на	1	2
204	то и	2	2
205	человеческого духа	2	2
206	что не	2	2
207	по выражению	1	2
208	ту или	1	2
209	что для	1	2
210	себе в	1	2
211	от тех	1	2
212	тем что	2	2
213	одной стороны	3	2
214	нового времени	4	2
215	превращается в	1	2
216	не на	1	2
217	так называемых	1	2
218	можно было	2	2
219	это уже	2	2
220	своем я	1	2
221	тем более	1	2
222	утверждал что	1	2
223	не обладает	1	2
224	о своем	2	2
225	не говоря	1	2
226	отношению к	2	2
227	на это	1	2
228	в искусстве	1	2
229	по поводу	2	2
230	которая не	1	2
231	если б	1	1
232	о любви	1	1
233	на самом	1	1
234	только потому	1	1
235	от античности	1	1
236	к другому	1	1
237	свое место	1	1
238	мать и	1	1
239	с мастерством	1	1
240	ни были	1	1
241	и за	2	1
242	который в	9	1
243	пока он	1	1
244	основные моменты	1	1
245	мы не	2	1
246	преступления и	2	1
247	эпохи а	1	1
248	вопрос о	1	1
249	жизни как	1	1
250	но даже	4	1
251	ему в	1	1
252	и самой	1	1
253	и он	4	1
254	в уединение	1	1
255	это время	2	1
256	в xix	1	1
257	он был	2	1
258	характерную для	1	1
259	он сам	3	1
260	бы то	2	1
261	в чем	2	1
262	только после	1	1
263	тем как	2	1
264	само имя	1	1
265	и никто	1	1
266	писавшего в	1	1
267	писатели и	1	1
268	отношение к	2	1
269	имя в	1	1
270	тут же	6	1
271	не просто	5	1
272	что они	3	1
273	первый взгляд	1	1
274	в одной	2	1
275	его на	2	1
276	для всех	1	1
277	нам нет	1	1
278	сам же	3	1
279	однако не	1	1
280	перед нами	1	1
281	мы можем	5	1
282	могли бы	1	1
283	и как	6	1
284	духа и	1	1
285	в противоположность	3	1
286	на какой	1	1
287	то в	1	1
288	человек со	1	1
289	в которой	5	1
290	как то	1	1
291	а во-вторых	1	1
292	он в	3	1
293	воспитания и	1	1
294	в нашем	1	1
295	если мы	1	1
296	большей части	1	1
297	право на	1	1
298	однако как	2	1
299	говорят о	1	1
300	продолжением и	1	1
301	на то	2	1
302	по словам	2	1
303	задний план	1	1
304	а скорее	2	1
305	он не	3	1
306	от которого	1	1
307	эту тему	1	1
308	в диалоге	1	1
309	едва ли	4	1
310	в начале	3	1
311	и вот	1	1
312	и более	2	1
313	чтобы в	1	1
314	то самое	1	1
315	и по	1	1
316	художественное творчество	5	1
317	так например	1	1
318	или иных	2	1
319	в борьбе	1	1
320	но все	4	1
321	трилогии в	1	1
322	то ни	2	1
323	лишь за	1	1
324	об этой	1	1
325	и с	5	1
326	а по	1	1
327	большинстве случаев	1	1
328	знает что	3	1
329	образом если	1	1
330	искусства в	1	1
331	с начала	1	1
332	и находит	1	1
333	жизни человека	1	1
334	в них	2	1
335	но лишь	1	1
336	в ее	3	1
337	мы имеем	2	1
338	с тем	5	1
339	не всегда	3	1
340	которая может	1	1
341	с такой	2	1
342	всем своем	2	1
343	и некоторые	1	1
344	такой же	1	1
345	который как	1	1
346	со всей	2	1
347	перед собой	1	1
348	с более	1	1
349	на первый	1	1
350	в г	1	1
351	но до	1	1
352	ко всеобщему	1	1
353	в следующем	1	1
354	в отношении	3	1
355	что от	3	1
356	не снаружи	1	1
357	не от	1	1
358	сама собой	1	1
359	впрочем у	2	1
360	были его	1	1
361	в поэме	2	1
362	творчества и	1	1
363	по крайней	4	1
364	ни было	1	1
365	не могли	1	1
366	того кто	1	1
367	радости и	1	1
368	вовсе не	8	1
369	на свободу	1	1
370	если и	1	1
371	культурной жизни	1	1
372	она не	1	1
373	иной раз	2	1
374	как о	4	1
375	человеческой истории	1	1
376	не имеет	1	1
377	самого начала	1	1
378	тогда когда	4	1
379	у кого	1	1
380	и сама	2	1
381	на него	2	1
382	что вы	1	1
383	но только	3	1
384	в день	1	1
385	это мы	1	1
386	на котором	1	1
387	рассматриваться в	1	1
388	области художественного	1	1
389	из четырех	1	1
390	в наше	1	1
391	поэт и	1	1
392	другой стороны	6	1
393	тех или	2	1
394	для нас	10	1
395	уже и	2	1
396	уже о	1	1
397	из глубины	1	1
398	с разными	1	1
399	требуют от	1	1
400	исканий в	1	1
401	указание на	1	1
402	надежд и	1	1
403	жизни это	1	1
404	прошлого в	1	1
405	одним и	1	1
406	ничего общего	1	1
407	как мы	2	1
408	но по	1	1
409	людей в	5	1
410	средних веков	1	1
411	и от	1	1
412	с самого	1	1
413	в дальнейшем	7	1
414	как с	2	1
415	искусство как	1	1
416	на нее	1	1
417	или в	4	1
418	он говорит	2	1
419	польше в	1	1
420	мог бы	1	1
421	и по-своему	1	1
422	а все	1	1
423	в эпоху	3	1
424	на всю	1	1
425	трактуется как	1	1
426	никогда и	1	1
427	и здесь	1	1
428	не был	1	1
429	в состав	1	1
