N	3gram	Medvedev_U_1	Istorich
1	с другой стороны	3	8
2	в этом случае	1	7
3	с одной стороны	1	7
4	не может быть	4	3
5	до сих пор	2	2
6	в данном случае	1	2
7	не только в	1	2
8	но это не	1	2
9	друг с другом	1	2
10	тем что он	1	2
11	в том что	2	2
12	на то что	1	2
13	это верно но	1	1
14	сводится к следующему	1	1
15	это было бы	1	1
16	в своей работе	1	1
17	и не только	1	1
18	сам по себе	1	1
19	в изобразительном искусстве	1	1
20	может быть в	1	1
21	с тем что	1	1
22	то же время	3	1
23	в ней не	1	1
24	имеются не только	1	1
25	не в том	1	1
26	еще ничего не	2	1
27	она все же	1	1
28	само по себе	1	1
29	в самом деле	2	1
30	можно сказать что	1	1
31	в частности с	1	1
32	в то же	3	1
33	другой стороны в	1	1
