N	3gram	Tiupa_Lite_3	Poddanst
1	в то же	7	7
2	то же время	7	7
3	в отношении к	1	5
4	не только в	2	4
5	в том что	4	4
6	с точки зрения	3	3
7	с одной стороны	4	3
8	в том числе	3	2
9	одной стороны и	2	2
10	и не только	1	2
11	но и в	2	2
12	место в ряду	1	1
13	более или менее	1	1
14	хотя бы и	1	1
15	же время в	1	1
16	в отличие от	5	1
17	вместе с тем	1	1
18	и то что	1	1
19	и в частности	2	1
20	в xix веке	1	1
21	xix века как	1	1
22	но в отличие	2	1
23	с другой стороны	2	1
24	из тех кто	1	1
25	не может быть	3	1
26	и тем самым	2	1
27	мира а не	1	1
28	десятилетия хх века	1	1
29	для того чтобы	1	1
30	на наш взгляд	1	1
31	том числе и	2	1
