N	2gram	Potebnia_M_4	Poddanst
1	не только	10	17
2	и в	23	14
3	и не	18	12
4	в области	2	11
5	в этом	23	10
6	в отношении	1	10
7	в качестве	1	9
8	но в	8	9
9	то же	14	9
10	в том	23	9
11	в пределах	1	8
12	хотя бы	4	8
13	только в	15	7
14	в то	4	7
15	же время	3	7
16	в ней	2	6
17	xix века	1	6
18	было бы	8	6
19	но и	11	6
20	быть может	4	6
21	в смысле	3	6
22	отношении к	1	5
23	в которых	3	5
24	с другой	2	5
25	может быть	26	5
26	не в	11	5
27	и о	4	5
28	если бы	13	4
29	а также	1	4
30	в своем	8	4
31	и к	6	4
32	как бы	5	4
33	и если	3	4
34	том что	12	4
35	не может	11	4
36	и потому	10	4
37	в котором	4	4
38	по себе	11	4
39	на пути	1	4
40	что в	17	4
41	мы должны	2	4
42	же в	1	4
43	а в	5	4
44	то что	29	4
45	в с	1	4
46	и т	7	3
47	мы не	8	3
48	столь же	2	3
49	между тем	9	3
50	это не	7	3
51	вслед за	1	3
52	хотя и	5	3
53	и как	2	3
54	тот же	2	3
55	с ними	3	3
56	с одной	1	3
57	в себе	14	3
58	в нем	7	3
59	сами по	2	3
60	для того	6	3
61	заключается в	1	3
62	прежде всего	1	3
63	одной стороны	1	3
64	с тем	7	3
65	что мы	10	3
66	и без	2	3
67	с точки	3	3
68	но не	1	3
69	она есть	1	3
70	могут быть	7	3
71	тем самым	4	3
72	потому что	33	3
73	точки зрения	4	3
74	в сравнении	4	3
75	сравнении с	1	3
76	нужно помнить	1	2
77	и это	2	2
78	например в	3	2
79	в сфере	1	2
80	в ее	2	2
81	переход от	3	2
82	и есть	3	2
83	в мире	2	2
84	было в	3	2
85	есть не	4	2
86	с с	1	2
87	которую мы	1	2
88	является в	1	2
89	есть нечто	5	2
90	которое в	3	2
91	в xix	1	2
92	не нужно	2	2
93	во всех	1	2
94	говорить о	5	2
95	со стороны	3	2
96	с этим	7	2
97	того что	14	2
98	помнить что	1	2
99	духа и	2	2
100	х и	1	2
101	бы ни	2	2
102	думать что	4	2
103	есть в	5	2
104	но о	1	2
105	главным образом	1	2
106	и других	3	2
107	в его	5	2
108	из них	1	2
109	в виде	2	2
110	в силу	7	2
111	по-видимому не	2	2
112	и с	4	2
113	может ли	1	2
114	именно в	3	2
115	и мы	5	2
116	и тем	4	2
117	в них	3	2
118	не было	12	2
119	а не	12	2
120	в ряду	6	2
121	должно быть	5	2
122	нужно было	1	2
123	в эту	1	2
124	более чем	3	2
125	знать что	1	2
126	друг другу	1	2
127	не менее	5	2
128	все это	5	2
129	между прочим	3	2
130	слова но	1	2
131	при посредстве	2	2
132	мысль о	6	2
133	да и	4	2
134	еще более	2	2
135	тем более	5	2
136	для нас	14	2
137	заключает в	8	2
138	в частности	1	2
139	как на	1	2
140	том числе	1	2
141	в применении	1	1
142	из внешней	1	1
143	также что	1	1
144	равным образом	1	1
145	и через	1	1
146	связана с	1	1
147	и то	5	1
148	тем и	6	1
149	на основе	1	1
150	в сочетание	1	1
151	нового не	1	1
152	тем же	1	1
153	в себя	1	1
154	из предшествующего	1	1
155	выражается в	1	1
156	зрения той	1	1
157	должна быть	1	1
158	только а	1	1
159	на нее	3	1
160	поэзии и	7	1
161	те же	3	1
162	не с	2	1
163	и среди	1	1
164	очень далеко	1	1
165	стороны есть	1	1
166	к первому	2	1
167	том мире	1	1
168	в собственном	1	1
169	определенном смысле	1	1
170	верим в	1	1
171	находится в	5	1
172	не вполне	2	1
173	пор пока	2	1
174	оно есть	2	1
175	том виде	1	1
176	в некотором	1	1
177	мы и	2	1
178	и здесь	2	1
179	может не	1	1
180	настоящее время	1	1
181	и что	7	1
182	еще не	3	1
183	были бы	1	1
184	и на	3	1
185	частях своих	1	1
186	без которой	1	1
187	ответа на	1	1
188	в различных	2	1
189	науке и	1	1
190	различия между	1	1
191	связь между	3	1
192	не все	1	1
193	более как	1	1
194	что и	7	1
195	отличие от	1	1
196	и чем	2	1
197	них в	1	1
198	мы хотим	2	1
199	в истории	4	1
200	к внешнему	1	1
201	тем больше	1	1
202	и мир	1	1
203	судить по	2	1
204	тех пор	6	1
205	мысль и	1	1
206	все же	1	1
207	этой последней	1	1
208	обе эти	1	1
209	и слова	2	1
210	мы видим	2	1
211	бы из	1	1
212	духа в	1	1
213	в самом	3	1
214	но как	1	1
215	в которой	6	1
216	бы и	5	1
217	что это	7	1
218	их не	1	1
219	формы в	3	1
220	могли бы	4	1
221	вопрос об	1	1
222	есть для	5	1
223	из этих	2	1
224	если мы	2	1
225	именно на	2	1
226	человека с	1	1
227	в известном	1	1
228	что его	2	1
229	только один	1	1
230	утверждается как	1	1
231	уже в	5	1
232	во многих	2	1
233	в большинстве	2	1
234	только на	4	1
235	на то	7	1
236	если он	1	1
237	но на	1	1
238	в наших	2	1
239	положение что	1	1
240	как оно	2	1
241	и знать	1	1
242	ряду многих	1	1
243	можно думать	2	1
244	т д	3	1
245	только к	1	1
246	из этой	1	1
247	прикасается к	1	1
248	вероятно что	1	1
249	одно из	1	1
250	не как	2	1
251	иначе как	1	1
252	наших глазах	1	1
253	к первой	1	1
254	к ним	2	1
255	друг друга	2	1
256	это значение	2	1
257	мы можем	10	1
258	и только	3	1
259	само по	5	1
260	какой бы	1	1
261	на наш	1	1
262	над личностью	1	1
263	и по	3	1
264	каждого слова	1	1
265	основные черты	1	1
266	от нее	1	1
267	многих других	1	1
268	бы это	1	1
269	в каждом	3	1
270	сходства между	1	1
271	из двух	1	1
272	не были	2	1
273	большинстве случаев	2	1
274	она получила	1	1
275	ясно что	1	1
276	его в	4	1
277	в душе	1	1
278	первые могут	1	1
279	и быть	2	1
280	например с	2	1
281	было и	2	1
282	а с	1	1
283	в природе	1	1
284	что не	6	1
285	в это	2	1
286	но есть	4	1
287	которая и	1	1
288	из нее	2	1
289	к науке	2	1
290	далеко не	1	1
291	в этой	1	1
292	на основании	4	1
293	в действии	1	1
294	как и	14	1
295	с которым	2	1
296	как ни	2	1
297	явления которые	1	1
298	говорится о	2	1
299	его возможно	1	1
300	и я	2	1
301	относящиеся к	1	1
302	ведет к	3	1
303	и многие	2	1
304	в развитии	1	1
305	в бытии	1	1
306	не об	1	1
307	в одно	1	1
308	должна была	1	1
309	и еще	1	1
310	бы оно	1	1
311	что если	6	1
312	что истина	1	1
313	и при	2	1
314	в которые	1	1
315	не дается	1	1
316	так же	4	1
317	уже невозможно	1	1
318	из мира	1	1
319	представить себе	2	1
320	всяком случае	3	1
321	к предмету	1	1
322	ли они	1	1
323	того чем	1	1
324	определенно и	1	1
325	на каждом	1	1
326	мысли и	7	1
327	бы мы	1	1
328	в данном	4	1
329	вопрос о	2	1
330	можно говорить	1	1
331	времени с	1	1
332	теми же	2	1
333	эти последние	1	1
334	и более	4	1
335	там где	3	1
336	или что	2	1
337	словах в	1	1
338	и наоборот	1	1
339	ее части	1	1
340	и менее	1	1
341	стремления к	1	1
342	от тех	1	1
343	что есть	3	1
344	и другим	3	1
345	что происходит	2	1
346	эта мысль	2	1
347	что эта	1	1
348	с которой	1	1
349	она не	2	1
350	что с	1	1
351	не будут	1	1
352	но для	1	1
353	к другим	2	1
354	религиозные и	1	1
355	тогда когда	8	1
356	и глубины	1	1
357	с и	2	1
358	мнения о	1	1
359	этом деле	2	1
360	того чтобы	4	1
361	вообще можно	1	1
362	об отношении	2	1
363	не имеет	5	1
364	составляющее в	1	1
365	никогда не	3	1
366	казалось бы	1	1
367	о котором	1	1
368	в настоящее	1	1
369	значение без	1	1
370	чтобы понять	2	1
371	причины почему	1	1
372	находятся в	1	1
373	этих двух	1	1
374	не более	1	1
375	что народ	1	1
376	и притом	2	1
377	в ком	1	1
378	как она	2	1
379	что по	2	1
380	другой стороны	1	1
381	только что	3	1
382	в этих	3	1
383	чем оно	1	1
384	значило бы	1	1
385	давно уже	3	1
386	до тех	6	1
387	промежуток времени	1	1
388	нет ничего	3	1
389	в каком	4	1
390	из тех	2	1
391	половины xix	1	1
392	только как	4	1
393	относиться к	1	1
394	что все	4	1
395	есть признак	1	1
396	есть и	2	1
397	в других	2	1
398	ни к	2	1
399	числе и	1	1
400	мысли но	4	1
401	что то	3	1
402	допуская понятия	1	1
403	видим в	1	1
404	не есть	9	1
405	вместе с	6	1
406	это в	1	1
407	что от	2	1
408	отольется в	1	1
409	никакого сомнения	1	1
410	что при	1	1
411	во всяком	5	1
