N	2gram	Losev_Vlad_1	Morfolog
1	может быть	6	52
2	и т	2	49
3	т д	2	47
4	и пр	1	40
5	таким образом	3	20
6	представляет собой	1	17
7	не может	6	17
8	в этих	1	16
9	и в	31	13
10	в этом	14	13
11	так как	8	12
12	связи с	1	11
13	заметить что	1	10
14	то же	6	9
15	мы имеем	1	9
16	так и	6	9
17	прежде всего	1	9
18	а не	1	9
19	в связи	3	9
20	и не	17	9
21	что и	5	8
22	с другой	3	8
23	по существу	2	8
24	в результате	2	8
25	вопрос о	1	7
26	в качестве	6	7
27	в тех	2	7
28	все же	3	7
29	но если	1	7
30	но не	3	6
31	может считаться	1	6
32	это не	1	6
33	во время	3	6
34	не могут	1	6
35	и здесь	3	6
36	а также	5	6
37	в том	11	6
38	а в	9	6
39	мы не	1	5
40	во всех	1	5
41	то что	18	5
42	далеко не	1	5
43	не менее	2	5
44	потому что	11	5
45	или в	1	5
46	этот момент	2	5
47	один из	4	5
48	мы увидим	3	5
49	№ здесь	1	5
50	то перед	1	5
51	и другие	1	5
52	также и	10	4
53	увидим ниже	3	4
54	тех же	2	4
55	что его	4	4
56	то мы	3	4
57	как в	3	4
58	хотя и	4	4
59	и как	4	4
60	не только	24	4
61	на его	3	4
62	на этом	2	4
63	об этом	7	4
64	было бы	2	4
65	вовсе не	5	4
66	как и	4	4
67	несмотря на	4	4
68	точки зрения	2	4
69	тем не	2	4
70	ничего не	3	4
71	тем что	2	4
72	очень часто	1	4
73	в других	1	4
74	как мы	9	4
75	видно что	5	4
76	по отношению	1	4
77	случае не	1	4
78	и затем	2	4
79	другой стороны	3	4
80	так же	1	4
81	на пути	1	4
82	в точности	1	4
83	что в	14	4
84	самом деле	1	3
85	на самом	1	3
86	всего это	1	3
87	и для	2	3
88	заметим что	1	3
89	но в	12	3
90	в целом	3	3
91	в нашем	4	3
92	и по	8	3
93	но все	1	3
94	а по	2	3
95	из них	2	3
96	ни в	2	3
97	сам он	1	3
98	том что	14	3
99	в то	8	3
100	на него	3	3
101	того чтобы	2	3
102	живые существа	1	3
103	от того	1	3
104	на нем	1	3
105	раз он	1	3
106	то здесь	1	3
107	если бы	1	3
108	с того	2	3
109	но и	19	3
110	он не	10	3
111	к нему	4	3
112	можно ограничиться	1	3
113	в начале	3	3
114	а то	1	3
115	друг друга	1	3
116	мы можем	1	3
117	что они	3	3
118	то можно	1	3
119	из которых	1	3
120	определен как	1	3
121	но это	3	3
122	кроме того	7	3
123	это уже	1	3
124	мы должны	2	3
125	только что	2	3
126	же в	1	3
127	как это	7	2
128	считаться с	1	2
129	есть нечто	1	2
130	время как	1	2
131	для наших	1	2
132	совсем не	4	2
133	а с	5	2
134	как уже	1	2
135	и к	6	2
136	более или	3	2
137	то в	1	2
138	сказать о	1	2
139	из его	4	2
140	и за	2	2
141	мы уже	7	2
142	это было	6	2
143	то как	2	2
144	ни одной	1	2
145	с тем	2	2
146	представляют собою	1	2
147	и тогда	1	2
148	на первый	2	2
149	или менее	3	2
150	для него	7	2
151	что такое	2	2
152	таких случаях	1	2
153	настоящее время	1	2
154	и более	1	2
155	а а	4	2
156	все эти	3	2
157	в таких	1	2
158	с теми	1	2
159	одна из	1	2
160	и сразу	1	2
161	и его	7	2
162	так например	2	2
163	в каком	2	2
164	к себе	2	2
165	для того	2	2
166	здесь не	3	2
167	в в	3	2
168	то время	2	2
169	и что	6	2
170	не с	1	2
171	ясно что	2	2
172	показать как	1	2
173	о том	11	2
174	с одной	1	2
175	можно сказать	6	2
176	в различных	1	2
177	ни к	1	2
178	и только	1	2
179	с последующей	1	2
180	того что	2	2
181	можно отметить	1	2
182	хотя бы	2	2
183	что он	12	2
184	только в	9	2
185	себя в	4	2
186	уже не	3	2
187	или не	1	2
188	в виде	3	2
189	от других	1	2
190	от отца	1	2
191	у нее	1	2
192	брак и	1	2
193	себя и	1	2
194	сказать что	7	2
195	ниже в	1	2
196	что мы	2	2
197	в частности	2	2
198	д в	1	2
199	незадолго до	1	2
200	одной стороны	1	2
201	самого себя	1	2
202	не меняет	1	2
203	не существует	1	2
204	сразу же	1	2
205	в настоящее	1	2
206	от него	2	2
207	но вот	1	2
208	одной из	2	2
209	а во	1	2
210	в свое	5	2
211	к этому	6	2
212	к людям	1	1
213	и то	10	1
214	изучения в	1	1
215	к своей	2	1
216	почти всегда	1	1
217	в доме	7	1
218	он ничего	1	1
219	их и	1	1
220	то для	1	1
221	чего в	1	1
222	г в	1	1
223	есть не	1	1
224	она в	1	1
225	и была	1	1
226	это совершенно	1	1
227	на первом	2	1
228	к моему	1	1
229	ответить на	1	1
230	приводят к	1	1
231	он как	3	1
232	но она	3	1
233	что иное	1	1
234	не вполне	1	1
235	ему в	2	1
236	постоянные и	1	1
237	может дать	1	1
238	которые он	1	1
239	он был	14	1
240	или раньше	1	1
241	которые однако	1	1
242	жениться на	1	1
243	мы еще	1	1
244	что никаких	1	1
245	мы будем	2	1
246	но как	5	1
247	явлений и	1	1
248	с трудом	1	1
249	значение и	1	1
250	ответ на	2	1
251	тогда как	1	1
252	отношение к	3	1
253	она есть	1	1
254	которые не	1	1
255	тем больше	1	1
256	дает нам	1	1
257	для всех	1	1
258	мы имели	1	1
259	итак в	1	1
260	что касается	3	1
261	мысль о	1	1
262	может получить	1	1
263	своих детей	2	1
264	говорит что	4	1
265	но эта	1	1
266	его к	2	1
267	и был	6	1
268	в этот	4	1
269	со своей	3	1
270	в которой	4	1
271	из этих	2	1
272	не в	5	1
273	в этой	4	1
274	разбойники и	1	1
275	и тот	2	1
276	но во	1	1
277	на то	5	1
278	что она	2	1
279	главным образом	4	1
280	время и	2	1
281	чтобы начать	1	1
282	свою собственную	1	1
283	и вот	3	1
284	в россии	4	1
285	собственно говоря	3	1
286	одно и	1	1
287	наука не	1	1
288	по его	2	1
289	в каждом	1	1
290	здесь мы	3	1
291	однако все	1	1
292	то ни	1	1
293	же касается	4	1
294	них не	1	1
295	на все	2	1
296	с другими	1	1
297	три дня	1	1
298	они по	1	1
299	например с	1	1
300	и тем	1	1
301	даже в	2	1
302	в итоге	1	1
303	из первых	1	1
304	кажется что	2	1
305	в это	2	1
306	по всему	1	1
307	лет в	1	1
308	о которых	1	1
309	дать более	1	1
310	на что	2	1
311	этим и	1	1
312	чем в	1	1
313	нисколько не	2	1
314	это делает	2	1
315	в их	1	1
316	не столько	2	1
317	в первый	1	1
318	бы мы	1	1
319	что я	2	1
320	значение для	2	1
321	для изучения	1	1
322	которые в	1	1
323	при этом	2	1
324	но он	5	1
325	теми же	1	1
326	все это	5	1
327	никак нельзя	2	1
328	без всяких	1	1
329	для нее	2	1
330	тому что	1	1
331	сам с	2	1
332	и очень	3	1
333	она не	1	1
334	для меня	4	1
335	что с	2	1
336	что ему	1	1
337	то чего	1	1
338	и притом	3	1
339	и сама	1	1
340	весь этот	1	1
341	как его	1	1
342	дело не	2	1
343	с некоторой	1	1
344	может только	1	1
345	больше чем	2	1
346	же время	4	1
347	этих двух	1	1
348	или как	1	1
349	действительно в	1	1
350	к концу	2	1
351	за исключением	1	1
352	как на	2	1
353	к исторической	1	1
354	бы по	1	1
355	все с	1	1
356	одним из	2	1
357	у нас	6	1
358	детей в	1	1
359	в момент	2	1
360	его отец	1	1
361	если он	1	1
362	к тому	3	1
363	не есть	1	1
364	перед его	1	1
365	на это	2	1
366	только одну	1	1
367	где он	2	1
368	с ее	1	1
369	ехать в	1	1
370	нами выше	1	1
371	куда он	2	1
372	с самого	1	1
373	всей своей	1	1
374	роль в	1	1
375	на основании	2	1
376	как с	1	1
377	о тех	1	1
378	те же	1	1
379	а этот	1	1
380	еще в	4	1
381	во второй	1	1
382	и с	14	1
383	семь лет	1	1
384	он говорил	1	1
385	связанная с	1	1
386	ними и	2	1
387	иное как	1	1
388	вывод который	1	1
389	но к	1	1
390	на вопрос	1	1
391	но мы	2	1
392	всех подобных	1	1
393	бы то	1	1
394	и просто	3	1
395	там же	13	1
396	как было	2	1
397	их в	1	1
398	в приведенных	1	1
399	тогда мы	1	1
400	в его	12	1
401	и хорошо	1	1
402	во всей	1	1
403	в другой	1	1
404	которой все	1	1
405	ее отец	1	1
406	случаях очень	1	1
407	что бы	1	1
408	целом и	1	1
409	если это	1	1
410	к ней	4	1
411	после смерти	4	1
