N	3gram	Trubetskoy_1	Morfolog
1	в этом случае	3	9
2	в связи с	1	8
3	не может быть	4	8
4	по отношению к	1	4
5	с точки зрения	9	4
6	тем не менее	1	4
7	в обмен на	1	3
8	на самом деле	6	3
9	но все же	1	3
10	состоит в том	1	2
11	более или менее	4	2
12	в настоящее время	2	2
13	точно так же	2	2
14	и в других	1	2
15	на первый взгляд	1	2
16	и таким образом	1	2
17	к чему не	1	2
18	ни к чему	2	2
19	в большинстве случаев	2	2
20	для того чтобы	6	2
21	в том что	7	2
22	то ни стало	3	1
23	между прочим и	1	1
24	во что бы	3	1
25	до сих пор	5	1
26	том случае если	3	1
27	было бы показать	1	1
28	бы то ни	4	1
29	ни одна не	1	1
30	можно было бы	3	1
31	в противном случае	1	1
32	лишь постольку поскольку	1	1
33	в том случае	4	1
34	а с ними	1	1
35	и в некоторых	1	1
36	в применении к	1	1
37	в данном случае	3	1
38	что бы то	3	1
39	на этот вопрос	1	1
40	во всяком случае	6	1
41	так же и	1	1
42	и что его	1	1
43	главным образом как	1	1
44	потому что они	1	1
45	она могла бы	1	1
46	во всех этих	1	1
47	друг к другу	1	1
48	то же время	10	1
49	из которых каждый	2	1
50	на ряду с	1	1
51	о том что	2	1
52	мы прежде всего	1	1
53	может быть достигнуто	1	1
54	с самого начала	1	1
55	ни одна из	2	1
56	он не может	1	1
57	той или иной	3	1
58	на то что	4	1
59	в другом случае	2	1
60	прежде всего о	1	1
61	в то же	10	1
62	к тому что	2	1
63	как же может	1	1
64	друг с другом	14	1
65	всех этих случаях	1	1
