N	4gram	Nazirov_Tv_2	VLabPisa
1	в то же время	7	5
2	и в то же	2	3
3	и не может быть	2	2
4	в одном из писем	1	2
5	в том числе и	1	2
6	и в другом месте	1	2
7	купец самсонов в братьях	1	1
8	по поводу отцов и	1	1
9	запись от октября года	1	1
10	но в то же	1	1
11	если можно так выразиться	1	1
12	в том смысле что	1	1
13	ответ на этот вопрос	1	1
14	каждого из действующих лиц	1	1
15	нет и не может	1	1
16	самсонов в братьях карамазовых	1	1
17	одну и ту же	1	1
18	в другом месте в	1	1
19	так же как и	1	1
20	поводу отцов и детей	1	1
