N	2gram	Nazirov_Tr_1	Sovremen
1	таким образом	1	8
2	в результате	1	5
3	в этом	9	5
4	не может	5	5
5	и наконец	1	4
6	как бы	7	4
7	все эти	3	3
8	в целом	4	3
9	на две	1	3
10	в развитии	1	3
11	состоит из	2	3
12	с помощью	1	3
13	а на	1	2
14	на этом	1	2
15	в одном	2	2
16	все же	5	2
17	и в	18	2
18	но в	6	2
19	рот и	1	2
20	на этот	1	2
21	все это	4	2
22	в дальнейшем	5	2
23	в первом	2	2
24	по мнению	2	2
25	и все	4	2
26	прежде всего	4	2
27	не только	8	2
28	в виде	2	2
29	то же	5	2
30	не в	2	2
31	с одной	1	2
32	при этом	3	2
33	мы видим	1	2
34	и не	7	1
35	как мы	1	1
36	все время	1	1
37	всегда будет	1	1
38	это и	1	1
39	он не	2	1
40	еще раз	2	1
41	к области	2	1
42	роль в	1	1
43	как у	2	1
44	первом же	1	1
45	представление о	1	1
46	в то	5	1
47	что уже	1	1
48	и первое	1	1
49	как он	1	1
50	но они	2	1
51	в пьесе	1	1
52	в другом	1	1
53	сводится только	1	1
54	отличие от	2	1
55	но все	2	1
56	как и	5	1
57	в которой	1	1
58	она не	1	1
59	еще не	4	1
60	отметить что	1	1
61	несколько времени	1	1
62	является ли	1	1
63	подчеркнуть что	1	1
64	о том	2	1
65	один из	3	1
66	его с	1	1
67	играть в	1	1
68	с совершенно	1	1
69	и потому	1	1
70	это как	1	1
71	ничего не	2	1
72	между собой	1	1
73	сколько угодно	1	1
74	же время	6	1
75	так же	4	1
76	для нас	1	1
77	всего необходимо	1	1
78	что в	4	1
79	а не	1	1
80	или как	1	1
81	на них	1	1
82	той же	1	1
83	может быть	7	1
84	в целый	1	1
85	что при	1	1
86	и должно	1	1
87	а затем	1	1
88	на другой	1	1
89	но еще	1	1
90	в том	2	1
91	и т.д	1	1
92	это не	5	1
93	она всегда	1	1
94	это уже	2	1
95	уже в	3	1
96	в себе	4	1
97	одна из	2	1
98	и даже	4	1
99	именно эта	1	1
100	и от	1	1
101	в этой	4	1
102	но это	4	1
103	у него	6	1
104	этом случае	1	1
105	что это	5	1
106	он в	1	1
107	в нем	4	1
108	затем он	1	1
109	так сказать	1	1
110	чтобы он	1	1
111	и всегда	1	1
112	и по	1	1
113	что эта	1	1
114	ли мы	1	1
115	чем же	1	1
116	только к	2	1
117	в конце	3	1
118	уже чисто	1	1
119	том что	4	1
120	не могут	2	1
121	в своем	3	1
122	в отличие	2	1
123	необходимо отметить	1	1
124	на котором	1	1
