N	2gram	Trubetskoy_1	Problema
1	и не	8	28
2	то есть	2	27
3	не только	7	24
4	только в	6	23
5	в виде	4	22
6	вовсе не	2	21
7	в том	30	20
8	и в	23	20
9	все эти	19	16
10	потому что	9	15
11	смысле слова	1	15
12	то что	18	15
13	точки зрения	13	14
14	но и	9	14
15	у нас	3	14
16	было бы	3	14
17	не в	8	13
18	даже и	1	13
19	также и	2	13
20	или иной	1	13
21	перед нами	1	13
22	в себе	5	12
23	в нашем	3	12
24	не есть	2	12
25	том что	19	12
26	как будто	5	11
27	прежде всего	3	11
28	с точки	8	11
29	так и	10	10
30	не менее	7	10
31	тем не	4	10
32	и его	1	10
33	в качестве	1	10
34	отнюдь не	2	10
35	при помощи	3	10
36	в этом	12	9
37	и даже	1	9
38	все это	11	9
39	может быть	16	9
40	во всяком	2	8
41	и все	7	8
42	таким образом	31	8
43	но в	4	8
44	в результате	9	8
45	что он	7	8
46	если бы	8	8
47	есть в	2	7
48	еще не	5	7
49	здесь не	1	7
50	мы не	1	7
51	а не	1	7
52	именно в	5	7
53	и с	5	7
54	хотя бы	4	7
55	это не	3	7
56	то же	4	7
57	и потому	3	7
58	ясно что	8	7
59	и тем	1	7
60	в ней	3	7
61	сказать что	1	7
62	с другой	6	7
63	для нас	3	6
64	в одно	2	6
65	при этом	9	6
66	крайней мере	1	6
67	другой стороны	5	6
68	только при	2	6
69	и вообще	3	6
70	так что	5	6
71	и без	5	6
72	а только	1	6
73	есть не	1	6
74	в таком	4	6
75	но если	2	6
76	как и	9	6
77	и от	5	6
78	по крайней	1	6
79	всех этих	4	6
80	в виду	2	6
81	же самое	1	6
82	по своему	5	6
83	в данном	3	6
84	данном случае	3	5
85	жизни и	2	5
86	не может	17	5
87	так же	8	5
88	случае не	1	5
89	в нем	3	5
90	то и	2	5
91	но не	2	5
92	вместе с	6	5
93	на самом	7	5
94	хотя и	4	5
95	в этих	3	5
96	как в	1	5
97	каждый раз	1	5
98	да и	1	5
99	уже не	1	5
100	в них	2	5
101	и если	6	5
102	ничего общего	3	5
103	о том	7	5
104	в целях	1	5
105	если мы	4	5
106	так как	7	5
107	и наконец	3	4
108	только не	2	4
109	в разных	3	4
110	отличается от	6	4
111	и для	6	4
112	и ее	2	4
113	кроме того	1	4
114	что его	4	4
115	в этой	6	4
116	тем самым	3	4
117	с ним	6	4
118	в своей	1	4
119	с тем	2	4
120	а в	3	4
121	и только	2	4
122	что она	1	4
123	жизнь и	3	4
124	не имеет	1	4
125	в самой	2	4
126	это и	1	4
127	в то	6	4
128	в отношении	1	4
129	во всех	10	4
130	с этим	11	4
131	всяком случае	2	4
132	без всякого	1	4
133	но даже	3	4
134	уже в	1	4
135	однако не	1	4
136	несмотря на	6	4
137	тем более	3	4
138	никак не	1	4
139	можно было	1	4
140	как бы	10	4
141	для всех	1	3
142	на себе	2	3
143	и стремление	1	3
144	в другом	2	3
145	в связи	3	3
146	то это	1	3
147	а это	2	3
148	это есть	4	3
149	еще и	1	3
150	связи с	4	3
151	не было	2	3
152	в жизни	3	3
153	к нему	2	3
154	тем больше	1	3
155	в сознании	6	3
156	независимо от	2	3
157	и сама	1	3
158	с другими	1	3
159	между прочим	2	3
160	были бы	1	3
161	и другое	1	3
162	но все	5	3
163	что в	8	3
164	виде как	2	3
165	здесь мы	1	3
166	совершенно не	3	3
167	для него	2	3
168	в начале	2	3
169	мы все	2	3
170	только к	1	3
171	что и	7	3
172	в его	5	3
173	из которых	4	3
174	и весь	1	3
175	и к	5	3
176	как мы	2	3
177	другими словами	2	3
178	но как	2	3
179	не говоря	1	3
180	к его	1	3
181	к тому	8	3
182	мы должны	4	3
183	даже если	2	3
184	зависимости от	1	3
185	для того	8	3
186	сливаются в	1	3
187	в истории	3	3
188	можно ли	2	3
189	тем что	1	3
190	уже и	3	3
191	же и	1	3
192	в зависимости	1	3
193	то для	1	3
194	и на	6	3
195	мы можем	6	3
196	не так	4	3
197	что мы	4	3
198	заметим что	2	3
199	нет ничего	1	3
200	само собой	1	3
201	все они	5	3
202	из этого	6	3
203	самом деле	12	3
204	в области	4	3
205	а если	1	3
206	точно так	1	3
207	конечно не	3	3
208	себе и	1	3
209	из них	5	3
210	том или	1	3
211	все в	2	3
212	и как	1	3
213	как о	1	3
214	и более	2	3
215	в своем	10	3
216	в частности	2	2
217	в которой	5	2
218	о которых	6	2
219	в чистом	1	2
220	для ее	1	2
221	очень много	3	2
222	в значительной	1	2
223	все же	13	2
224	том чтобы	2	2
225	это все	1	2
226	жизни в	1	2
227	из себя	10	2
228	ни одна	1	2
229	по одному	3	2
230	того же	9	2
231	что они	2	2
232	не будет	5	2
233	нет в	2	2
234	для себя	2	2
235	никто не	2	2
236	не к	1	2
237	время как	1	2
238	а то	1	2
239	так чтобы	2	2
240	с ней	1	2
241	говоря уже	1	2
242	и вдруг	1	2
243	что это	5	2
244	другом случае	1	2
245	иное как	1	2
246	но именно	1	2
247	в конце	4	2
248	можно только	1	2
249	того чтобы	8	2
250	при условии	2	2
251	только они	1	2
252	тот же	3	2
253	что именно	1	2
254	если он	2	2
255	не очень	2	2
256	всех других	2	2
257	то в	2	2
258	на этой	2	2
259	смотреть на	1	2
260	его в	5	2
261	мы находим	1	2
262	приходит к	1	2
263	он тоже	2	2
264	в корне	1	2
265	достаточно ясно	1	2
266	этого не	1	2
267	между собой	4	2
268	том виде	2	2
269	а именно	1	2
270	только один	2	2
271	совершенно ясно	2	2
272	свидетельствует о	1	2
273	по этому	2	2
274	кажется что	1	2
275	и притом	1	2
276	она-то и	1	2
277	нет и	1	2
278	к ней	1	2
279	еще более	1	2
280	редких случаях	2	2
281	говорить о	2	2
282	в совершенно	3	2
283	но этот	1	2
284	они и	1	2
285	с ее	2	2
286	идет речь	8	2
287	общего с	2	2
288	чистом виде	1	2
289	не то	3	2
290	можно назвать	3	2
291	во всем	3	2
292	к своему	1	2
293	тому же	6	2
294	он не	3	2
295	тот или	1	2
296	вся эта	1	2
297	будто бы	1	2
298	со своей	1	2
299	перестает быть	1	2
300	только что	3	2
301	лучше сказать	1	2
302	представить себе	2	2
303	или менее	7	2
304	это было	1	2
305	этот путь	1	2
306	и может	3	2
307	однако это	2	2
308	чтобы все	3	2
309	с ними	2	2
310	между собою	5	2
311	но так	2	2
312	дело в	1	2
313	для этого	7	2
314	в котором	2	2
315	ни было	2	2
316	они могут	2	2
317	а наоборот	3	2
318	на его	1	2
319	в настоящей	1	2
320	а его	1	2
321	для всякого	1	2
322	на все	5	2
323	и что	8	2
324	не являются	1	2
325	далеко не	5	2
326	на земле	3	2
327	тоже с	1	2
328	друг друга	2	2
329	столь же	5	2
330	за ним	1	2
331	то время	2	2
332	не вполне	3	2
333	но по	3	2
334	была бы	1	2
335	с такою	1	2
336	и весьма	1	2
337	и где	2	2
338	а может	1	2
339	уже более	2	2
340	мы только	1	2
341	является только	1	2
342	и то	4	2
343	есть только	1	2
344	заключается в	2	2
345	и это	3	2
346	только на	1	2
347	как же	1	2
348	с его	1	2
349	однако мы	2	2
350	разобраться в	2	2
351	общество и	1	2
352	что во	1	2
353	в самом	8	2
354	под него	1	2
355	в других	1	2
356	и всех	1	2
357	однако в	1	2
358	и по	3	2
359	более или	7	2
360	не тем	1	2
361	как все	1	1
362	что оно	3	1
363	они вовсе	1	1
364	может не	3	1
365	себе отпечаток	2	1
366	одним из	4	1
367	что между	1	1
368	из таких	2	1
369	представляет собою	2	1
370	есть ничто	1	1
371	на более	2	1
372	эти черты	2	1
373	как при	2	1
374	не знает	2	1
375	по сравнению	5	1
376	никакого сомнения	1	1
377	сравнению с	5	1
378	смысл и	1	1
379	самого себя	4	1
380	бы в	3	1
381	что такие	2	1
382	гораздо более	2	1
383	и вот	1	1
384	когда же	1	1
