N	3gram	Voloshinov_1	Morfolog
1	и т д	1	47
2	в этом случае	1	9
3	не может быть	3	8
4	а также и	1	4
5	по отношению к	9	4
6	с точки зрения	10	4
7	тем не менее	2	4
8	на самом деле	2	3
9	не могут быть	3	3
10	но все же	1	3
11	с одной стороны	1	2
12	в таких случаях	2	2
13	в большинстве случаев	4	2
14	оно может быть	1	2
15	друг на друга	1	2
16	может быть и	1	2
17	для того чтобы	1	2
18	в том что	4	2
19	на первый взгляд	1	2
20	в то время	1	2
21	в настоящее время	1	2
22	следует заметить что	1	2
23	в собственном смысле	1	2
24	и таким образом	1	2
25	где оно есть	1	1
26	с самого начала	5	1
27	но если мы	2	1
28	во что бы	1	1
29	таким образом что	1	1
30	в таком случае	2	1
31	потому что отец	1	1
32	и все с	1	1
33	в то же	5	1
34	бы то ни	1	1
35	во многих отношениях	1	1
36	ему в голову	1	1
37	можно сказать что	3	1
38	что бы то	1	1
39	уже не может	1	1
40	можно сказать о	1	1
41	видим таким образом	1	1
42	на каком материале	1	1
43	иметь в виду	1	1
44	что же касается	1	1
45	то ни стало	1	1
46	во всех этих	1	1
47	о том что	1	1
48	о мотивах и	1	1
49	то что он	1	1
50	и то же	1	1
51	том что он	2	1
52	так как его	1	1
53	и может быть	2	1
54	в мифах и	1	1
55	далеко не всегда	3	1
56	мы видим таким	1	1
57	это уже не	1	1
58	сих пор не	1	1
59	из этих двух	1	1
60	то же время	5	1
61	но и его	1	1
62	совершенно убежден что	1	1
63	или во всяком	1	1
64	на этот вопрос	1	1
65	в какой степени	1	1
66	одно и то	1	1
67	во всяком случае	3	1
68	это было бы	1	1
69	вопрос о мотивах	1	1
70	в данном случае	3	1
71	как бы в	1	1
72	хотя и не	1	1
73	до сих пор	3	1
74	ни в каких	1	1
