N	3gram	Vinokur_Ku_2	Tragedij
1	то же время	3	5
2	в то же	3	5
3	в отличие от	2	2
4	точно так же	3	2
5	и в частности	1	2
6	в данном случае	1	2
7	в году в	1	2
8	о том что	1	2
9	и в самом	2	2
10	но все же	2	2
11	в том что	10	2
12	с первого же	2	2
13	в этом случае	2	1
14	не только нет	1	1
15	в виде отдельных	1	1
16	бы может быть	1	1
17	и до конца	1	1
18	и что же?	1	1
19	в своей книге	1	1
20	хотя бы и	2	1
21	сам по себе	1	1
22	что он не	1	1
23	и то что	1	1
24	и т п	24	1
25	ту же мысль	1	1
26	за что не	1	1
27	что все это	1	1
28	может быть не	1	1
29	бы и в	1	1
30	в виду не	1	1
31	во всяком случае	5	1
32	в конце концов	3	1
33	смысле этого слова	1	1
34	по сравнению с	1	1
35	тем не менее	5	1
36	не могут быть	1	1
37	быть не так	1	1
38	по природе своей	1	1
39	в связи с	3	1
40	что я не	3	1
41	первого же взгляда	1	1
42	вместо того чтобы	1	1
43	не может быть	4	1
44	на русский язык	1	1
45	то вряд ли	1	1
46	с самого начала	1	1
47	в самом деле	7	1
48	несмотря на все	1	1
49	я не хочу	1	1
50	после того как	1	1
51	ни за что	1	1
52	к тому что	1	1
53	не правда ли	2	1
54	как и в	1	1
55	и в сфере	1	1
56	то и дело	1	1
