N	2gram	Trubetskoy_1	Sovremen
1	таким образом	31	8
2	в результате	9	5
3	в этом	12	5
4	не может	17	5
5	мы можем	6	4
6	и наконец	3	4
7	мы не	1	4
8	в каждом	1	4
9	как бы	10	4
10	все эти	19	3
11	в целом	5	3
12	мы получаем	1	3
13	зависимости от	1	3
14	в развитии	1	3
15	состоит из	4	3
16	в зависимости	1	3
17	из двух	2	3
18	друг с	9	2
19	из этих	8	2
20	а на	1	2
21	как известно	3	2
22	у нас	3	2
23	на этом	2	2
24	все же	13	2
25	и в	23	2
26	но в	4	2
27	между всеми	1	2
28	мы должны	4	2
29	этих двух	2	2
30	что же	2	2
31	у каждого	1	2
32	все это	11	2
33	в дальнейшем	2	2
34	в первом	1	2
35	с другом	9	2
36	с общим	2	2
37	на этой	2	2
38	по мнению	1	2
39	тот же	3	2
40	если мы	4	2
41	и все	7	2
42	мы видели	2	2
43	прежде всего	3	2
44	не только	7	2
45	точки зрения	13	2
46	в виде	4	2
47	наконец не	1	2
48	то же	4	2
49	из которых	4	2
50	не в	8	2
51	с одной	3	2
52	при этом	9	2
53	мы видим	1	2
54	который как	1	2
55	точно такие	1	1
56	и не	8	1
57	как мы	2	1
58	рядом и	1	1
59	в процессе	2	1
60	из приведенных	1	1
61	и из	2	1
62	может не	3	1
63	всегда будет	3	1
64	время из	1	1
65	это и	1	1
66	вследствие этого	2	1
67	таким же	3	1
68	он не	3	1
69	что роль	1	1
70	мы будем	3	1
71	только одно	2	1
72	для их	1	1
73	так называемых	1	1
74	у всех	1	1
75	же они	1	1
76	роль в	1	1
77	как у	3	1
78	их в	2	1
79	только такой	1	1
80	то они	3	1
81	а в	3	1
82	каждый раз	1	1
83	представление о	3	1
84	в то	6	1
85	по его	2	1
86	в своих	2	1
87	и свою	1	1
88	потом и	1	1
89	на другую	1	1
90	этот процесс	2	1
91	в нашем	3	1
92	один конец	1	1
93	в первое	1	1
94	причем эти	1	1
95	отдельными частями	1	1
96	свою очередь	2	1
97	дело в	1	1
98	все те	1	1
99	за шагом	1	1
100	должен быть	1	1
101	с другой	6	1
102	в другом	2	1
103	можно назвать	3	1
104	для каждого	1	1
105	отличие от	3	1
106	на второй	1	1
107	но все	5	1
108	как и	9	1
109	в которой	5	1
110	она не	2	1
111	еще не	5	1
112	независимо от	2	1
113	на их	1	1
114	бы к	1	1
115	в отдельных	2	1
116	шаг за	1	1
117	мы всегда	1	1
118	является ли	3	1
119	жизни и	2	1
120	еще более	1	1
121	о том	7	1
122	того же	9	1
123	один из	1	1
124	на друга	1	1
125	их на	1	1
126	и потому	3	1
127	ничего не	1	1
128	между собой	4	1
129	а все	1	1
130	же время	2	1
131	так же	8	1
132	для нас	3	1
133	все более	1	1
134	и у	4	1
135	что в	8	1
136	в один	2	1
137	ясно что	8	1
138	чем в	3	1
139	в течение	4	1
140	а не	1	1
141	это делает	1	1
142	совершенно так	4	1
143	той же	1	1
144	между ними	2	1
145	может быть	16	1
146	видели что	1	1
147	в общий	2	1
148	он должен	2	1
149	образом все	1	1
150	что при	6	1
151	видим что	1	1
152	а потом	1	1
153	а затем	2	1
154	тем же	2	1
155	отдельных элементов	1	1
156	от другой	1	1
157	кроме того	1	1
158	но еще	1	1
159	нами в	1	1
160	в том	30	1
161	и т.д	4	1
162	чем объясняется	1	1
163	его мнению	1	1
164	промежуток времени	2	1
165	из одного	2	1
166	одной и	2	1
167	это не	3	1
168	уже в	1	1
169	конечно не	3	1
170	в себе	5	1
171	теперь мы	2	1
172	одной стороны	2	1
173	на куски	1	1
174	друг на	1	1
175	одна из	2	1
176	и даже	1	1
177	и от	5	1
178	в этой	6	1
179	поэтому мы	1	1
180	так как	7	1
181	у него	5	1
182	этого явления	2	1
183	и той	1	1
184	этом случае	4	1
185	ибо при	1	1
186	что это	5	1
187	этот вопрос	2	1
188	он в	1	1
189	только все	1	1
190	же как	3	1
191	не подлежит	3	1
192	в нем	3	1
193	подлежит сомнению	3	1
194	перед глазами	1	1
195	на которых	1	1
196	а но	1	1
197	и к	5	1
198	же самое	1	1
199	дело идет	1	1
200	этого доказательства	1	1
201	между двумя	5	1
202	и по	3	1
203	и следовательно	1	1
204	что эта	4	1
205	и более	2	1
206	только к	1	1
207	в конце	4	1
208	они не	2	1
209	развития и	1	1
210	в свою	2	1
211	первое время	5	1
212	на которой	1	1
213	том что	19	1
214	не могут	4	1
215	в своем	10	1
216	и будет	2	1
217	для этих	1	1
218	на котором	1	1
