N	3gram	Vygotskiy__5	FransuaR
1	до сих пор	5	4
2	на самом деле	2	3
3	в отличие от	2	3
4	для того чтобы	19	3
5	говорит об этом	1	2
6	по отношению к	1	2
7	жизни и смерти	1	2
8	в этом отношении	3	2
9	можно было бы	3	2
10	одной и той	2	2
11	по сравнению с	4	2
12	и той же	2	2
13	не может быть	2	2
14	все то что	2	2
15	в этом образе	1	2
16	в данном случае	2	2
17	о том что	6	2
18	той или иной	2	2
19	и в романе	1	2
20	можно сказать что	2	2
21	мы уже приводили	1	2
22	смысле этого слова	1	1
23	в другом месте	1	1
24	на том что	1	1
25	что иное как	2	1
26	в основе своей	1	1
27	и в сущности	1	1
28	что в основе	1	1
29	том что в	1	1
30	но только не	1	1
31	прежде всего на	1	1
32	оно может быть	1	1
33	дело в том	1	1
34	требует от нас	1	1
35	и смерти в	1	1
36	в этом случае	2	1
37	как это делает	2	1
38	с точки зрения	2	1
39	на первый план	2	1
40	которая могла бы	1	1
41	первое из них	1	1
42	но несмотря на	1	1
43	вместо того чтобы	1	1
44	в собственном смысле	1	1
45	что в нем	1	1
46	и это очень	1	1
47	что в то	1	1
48	в значительной мере	1	1
49	может быть и	2	1
50	остановимся прежде всего	1	1
51	романа на этом	1	1
52	и в частности	1	1
53	что оно может	1	1
54	в применении к	1	1
55	то же событие	2	1
56	такой полнотой и	1	1
57	не что иное	2	1
58	все эти три	1	1
59	в том чтобы	2	1
60	и тем же	3	1
61	в самом существенном	1	1
62	и в этом	1	1
63	как будто бы	1	1
64	и в этой	1	1
65	там же где	1	1
66	то что он	3	1
67	слов то есть	1	1
68	с другой стороны	5	1
69	мы все время	1	1
70	само по себе	2	1
71	одним и тем	3	1
72	мы видели что	1	1
73	только то что	1	1
74	сих пор не	1	1
75	в том именно	1	1
76	потому что через	1	1
77	заключается в том	6	1
78	в свою очередь	1	1
79	с такой полнотой	1	1
80	с самого начала	3	1
81	и в самом	2	1
82	что он изображает	1	1
83	но никак не	1	1
84	мы знаем что	2	1
85	том именно и	1	1
86	мы имеем в	1	1
87	например в том	1	1
88	каждый из этих	1	1
89	и др в	1	1
90	мы видим что	3	1
91	этому мы находим	1	1
92	мы уже указывали	1	1
93	уже указывали на	1	1
94	именно для того	1	1
95	на одном из	1	1
96	в том что	14	1
97	одна из самых	1	1
98	и в другом	1	1
