N	2gram	Tiupa_Disk_2	ViktorSh
1	в книге	1	3
2	и в	16	2
3	том что	10	2
4	в том	8	2
5	а.н веселовского	1	2
6	и только	1	1
7	крайней мере	1	1
8	все дело	1	1
9	ни к	5	1
10	и том	1	1
11	в другом	3	1
12	и не	15	1
13	и его	3	1
14	потому что	4	1
15	я не	1	1
16	более чем	2	1
17	сводится к	2	1
18	и то	4	1
19	самом деле	1	1
20	другом месте	1	1
21	и т.д	1	1
22	к созданию	1	1
23	все это	2	1
24	именно в	2	1
25	этом и	1	1
26	чего не	3	1
27	собственно и	2	1
28	дело в	2	1
29	в частности	12	1
30	так в	1	1
31	речи и	1	1
32	одно и	2	1
33	все то	1	1
34	не одно	1	1
35	столь же	3	1
36	время в	2	1
37	в сугубо	1	1
38	в которых	1	1
39	в значительной	1	1
40	в самом	1	1
41	только в	3	1
42	то же	6	1
43	далеко не	2	1
44	и составляет	1	1
45	к чему	1	1
46	но это	3	1
47	в этом	16	1
48	одном и	1	1
49	да и	1	1
50	по крайней	1	1
51	на одном	1	1
52	к этому	4	1
53	значительной степени	1	1
54	том же	1	1
