N	3gram	Berdyaev_M_1	Hudozhes
1	о том что	1	9
2	и т п	1	8
3	по отношению к	2	8
4	в том что	1	6
5	в самом деле	1	4
6	можно было бы	1	4
7	и быть может	1	3
8	несет в себе	1	3
9	и в самом	3	3
10	что он не	2	2
11	до сих пор	2	2
12	не только в	2	2
13	это прежде всего	1	2
14	в значительной степени	1	2
15	не в том	1	2
16	в этих словах	1	2
17	не может быть	17	2
18	и в конце	2	1
19	на том что	1	1
20	потому что он	1	1
21	не может не	2	1
22	но и от	1	1
23	прежде всего в	2	1
24	к жизни в	1	1
25	в существовании этого	1	1
26	потому что не	1	1
27	человека а не	1	1
28	том случае если	1	1
29	в иных случаях	1	1
30	и та же	1	1
31	и вот я	1	1
32	в себе и	1	1
33	в отличие от	1	1
34	ни с какой	1	1
35	к тому чтобы	2	1
36	заключает в себе	3	1
37	как и все	1	1
38	в том случае	1	1
39	очень существенно для	1	1
40	и по отношению	1	1
41	что в центре	1	1
42	в высшей степени	2	1
43	в конце концов	2	1
44	не до конца	1	1
45	не только для	1	1
46	в этот момент	1	1
47	он уже не	2	1
48	в нем не	2	1
49	во всяком случае	1	1
50	он не знает	2	1
51	одна и та	1	1
52	как бы в	1	1
53	между этими двумя	1	1
54	как будто бы	2	1
55	в этом он	2	1
56	с того что	1	1
57	с тем что	3	1
58	утра до вечера	1	1
59	ни у кого	1	1
60	то что ведь	1	1
61	в том смысле	2	1
62	во многих отношениях	1	1
63	не только от	1	1
64	момент когда он	1	1
65	она не может	1	1
66	он живет в	2	1
67	с утра до	1	1
68	достоевского и л	1	1
