N	2gram	Propp_Morf_1	NovoeSre
1	а не	11	17
2	и в	13	16
3	не может	14	16
4	совсем не	3	12
5	и не	12	11
6	и есть	2	10
7	что в	8	9
8	как не	1	8
9	в том	6	8
10	он не	3	8
11	в этом	14	7
12	в новой	1	7
13	может быть	52	7
14	не будет	1	7
15	как и	3	7
16	высшей степени	1	6
17	с его	2	6
18	не в	3	6
19	ни в	1	6
20	в высшей	1	6
21	но это	6	6
22	не знает	1	6
23	с ее	1	5
24	и к	4	5
25	не только	4	5
26	большую роль	1	4
27	о том	2	4
28	в них	1	4
29	то что	8	4
30	это не	6	4
31	прежде всего	9	4
32	должно быть	1	4
33	по своему	2	4
34	значит что	3	4
35	не менее	5	4
36	и для	2	4
37	не имеет	2	4
38	и все	1	4
39	потому что	3	4
40	наши дни	1	3
41	с другой	8	3
42	смысле слова	4	3
43	должна быть	1	3
44	вопрос о	7	3
45	еще не	3	3
46	во всех	4	3
47	наряду с	5	3
48	как в	3	3
49	не значит	2	3
50	подобно тому	6	3
51	перейти к	2	3
52	но и	4	3
53	это было	3	3
54	не есть	1	3
55	и пр	37	3
56	стремится к	1	3
57	не означает	1	3
58	с тем	2	3
59	в своей	1	3
60	тому как	5	3
61	в россии	2	3
62	она не	2	3
63	эти формы	2	3
64	что такое	3	3
65	не существует	3	3
66	в основе	1	3
67	к тому	4	3
68	в наши	1	3
69	сказать что	2	3
70	связана с	3	2
71	это и	2	2
72	время как	3	2
73	ведь и	1	2
74	к созданию	1	2
75	можно было	2	2
76	так и	6	2
77	мы не	8	2
78	и с	1	2
79	но она	1	2
80	и что	2	2
81	и на	1	2
82	много ли	1	2
83	но не	4	2
84	с этим	11	2
85	всякое значение	1	2
86	помнить что	1	2
87	ни к	2	2
88	хотя и	3	2
89	но в	2	2
90	духа в	1	2
91	который в	2	2
92	все эти	2	2
93	с одной	1	2
94	себя в	1	2
95	в себе	1	2
96	уже не	2	2
97	у него	1	2
98	что она	2	2
99	и даже	1	2
100	том что	4	2
101	так же	3	2
102	одной стороны	1	2
103	другой стороны	4	2
104	по существу	12	2
105	ни одна	4	2
106	как будто	2	2
107	как это	3	2
108	такой же	1	2
109	но для	2	2
110	равно как	1	2
111	в то	3	2
112	одна из	4	2
113	того чтобы	3	2
114	хотя бы	4	2
115	все они	1	2
116	а в	7	2
117	когда мы	1	2
118	могут быть	16	2
119	можно назвать	3	2
120	нужно помнить	1	1
121	оно может	3	1
122	людей в	1	1
123	он может	2	1
124	к таким	1	1
125	более широкого	1	1
126	хочет его	1	1
127	поставлен вопрос	1	1
128	он требует	2	1
129	приводит к	2	1
130	и до	1	1
131	можно лишь	1	1
132	на западе	1	1
133	слова а	1	1
134	может идти	1	1
135	и этот	1	1
136	в образе	4	1
137	с собой	3	1
138	мы уже	1	1
139	не с	2	1
140	еще в	1	1
141	можно сказать	2	1
142	говорить о	3	1
143	в дальний	1	1
144	оно есть	1	1
145	путь на	1	1
146	века тогда	1	1
147	то это	3	1
148	под этим	1	1
149	в виду	1	1
150	с большим	1	1
151	начала которые	1	1
152	это время	1	1
153	что его	2	1
154	в чем	1	1
155	даны лишь	1	1
156	не могут	4	1
157	к нему	3	1
158	что никаких	1	1
159	обреченный на	1	1
160	значение и	1	1
161	в его	1	1
162	в эти	1	1
163	отличие от	1	1
164	ее он	1	1
165	лишь к	1	1
166	значение для	1	1
167	и она	1	1
168	к ложным	1	1
169	как например	2	1
170	и нет	1	1
171	будто не	2	1
172	в формах	1	1
173	говорит что	1	1
174	от вопроса	1	1
175	что он	4	1
176	только в	2	1
177	во всем	1	1
178	отнесены к	1	1
179	в этот	1	1
180	то нет	1	1
181	к чему	3	1
182	он действует	2	1
183	то время	3	1
184	из этих	1	1
185	для всех	1	1
186	и хочет	1	1
187	но во	1	1
188	и у	1	1
189	вопроса о	1	1
190	в большинстве	3	1
191	вообще не	1	1
192	раньше чем	3	1
193	от других	2	1
194	большинстве случаев	3	1
195	все другие	1	1
196	из них	3	1
197	одному из	3	1
198	все еще	3	1
199	для того	2	1
200	и их	2	1
201	этого нельзя	2	1
202	всяком случае	2	1
203	и когда	1	1
204	своему строению	1	1
205	который можно	1	1
206	но ведь	1	1
207	часто не	1	1
208	друг друга	3	1
209	которые могут	1	1
210	тем что	4	1
211	в нее	1	1
212	от того	3	1
213	в основу	2	1
214	но все	3	1
215	это значит	1	1
216	том случае	1	1
217	них не	1	1
218	а по	3	1
219	на ее	1	1
220	с другими	1	1
221	она создает	1	1
222	было бы	3	1
223	от неба	1	1
224	лишь на	2	1
225	труд и	1	1
226	себя и	2	1
227	что не	1	1
228	но оно	2	1
229	нет в	1	1
230	а на	3	1
231	они не	1	1
232	в этой	2	1
233	не на	2	1
234	этого не	2	1
235	не всегда	9	1
236	что мы	2	1
237	проходит через	1	1
238	в этих	13	1
239	во время	6	1
240	уже давно	1	1
241	но если	7	1
