N	2gram	Tiupa_Disk_1	StatiiOP
1	и в	16	29
2	том что	19	27
3	в том	23	27
4	в этом	15	21
5	не только	28	19
6	но и	14	19
7	что в	4	19
8	о том	8	17
9	пушкиным в	1	14
10	в и	1	13
11	в его	7	13
12	что он	4	13
13	в которой	1	11
14	то что	5	11
15	таким образом	3	10
16	к тому	5	10
17	в своем	6	9
18	он не	1	9
19	потому что	4	9
20	так и	8	9
21	этом отношении	1	9
22	и не	11	9
23	но в	8	8
24	как раз	1	8
25	я не	1	7
26	в самом	3	7
27	так например	2	7
28	но все	1	7
29	в г	2	7
30	в своей	5	7
31	в котором	5	7
32	не столько	1	7
33	в виду	2	7
34	с тем	1	7
35	вместе с	1	7
36	одним из	2	6
37	вопрос о	1	6
38	и на	5	6
39	все же	3	6
40	и его	2	6
41	об этом	2	6
42	и что	2	6
43	в одном	2	6
44	до сих	1	6
45	было бы	1	5
46	точки зрения	3	5
47	в русской	1	5
48	того что	3	5
49	между тем	4	5
50	в качестве	34	5
51	своего рода	8	5
52	обратить внимание	2	5
53	прежде всего	11	5
54	а не	22	5
55	о чем	2	5
56	в той	1	5
57	как бы	5	5
58	сих пор	1	5
59	речь идет	1	4
60	хотя и	2	4
61	и к	4	4
62	не приходится	2	4
63	по словам	2	4
64	в нем	9	4
65	в другом	2	4
66	не в	7	4
67	дело в	1	4
68	но также	1	4
69	и о	4	4
70	времени и	3	4
71	внимание на	4	4
72	связи с	4	4
73	в значении	2	4
74	при помощи	1	4
75	для него	4	4
76	с другой	10	4
77	именно в	3	4
78	в частности	9	4
79	своего времени	2	4
80	а как	1	4
81	к этому	2	4
82	например в	2	3
83	самом деле	1	3
84	на самом	1	3
85	идет о	1	3
86	в году	2	3
87	в их	5	3
88	хотя бы	3	3
89	здесь между	1	3
90	и он	2	3
91	не был	1	3
92	но не	11	3
93	могло быть	1	3
94	не то	1	3
95	как в	10	3
96	с этим	3	3
97	не было	7	3
98	о царе	1	3
99	что это	1	3
100	в известном	1	3
101	тому же	5	3
102	в начале	2	3
103	в россии	1	3
104	которой является	1	3
105	из них	3	3
106	не мог	1	3
107	в этих	1	3
108	по себе	3	3
109	не менее	2	3
110	самого начала	1	3
111	одной из	4	3
112	не могло	2	3
113	никогда не	2	3
114	нельзя не	2	3
115	на себя	2	3
116	и по	2	3
117	это слово	1	3
118	тем что	3	3
119	оно не	2	3
120	действующие лица	1	3
121	с самого	1	3
122	должно было	1	3
123	наконец в	1	3
124	но это	1	3
125	всяком случае	1	3
126	что на	1	3
127	и даже	3	3
128	еще и	1	3
129	а с	5	3
130	пушкина как	1	3
131	до конца	1	3
132	другой стороны	3	3
133	не является	4	3
134	другое дело	1	3
135	отношении к	1	3
136	во всяком	2	3
137	делает вполне	1	2
138	как известно	1	2
139	также и	3	2
140	того же	3	2
141	только потому	1	2
142	думал о	1	2
143	тем же	1	2
144	из его	1	2
145	то же	7	2
146	для своего	2	2
147	в полной	1	2
148	с его	4	2
149	присутствует в	1	2
150	тогда как	19	2
151	отличие от	5	2
152	нет и	1	2
153	что они	1	2
154	на то	1	2
155	были не	1	2
156	в истории	4	2
157	в одной	3	2
158	и как	6	2
159	более или	2	2
160	в этой	2	2
161	в себе	7	2
162	для которых	1	2
163	в словаре	1	2
164	и те	1	2
165	на его	4	2
166	при этом	13	2
167	если бы	1	2
168	тем не	1	2
169	не к	1	2
170	и более	1	2
171	о мире	1	2
172	значительной степени	2	2
173	для своей	1	2
174	это было	2	2
175	на почве	1	2
176	о которых	1	2
177	как и	16	2
178	несмотря на	1	2
179	или менее	2	2
180	что такое	1	2
181	с точки	1	2
182	как произведение	1	2
183	в отличие	5	2
184	от его	1	2
185	что было	1	2
186	не могли	1	2
187	где нет	1	2
188	и вся	1	2
189	но они	2	2
190	что с	2	2
191	в то	3	2
192	дело не	2	2
193	не имеет	1	2
194	в процессе	5	2
195	и теперь	1	2
196	не может	9	2
197	не по	1	2
198	в области	1	2
199	в каком	1	2
200	и это	1	2
201	в ее	3	2
202	и сам	1	2
203	особенно в	1	2
204	еще в	3	2
205	а также	8	2
206	что оба	1	2
207	в значительной	2	2
208	по их	1	2
209	что и	3	2
210	отметить что	1	2
211	в книгу	1	2
212	чем он	2	2
213	в какой	2	2
214	только в	7	2
215	очевидно что	1	2
216	сами по	2	2
217	в конце	1	2
218	исторический роман	1	2
219	может быть	17	2
220	в них	4	2
221	в особенности	4	2
222	со стороны	7	2
223	в период	1	2
224	с той	1	2
225	и др	2	2
226	говорит о	1	2
227	только по	1	2
228	не на	1	2
229	его как	2	2
230	как говорит	1	2
231	и вообще	2	2
232	и потому	3	2
233	как это	1	2
234	по своему	3	2
235	в данном	5	2
236	такого рода	4	2
237	в тех	2	2
238	только о	1	2
239	с этой	1	2
240	в первые	1	2
241	из романа	1	2
242	в результате	1	2
243	а к	1	2
244	во время	1	2
245	сказать что	3	2
246	и другие	1	2
247	они не	2	2
248	языка с	2	1
