1	все это	4	7
2	в том	14	5
3	в этом	8	5
4	и в	19	3
5	в его	1	3
6	не в	8	3
7	но ведь	2	3
8	не только	19	3
9	как же	3	3
10	и только	4	3
11	должна быть	5	2
12	том что	10	2
13	как бы	14	2
14	главным образом	1	2
15	далеко не	1	2
16	только в	5	2
17	как только	3	2
18	то же	12	2
19	может быть	20	2
20	и что	5	2
21	это и	3	2
22	как будто	7	2
23	только как	3	2
24	что в	7	2
25	в конце	2	2
26	в частности	2	2
27	их между	1	2
28	по существу	1	2
29	то что	14	2
30	за пределы	4	2
31	было бы	3	2
32	литературы и	1	2
33	еще не	4	2
34	в результате	2	2
35	ведь это	3	2
36	дело не	2	2
37	конце концов	1	2
38	к которому	1	2
39	но и	12	2
40	в смысле	5	2
41	или даже	1	2
42	тем более	1	2
43	и мы	3	2
44	таким образом	4	2
45	очевидно что	2	2
46	наконец в	1	1
47	но не	6	1
48	а в	4	1
49	в данном	3	1
50	это дает	1	1
51	еще и	1	1
52	и не	30	1
53	сама по	7	1
54	его в	3	1
55	сказать и	1	1
56	со своими	1	1
57	эти вопросы	3	1
58	развития и	1	1
59	можно принять	1	1
60	даже не	1	1
61	в котором	1	1
62	более не	1	1
63	без этого	4	1
64	одной стороны	1	1
65	только тогда	7	1
66	тем что	2	1
67	из себя	1	1
68	и стало	5	1
69	в любой	2	1
70	они не	3	1
71	не от	1	1
72	те же	1	1
73	у него	1	1
74	прежде всего	8	1
75	только для	1	1
76	крайней мере	9	1
77	и как	10	1
78	это значит	8	1
79	но только	3	1
80	том как	2	1
81	с другой	5	1
82	что он	6	1
83	о том	5	1
84	эти два	2	1
85	с одной	2	1
86	существу своему	1	1
87	на все	2	1
88	так и	10	1
89	ибо по	1	1
90	что это	10	1
91	образом в	1	1
92	связи с	4	1
93	все то	1	1
94	тогда и	1	1
95	в целом	1	1
96	и его	5	1
97	два или	1	1
98	в то	6	1
99	что все	1	1
100	хотя бы	4	1
101	в области	2	1
102	и по	4	1
103	по крайней	9	1
104	тем же	2	1
105	это же	1	1
106	только то	4	1
107	только поэзия	1	1
108	именно в	2	1
109	на что	1	1
110	и понимает	1	1
111	это как	3	1
112	это вовсе	2	1
113	по самому	1	1
114	все же	4	1
115	в мире	2	1
116	мы еще	1	1
117	обходится без	1	1
118	именно такого	1	1
119	же это	4	1
120	на ней	1	1
121	перед нами	2	1
122	доказательством этого	1	1
123	том и	1	1
124	и о	1	1
125	не мешает	5	1
126	и более	3	1
127	между собою	3	1
128	не может	9	1
129	же самое	2	1
130	на первый	1	1
131	по себе	18	1
132	представить себе	1	1
133	но она	1	1
134	дает нам	1	1
135	самому существу	1	1
136	или не	2	1
137	в этой	3	1
138	как и	10	1
139	и есть	4	1
140	но как	5	1
141	отнюдь не	6	1
142	в силу	5	1
143	же по	1	1
144	ничего не	3	1
145	новые и	2	1
146	в каждом	2	1
147	в этих	3	1
148	конечно не	6	1
149	что эти	2	1
150	остается в	1	1
151	в связи	4	1
152	и должно	2	1
153	в сущности	2	1
154	вступает в	1	1
155	иначе и	2	1
156	во всяком	2	1
157	зависит от	2	1
158	никогда не	9	1
159	больше того	1	1
160	тотчас же	1	1
161	тому что	2	1
162	что она	14	1
163	ни на	2	1
164	я и	2	1
165	мы не	1	1
166	между тем	2	1
167	всяком случае	2	1
168	даже в	3	1
169	стало быть	10	1
170	не без	1	1
171	из тех	1	1
172	что личность	2	1
173	все эти	2	1
174	слишком много	1	1
175	опираясь на	1	1
176	вовсе не	13	1
177	это не	10	1
178	мы должны	2	1
179	что на	2	1
180	или нет	3	1
181	именно на	1	1
182	в чем	3	1
183	может не	4	1
184	же не	3	1
185	мы понимаем	1	1
186	именно и	1	1
187	в них	1	1
188	против этого	1	1
189	же время	5	1
190	в своей	8	1
191	и потому	5	1
192	с ним	4	1
193	время в	1	1
194	как живой	1	1
195	не было	3	1
196	и никакая	1	1
197	в виде	2	1
198	когда мы	3	1
