N	2gram	Propp_Isto_3	Formalny
1	т е	16	32
2	и не	12	30
3	вовсе не	2	28
4	и в	22	27
5	может быть	11	25
6	не может	4	24
7	так и	2	21
8	и его	4	19
9	в этом	17	18
10	таким образом	10	18
11	а не	6	17
12	самом деле	1	16
13	точки зрения	2	16
14	то же	6	15
15	в нем	9	15
16	и пр	11	15
17	на самом	2	14
18	как и	3	14
19	с точки	1	14
20	не в	4	12
21	если бы	6	12
22	и т	16	11
23	в жизни	2	11
24	и от	3	11
25	но и	12	10
26	не только	14	9
27	так как	7	9
28	так же	3	9
29	отнюдь не	1	8
30	как бы	1	8
31	при этом	2	8
32	входит в	1	8
33	ни в	2	8
34	как мы	8	8
35	в пределах	4	8
36	только в	4	8
37	то что	7	8
38	и все	3	8
39	что в	15	8
40	с тем	2	7
41	не менее	5	7
42	потому что	3	7
43	его в	3	7
44	между тем	2	7
45	в его	3	7
46	в том	9	7
47	для них	3	7
48	там где	7	7
49	все это	1	7
50	совершенно не	2	7
51	в то	2	7
52	здесь и	2	6
53	действительности и	1	6
54	еще не	10	6
55	но в	10	6
56	все эти	4	6
57	т д	15	6
58	в своей	1	6
59	и ее	3	6
60	всяком случае	2	6
61	все время	2	6
62	было бы	3	6
63	что он	9	6
64	с другой	7	6
65	вместе с	9	6
66	в данном	4	6
67	все же	5	6
68	и для	2	6
69	хотя бы	1	6
70	во всяком	2	6
71	но не	7	5
72	в одной	3	5
73	независимо от	2	5
74	войти в	1	5
75	если же	1	5
76	в ней	2	5
77	что они	8	5
78	в дальнейшем	4	5
79	никогда не	3	5
80	связи с	6	5
81	большинстве случаев	2	5
82	и их	1	5
83	друг друга	6	5
84	и между	1	5
85	тем что	4	5
86	именно так	2	5
87	и потому	2	5
88	тому как	1	5
89	что же	1	5
90	другой стороны	7	5
91	не есть	1	4
92	мы не	1	4
93	как в	2	4
94	и как	3	4
95	в целом	3	4
96	и те	1	4
97	в корне	1	4
98	подобно тому	1	4
99	данном случае	3	4
100	в ее	1	4
101	мы знаем	2	4
102	том что	8	4
103	для данного	1	4
104	по себе	1	4
105	она не	4	4
106	мы можем	6	4
107	могут быть	5	4
108	к тому	3	4
109	роль в	2	4
110	о том	3	4
111	конечно не	1	4
112	уже в	1	4
113	в большинстве	1	4
114	только на	2	4
115	со стороны	3	4
116	прежде всего	3	4
117	в связи	3	4
118	мы видели	13	4
119	как это	4	4
120	да и	2	4
121	между собой	1	4
122	обстоит дело	1	4
123	от всех	1	4
124	из этого	1	4
125	жизни и	2	4
126	они не	4	4
127	одним из	4	3
128	же как	2	3
129	должна быть	1	3
130	мы уже	6	3
131	той же	2	3
132	мы и	1	3
133	и на	4	3
134	в которых	2	3
135	столь же	1	3
136	то мы	2	3
137	нет и	1	3
138	иначе обстоит	1	3
139	что это	1	3
140	этот процесс	1	3
141	не следует	1	3
142	и с	4	3
143	это не	6	3
144	и тем	1	3
145	ее в	3	3
146	он и	3	3
147	как таковой	2	3
148	в этих	11	3
149	и более	2	3
150	по отношению	2	3
151	случае в	2	3
152	для нас	4	3
153	они и	3	3
154	только то	1	3
155	ясно что	1	3
156	никак не	1	3
