N	2gram	Vinokur_St_1	OGranits
1	и в	44	13
2	и его	8	12
3	прежде всего	7	9
4	может быть	15	8
5	не может	8	8
6	и не	16	8
7	в его	9	7
8	и их	2	7
9	точки зрения	11	7
10	только в	10	6
11	как бы	4	6
12	не только	18	6
13	то что	18	6
14	таким образом	7	6
15	художественного произведения	1	5
16	языка и	4	5
17	все же	8	5
18	но ведь	8	5
19	с точки	8	5
20	в процессе	1	5
21	хотя бы	6	5
22	мы не	2	4
23	еще и	2	4
24	но в	10	4
25	вопроса о	3	4
26	то же	5	4
27	лишь в	3	4
28	в сознании	2	4
29	в своей	6	4
30	в школе	1	4
31	было бы	17	4
32	все это	5	4
33	в выборе	1	4
34	только и	1	4
35	в двух	3	4
36	не является	3	4
37	в каждом	3	4
38	вряд ли	5	3
39	и то	5	3
40	в ее	4	3
41	самом деле	11	3
42	так и	9	3
43	г в	5	3
44	говорить о	2	3
45	по отношению	3	3
46	за пределы	2	3
47	только путем	1	3
48	общего с	3	3
49	с этим	3	3
50	в которой	4	3
51	ни один	2	3
52	в себе	2	3
53	не как	1	3
54	в одном	1	3
55	так как	5	3
56	материала и	2	3
57	но и	10	3
58	слово в	1	3
59	как и	9	3
60	и уже	2	3
61	со всей	1	3
62	точку зрения	3	3
63	что же	6	3
64	не в	12	3
65	да и	3	3
66	но для	2	3
67	и для	3	3
68	никогда не	5	3
69	и все	2	3
70	превращается в	2	3
71	отношению к	3	3
72	не столько	1	3
73	что в	30	3
74	ничего общего	3	3
75	для себя	3	2
76	ни одно	1	2
77	и др	1	2
78	данном случае	6	2
79	художественных произведений	1	2
80	зависимости от	1	2
81	на две	1	2
82	и этот	1	2
83	мог бы	1	2
84	если бы	9	2
85	с самого	1	2
86	грамматики и	1	2
87	в ней	3	2
88	а также	2	2
89	в чем	3	2
90	между тем	3	2
91	нуждается в	1	2
92	во всей	1	2
93	стилистических особенностей	1	2
94	что они	7	2
95	к сожалению	3	2
96	материалом для	1	2
97	случае и	1	2
98	как в	13	2
99	в данном	14	2
100	в этом	21	2
101	в том	36	2
102	тот же	1	2
103	или иного	4	2
104	от этого	2	2
105	в целом	5	2
106	и тем	3	2
107	все эти	5	2
108	с одной	3	2
109	думать что	2	2
110	уже в	2	2
111	кажется что	3	2
112	иным как	1	2
113	в нем	5	2
114	связанные с	3	2
115	при этом	2	2
116	языка но	1	2
117	для него	6	2
118	в другом	3	2
119	вовсе не	19	2
120	в зависимости	1	2
121	о языке	1	2
122	тем что	5	2
123	в них	1	2
124	в области	14	2
125	литературного языка	1	2
126	с другой	9	2
127	а как	2	2
128	в самом	7	2
129	входит в	1	2
130	того или	4	2
131	одной стороны	2	2
132	соответствии с	1	2
133	более того	1	2
134	не на	1	2
135	а не	16	2
136	другой стороны	7	2
137	в руках	1	2
138	там где	5	2
139	несмотря на	2	2
140	том что	29	2
141	в г	3	2
142	от своего	1	2
143	и при	1	2
144	разрыв между	1	2
145	так же	5	2
146	в отношении	9	2
147	своего рода	3	2
148	в течение	1	2
149	в тех	3	2
150	которой является	1	2
151	с этой	3	2
152	с историей	2	2
153	не менее	5	2
154	что эта	2	2
155	разумеется что	1	2
156	не имеет	4	2
157	на язык	1	2
158	от всех	1	2
159	бы в	1	2
160	истории литературы	2	2
161	и является	1	2
162	нужно отметить	1	2
163	а в	17	2
164	еще в	1	2
165	в целях	1	2
166	и к	1	2
167	могут быть	5	2
168	в своих	2	2
169	поэтического языка	1	2
170	вопросы связанные	2	2
171	к тому	1	2
172	и это	2	1
173	можно говорить	1	1
174	также и	9	1
175	же как	3	1
