N	3gram	Tiupa_Narr_1	PoTuStor
1	с точки зрения	1	6
2	на самом деле	1	4
3	до сих пор	2	3
4	по крайней мере	1	3
5	во всяком случае	2	3
6	не может быть	4	3
7	можно сказать что	2	3
8	друг на друга	2	2
9	в самом деле	2	2
10	о том что	2	2
11	в конечном счете	1	2
12	во всех его	1	2
13	и того же	1	1
14	и столь же	1	1
15	ничего не говорит	1	1
16	дело в том	2	1
17	в постель к	1	1
18	подобно тому как	3	1
19	одного и того	1	1
20	то же самое	2	1
21	сих пор еще	1	1
22	же как и	1	1
23	бы то ни	1	1
24	и та же	1	1
25	в этом отношении	3	1
26	как это было	1	1
27	она может быть	1	1
28	как со стороны	1	1
29	разных местах и	1	1
30	можно ли признать	1	1
31	мы узнаем о	1	1
32	в данном случае	8	1
33	и т.п и	2	1
34	то ни было	1	1
35	с одной стороны	1	1
36	в связи с	2	1
37	говорили что на	1	1
38	как один из	1	1
39	а с другой	1	1
40	имеем дело с	2	1
41	в этом и	3	1
42	самом деле в	1	1
43	в том что	5	1
44	чем иным как	2	1
45	мы не можем	1	1
46	не говорит и	1	1
47	еще в году	1	1
48	связи с этим	1	1
49	одна и та	1	1
50	что иное как	1	1
51	и даже чисто	1	1
52	друг с другом	1	1
53	мы уже знаем	1	1
54	для того чтобы	3	1
55	обратим внимание на	1	1
56	той или иной	4	1
