N	3gram	Propp_Isto_5	Tragedij
1	то же время	1	5
2	в то же	1	5
3	в отличие от	1	2
4	точно так же	1	2
5	в данном случае	2	2
6	а я буду	1	2
7	о том что	4	2
8	но все же	4	2
9	в том что	2	2
10	в этом случае	7	1
11	как и его	1	1
12	но это уже	1	1
13	у него нет	1	1
14	сам по себе	1	1
15	что он не	1	1
16	и в образе	1	1
17	что все это	1	1
18	может быть не	1	1
19	это может быть	1	1
20	что уже не	1	1
21	еще ничего не	1	1
22	на мысль что	1	1
23	во всяком случае	1	1
24	объясняется тем что	1	1
25	тем не менее	4	1
26	в связи с	4	1
27	то что он	1	1
28	она все же	1	1
29	только один раз	1	1
30	не может быть	3	1
31	и вместе с	2	1
32	с самого начала	1	1
33	несмотря на всю	1	1
34	в самом деле	1	1
35	после того как	3	1
36	быть отнесены к	1	1
37	может быть в	1	1
38	как и в	2	1
