N	3gram	Vinokur_St_3	Psycholo
1	в том что	11	17
2	для того чтобы	1	13
3	в самом деле	1	11
4	с точки зрения	4	10
5	заключается в том	2	10
6	и т п	6	8
7	не может быть	5	8
8	на то что	3	6
9	то же самое	1	6
10	на самом деле	1	5
11	до сих пор	2	5
12	в этом отношении	4	5
13	и той же	1	4
14	сам по себе	1	4
15	можно было бы	1	4
16	тем не менее	2	4
17	о том что	4	4
18	и в самом	1	4
19	одной и той	1	4
20	в том виде	1	3
21	том что он	1	3
22	с тем что	3	3
23	в том чтобы	2	3
24	в конце концов	3	3
25	в то время	4	3
26	состоит в том	3	2
27	но так как	1	2
28	так как в	1	2
29	он не может	1	2
30	и тем что	1	2
31	то время как	4	2
32	не в том	3	2
33	все более и	2	2
34	во всяком случае	4	2
35	этой точки зрения	1	2
36	в этой области	2	2
37	таким образом в	1	2
38	то же время	3	2
39	что в этой	2	2
40	в свою очередь	1	2
41	с другой стороны	4	2
42	в то же	3	2
43	более и более	2	2
44	к тому что	2	2
45	на то как	1	2
46	и т д	2	2
47	и может быть	1	1
48	если бы в	1	1
49	в чем же	1	1
50	потому что в	1	1
51	в русской поэзии	2	1
52	в этом смысле	4	1
53	того или другого	1	1
54	чтобы показать как	1	1
55	что же касается	1	1
56	так что он	1	1
57	принять во внимание	1	1
58	и при помощи	1	1
59	указывает что в	1	1
60	но и в	2	1
61	все действующие лица	1	1
62	и в других	1	1
63	что в них	1	1
64	а с другой	2	1
65	как и всегда	1	1
66	с этой точки	1	1
67	по крайней мере	4	1
68	вместе с тем	1	1
69	и в этих	2	1
70	и тем не	2	1
71	и в частности	1	1
72	но и это	1	1
73	потому что он	2	1
74	он говорит что	1	1
75	целым рядом других	1	1
76	от того что	1	1
77	приводит к тому	1	1
78	и если в	1	1
79	может быть не	1	1
80	он считает что	2	1
81	и что он	1	1
82	с одной стороны	2	1
83	это однако не	1	1
84	объясняется тем что	1	1
85	должна была бы	2	1
86	ни на что	1	1
87	к этим трем	1	1
88	благодаря тому что	1	1
89	в связи с	3	1
90	и со всеми	1	1
91	это объясняется тем	1	1
92	все это было	1	1
93	тем что в	2	1
94	которое было у	1	1
95	в свое время	1	1
96	до наших дней	1	1
97	такая точка зрения	1	1
98	более или менее	1	1
99	то есть с	1	1
100	который говорил что	1	1
101	задача состоит в	1	1
102	то обстоятельство что	5	1
103	что все дело	1	1
104	том смысле что	1	1
105	может быть это	3	1
106	в этом и	1	1
107	он должен был	1	1
108	мы имеем в	2	1
109	связи с этим	1	1
110	бы утверждать что	1	1
111	с самого начала	2	1
112	не только не	1	1
113	т п в	1	1
114	можно сказать что	1	1
115	он может быть	1	1
116	в этом сказывается	1	1
117	совершенно очевидно что	1	1
118	в другом случае	1	1
119	по этому поводу	2	1
120	не потому что	1	1
121	в том смысле	2	1
122	тот и другой	1	1
123	для этих авторов	1	1
124	же самое и	1	1
125	имеем здесь дело	1	1
