N	3gram	Tiupa_Anal_3	slovoVRo
1	не может быть	1	15
2	в отличие от	2	12
3	в этом случае	1	6
4	в значительной степени	2	6
5	с одной стороны	2	5
6	в большинстве случаев	1	5
7	той или иной	3	5
8	то же время	3	4
9	в том что	7	4
10	по отношению к	7	4
11	в то же	3	4
12	в зависимости от	1	4
13	так и в	1	3
14	в этом отношении	3	3
15	сама по себе	2	3
16	в той или	1	3
17	с точки зрения	2	3
18	и в сущности	1	2
19	тот факт что	1	2
20	во всяком случае	2	2
21	для того чтобы	1	2
22	до сих пор	1	2
23	и в особенности	1	2
24	человека и его	1	2
25	то есть от	1	2
26	хотя бы и	1	2
27	не только в	1	2
28	требует от нас	1	2
29	не могут быть	1	2
30	в связи с	1	2
31	иметь дело с	2	2
32	в свою очередь	4	2
33	а в том	2	1
34	не для того	1	1
35	о том что	5	1
36	между тем как	1	1
37	для него самого	1	1
38	по себе а	1	1
39	при этом и	1	1
40	в пределах одной	1	1
41	перед нами не	1	1
42	всяком случае не	1	1
43	как и в	4	1
44	не только не	3	1
45	не только как	1	1
46	этом отношении он	1	1
47	хотя и не	1	1
48	с другой стороны	5	1
49	однако и здесь	1	1
50	все это остается	1	1
51	здесь не только	1	1
52	не менее чем	1	1
53	тем или иным	2	1
54	по ту сторону	1	1
55	что он не	1	1
56	героев и их	1	1
57	может и не	1	1
58	до известной степени	3	1
59	а не с	1	1
60	со всех сторон	1	1
61	в этой роли	1	1
62	и может быть	1	1
63	то есть не	1	1
64	таким образом в	1	1
65	речь идет о	1	1
66	по себе еще	1	1
67	они же в	1	1
68	однако при этом	2	1
69	в применении к	1	1
70	наиболее продуктивным в	1	1
71	в одном слове	1	1
72	один из существеннейших	1	1
73	том что он	2	1
74	тем не менее	2	1
75	того или иного	1	1
