N	2gram	Losev_Prob_5	PoTuStor
1	может быть	7	17
2	и в	30	16
3	в этом	17	9
4	таким образом	13	9
5	и только	2	9
6	мы можем	5	9
7	прежде всего	6	9
8	и с	5	8
9	точки зрения	10	8
10	и его	6	8
11	не может	5	8
12	с его	1	7
13	не только	18	7
14	сказать что	9	7
15	я и	1	6
16	самом деле	2	6
17	конечно не	2	6
18	при этом	4	6
19	с точки	8	6
20	и это	1	6
21	и к	4	6
22	еще не	3	5
23	в чем	2	5
24	отношение к	2	5
25	все эти	2	5
26	что такое	1	5
27	только для	2	5
28	ни в	4	5
29	нуждается в	1	5
30	в него	1	5
31	как бы	6	5
32	на самом	1	4
33	и ее	1	4
34	и на	6	4
35	отнюдь не	4	4
36	и наконец	1	4
37	но в	9	4
38	в этой	10	4
39	в нем	6	4
40	его в	6	4
41	жизни человека	1	4
42	художественного творчества	8	4
43	все это	1	4
44	самого начала	1	4
45	мифов и	1	4
46	как мы	2	4
47	с ее	1	4
48	с самого	1	4
49	так и	7	4
50	можно сказать	6	4
51	в его	12	4
52	с ними	1	4
53	только в	9	4
54	для всех	1	4
55	и их	5	4
56	так как	6	4
57	и даже	14	4
58	но и	13	4
59	и не	12	4
60	и все	9	4
61	хотя бы	2	4
62	все что	2	4
63	если б	1	3
64	отношения к	1	3
65	тех же	1	3
66	едва ли	4	3
67	и есть	1	3
68	и как	6	3
69	учение о	3	3
70	и вот	1	3
71	их в	1	3
72	на этой	1	3
73	этом смысле	3	3
74	том что	17	3
75	сих пор	2	3
76	в одном	3	3
77	по крайней	4	3
78	и притом	5	3
79	до сих	2	3
80	чем не	1	3
81	и оно	1	3
82	к себе	1	3
83	те же	1	3
84	мира и	2	3
85	крайней мере	4	3
86	и она	1	3
87	в том	12	3
88	в большинстве	1	3
89	только на	1	3
90	большинстве случаев	1	3
91	всяком случае	2	3
92	даже не	1	3
93	в области	2	3
94	и др	1	3
95	но оно	1	3
96	вместе с	7	3
97	и потому	1	3
98	как это	1	3
99	быть это	1	3
100	могут быть	1	3
101	что в	5	3
102	а в	6	3
103	то что	18	3
104	только как	1	3
105	жизни и	2	3
106	во всяком	2	3
107	этой теории	1	2
108	в самом	5	2
109	мы уже	1	2
110	мы не	2	2
111	и о	5	2
112	того же	4	2
113	из этих	1	2
114	совсем не	3	2
115	друг на	1	2
116	нет и	1	2
117	с этим	1	2
118	желаний и	1	2
119	в этот	1	2
120	что это	1	2
121	вообще не	1	2
122	он не	3	2
123	и по	1	2
124	то же	2	2
125	было бы	4	2
126	по всему	2	2
127	в них	2	2
128	как и	7	2
129	между собою	1	2
130	и чувств	1	2
131	на первый	1	2
132	в своей	22	2
133	почти не	1	2
134	не менее	5	2
135	в науке	2	2
136	никогда не	7	2
137	только и	3	2
138	всей жизни	1	2
139	сводится к	1	2
140	здесь же	1	2
141	не могут	2	2
142	и всех	1	2
143	что оно	1	2
144	не будет	2	2
145	на основе	1	2
146	и этим	1	2
147	как с	2	2
148	по аналогии	1	2
149	и вообще	9	2
150	с ним	3	2
151	является по	2	2
152	о том	12	2
153	другими словами	1	2
154	аналогии с	1	2
155	для нас	10	2
156	что и	6	2
157	один из	2	2
158	что он	7	2
159	и так	1	2
160	поэтому и	2	2
161	со всеми	2	2
162	есть в	2	2
163	да еще	1	2
164	если мы	1	2
165	об его	2	2
166	в начале	3	2
167	на этих	1	2
168	в душе	1	2
169	и других	1	2
170	цели и	1	2
171	к ним	1	2
172	у него	11	2
173	момент в	1	2
174	себя и	1	2
175	что не	2	2
176	а на	1	2
177	на друга	1	2
178	не на	1	2
179	в одно	1	2
180	с помощью	2	2
181	в частности	4	2
182	так же	5	2
183	в мир	2	2
184	с этой	2	2
185	своей жизни	1	2
186	но это	1	2
187	и таким	1	2
188	от матери	2	2
189	и для	6	2
190	в голову	1	2
191	но зато	1	2
192	ни было	1	2
193	нет никаких	1	2
194	из тех	2	2
195	всех других	1	2
196	ее в	2	2
197	к этому	2	2
198	они не	2	2
199	человека и	4	1
200	и то	5	1
201	науки о	1	1
202	или к	2	1
203	это и	1	1
204	своей первой	1	1
205	случае только	1	1
206	в году	5	1
207	его не	2	1
208	мы имеем	2	1
209	что если	1	1
210	вопрос о	1	1
211	на место	1	1
212	пока только	1	1
213	и дать	2	1
214	так чтобы	1	1
215	я не	2	1
216	но даже	4	1
217	в ней	3	1
218	и самого	3	1
219	а другие	1	1
220	он был	2	1
221	иное как	3	1
222	не был	1	1
223	бы то	2	1
224	что его	3	1
225	чем это	1	1
226	но не	7	1
227	заметим что	1	1
228	не входит	2	1
229	значение и	2	1
230	в свои	1	1
231	право на	1	1
232	что они	3	1
233	только путем	1	1
234	в море	1	1
235	первый взгляд	1	1
236	сам же	3	1
237	все же	9	1
238	однако не	1	1
239	в полном	1	1
240	хотя и	8	1
241	когда он	2	1
242	что по	1	1
243	его к	1	1
244	это просто	1	1
245	от этого	3	1
246	тон и	1	1
247	уже не	6	1
248	под ним	1	1
249	а во-вторых	1	1
250	его мать	1	1
251	в нашем	1	1
252	в сновидениях	1	1
253	в буржуазной	2	1
254	имеем в	1	1
255	по мнению	2	1
256	всей его	1	1
257	добраться до	1	1
258	на его	2	1
259	что она	1	1
260	что было	1	1
261	главным образом	1	1
262	даже тогда	1	1
263	душу и	1	1
264	борьбу с	2	1
265	только те	1	1
266	человеческое сознание	1	1
267	из него	1	1
268	по его	2	1
269	от нее	1	1
270	то ни	2	1
271	для всей	1	1
272	или наконец	1	1
273	входит в	1	1
274	искусства в	1	1
275	форму и	2	1
276	оно едва	1	1
277	весь мир	1	1
278	которая была	1	1
279	поведения и	1	1
280	не чем	2	1
281	не ясно	1	1
282	для них	3	1
283	сознавая этого	1	1
284	были в	1	1
285	с тем	5	1
286	несмотря на	6	1
287	представляет себе	1	1
288	уже у	6	1
289	их на	1	1
290	в ходу	1	1
291	от своего	1	1
292	творчества эти	1	1
293	в следующем	1	1
294	его мнению	1	1
295	вторая часть	2	1
296	что я	1	1
297	любовь и	2	1
298	страха и	2	1
299	творчества и	1	1
