N	2gram	Medvedev_V_1	SlovoVZh
1	и его	1	13
2	и в	2	12
3	и не	1	10
4	так как	1	9
5	в том	2	6
6	только в	1	6
7	все время	1	6
8	то же	1	5
9	том что	2	5
10	хотя бы	1	5
11	в этом	1	4
12	в самом	1	4
13	дело в	1	4
14	самом деле	1	3
15	ясно что	1	3
16	да и	1	3
17	все это	1	3
18	и то	1	2
19	что слово	1	2
20	одно и	1	2
21	как же	1	2
22	но это	1	2
23	к этому	1	2
24	совершенно ясно	1	1
25	сводится к	1	1
26	столь же	1	1
27	в значительной	1	1
28	крайней мере	1	1
29	именно в	1	1
30	в теории	1	1
31	ведь это	1	1
32	значительной степени	1	1
33	том же	1	1
34	и только	1	1
35	в другом	1	1
36	для них	1	1
37	далеко не	1	1
38	в частности	1	1
39	по крайней	1	1
40	же две	1	1
41	и почти	1	1
42	тем более	1	1
43	все то	1	1
