N	4gram	Losev_Dial_2	Myshleni
1	заключается в том что	1	13
2	одно и то же	4	6
3	так же как и	1	4
4	с одной стороны и	1	2
5	все более и более	1	2
6	одних и тех же	1	1
7	в том смысле как	1	1
8	в том отношении что	1	1
9	нельзя сомневаться в том	1	1
10	между тем и другим	1	1
11	точно так же как	1	1
12	сомневаться в том что	1	1
13	том смысле что они	1	1
14	не что иное как	3	1
15	в то время как	3	1
16	одна и та же	4	1
17	и та же вещь	3	1
18	которые не могут быть	1	1
19	в том что он	1	1
20	не содержит в себе	1	1
21	в том смысле что	3	1
22	мы можем сказать что	1	1
23	если принять во внимание	2	1
24	что одна и та	1	1
25	принять во внимание что	1	1
26	не говоря уже о	2	1
27	по одному тому что	1	1
