N	2gram	Medvedev_V_1	Hudozhes
1	и в	26	28
2	том что	8	19
3	в ее	4	18
4	и не	19	18
5	в том	15	15
6	а не	7	14
7	в этом	26	13
8	не в	6	13
9	о том	10	12
10	перед нами	4	11
11	не только	25	11
12	как и	7	11
13	в его	14	11
14	уже не	1	10
15	не случайно	1	10
16	у чехова	1	9
17	в себе	6	9
18	но и	10	9
19	так и	5	8
20	между тем	5	8
21	что он	4	8
22	в жизни	2	8
23	может быть	22	8
24	о чем	2	8
25	по отношению	7	7
26	что она	2	7
27	об этом	9	7
28	к тому	4	7
29	в частности	11	7
30	как это	12	7
31	и все	1	7
32	с ним	1	7
33	отношению к	7	7
34	в котором	3	6
35	то же	10	6
36	не было	7	6
37	в своей	4	6
38	в то	6	6
39	тем что	1	6
40	казалось бы	1	6
41	если бы	3	6
42	сводится к	3	6
43	можно сказать	4	6
44	это не	7	6
45	а в	3	6
46	то что	6	6
47	жизни и	3	6
48	с его	3	5
49	в этой	4	5
50	как в	1	5
51	в самом	4	5
52	в своем	8	5
53	не менее	2	5
54	у него	6	5
55	никогда не	4	5
56	и его	6	5
57	она не	3	5
58	и сам	1	5
59	только на	1	5
60	для него	8	5
61	художественного целого	1	5
62	как бы	5	5
63	да и	1	5
64	с ее	1	5
65	что в	10	5
66	и другие	1	5
67	а между	1	4
68	и т	23	4
69	но не	2	4
70	в художественном	10	4
71	то в	1	4
72	подобно тому	2	4
73	человека в	2	4
74	он не	2	4
75	пародия на	2	4
76	тому что	6	4
77	же время	5	4
78	как будто	1	4
79	того чтобы	3	4
80	в футляре	1	4
81	в конечном	7	4
82	вслед за	2	4
83	что они	3	4
84	только в	7	4
85	в качестве	11	4
86	что и	3	4
87	как раз	3	4
88	для того	3	4
89	говорит о	7	4
90	не может	17	4
91	тому как	2	4
92	о своем	2	4
93	бы и	6	4
94	чтобы не	2	3
95	человека и	3	3
96	по его	2	3
97	на себя	1	3
98	и он	2	3
99	в ней	2	3
100	еще не	2	3
101	не все	1	3
102	следующим образом	3	3
103	бы не	2	3
104	как он	2	3
105	в нем	6	3
106	можно было	2	3
107	что все	3	3
108	и ей	1	3
109	с другими	2	3
110	было бы	7	3
111	в них	4	3
112	соответствии с	1	3
113	несмотря на	1	3
114	в этих	1	3
115	пока еще	2	3
116	этом и	2	3
117	как о	2	3
118	на него	1	3
119	со своим	2	3
120	личности в	1	3
121	же самое	2	3
122	и это	1	3
123	что у	2	3
124	и ему	1	3
125	внимание на	1	3
126	все его	2	3
127	одной из	1	3
128	с ними	4	3
129	и ее	4	3
130	с одной	2	3
131	для нас	1	3
132	с нею	2	3
133	конечном счете	5	3
134	характерно что	1	3
135	в одном	4	3
136	что на	1	3
137	с другой	11	3
138	и тех	1	3
139	прежде всего	13	3
140	в соответствии	1	3
141	так же	3	3
142	одной стороны	2	3
143	в состоянии	1	3
144	все это	10	3
145	всего лишь	3	3
146	или в	3	3
147	будто бы	2	3
148	все они	2	3
149	в памяти	1	3
150	героя и	1	3
151	есть и	1	3
152	по поводу	2	3
153	самом деле	1	3
154	во сне	21	3
155	же как	2	2
156	и то	1	2
157	а как	2	2
158	который в	1	2
159	говорить о	2	2
160	а для	2	2
161	он сам	2	2
162	не знала	1	2
163	если в	2	2
164	ответ на	1	2
165	отношение к	1	2
166	а всего	3	2
167	более чем	1	2
168	все же	5	2
169	и к	3	2
170	но в	2	2
171	бы с	1	2
172	из этих	7	2
173	тому же	1	2
174	т д	14	2
175	не как	1	2
176	чувства в	1	2
177	на этом	1	2
178	же не	1	2
179	а по	1	2
180	зрения на	1	2
181	лишь в	2	2
182	его в	3	2
183	это было	1	2
184	обратимся к	1	2
185	знает и	1	2
186	не столько	2	2
187	что говорит	3	2
188	чехова с	1	2
