N	3gram	Bakhtin_Pr_3	VeschiIm
1	и т д	2	20
2	не может быть	6	18
3	бы то ни	4	9
4	то ни было	4	9
5	и больше ничего	1	9
6	т д и	1	7
7	по крайней мере	3	6
8	в том что	1	6
9	на то что	1	6
10	в чем же	1	5
11	одно и то	1	5
12	и то же	1	5
13	в свою очередь	1	5
14	тем не менее	2	5
15	с точки зрения	4	4
16	и то что	1	4
17	то же время	12	4
18	в то же	12	4
19	в самом деле	3	3
20	подобно тому как	2	3
21	и в то	5	3
22	вместе с тем	2	3
23	сама по себе	2	3
24	можно сказать что	1	2
25	но даже и	1	2
26	какого бы то	1	2
27	как бы ни	1	2
28	раз навсегда и	1	2
29	а так как	1	2
30	с самим собою	7	2
31	ни о каком	1	2
32	то что оно	1	2
33	в данном случае	1	2
34	именно тем что	2	2
35	ее со всем	1	2
36	что же такое	1	2
37	в нем нет	1	2
38	вы говорите что	1	2
39	к тому что	1	2
40	от всех своих	1	1
41	и того же	1	1
42	как она есть	1	1
43	может ли это	1	1
44	он должен быть	1	1
45	то что я	2	1
46	в своей основной	1	1
47	а не в	2	1
48	как и во	1	1
49	в этом смысле	4	1
50	и все эти	1	1
51	того или другого	2	1
52	потому что я	1	1
53	быть и речи	1	1
54	в этом случае	2	1
55	да и то	1	1
56	и это вовсе	1	1
57	как раз и	2	1
58	до сих пор	1	1
59	и не может	2	1
60	в сущности в	1	1
61	самом деле не	1	1
62	что он не	1	1
63	по себе и	1	1
64	он и не	2	1
65	мы без труда	2	1
66	оно вообще не	1	1
67	резко отличается от	1	1
68	прямо и открыто	1	1
69	и не в	3	1
70	может быть и	1	1
71	даже и не	1	1
72	хотя бы и	2	1
73	что я в	1	1
74	смысл т е	1	1
75	или хотя бы	1	1
76	она резко отличается	1	1
77	но в то	3	1
78	я имею право	1	1
79	то что уже	1	1
80	в конце концов	3	1
81	смысле этого слова	2	1
82	и в этом	2	1
83	и как бы	1	1
84	и ничего не	1	1
85	смысле и в	1	1
86	какой бы то	1	1
87	один из моментов	1	1
88	для себя и	1	1
89	к самому себе	1	1
90	что же вы	1	1
91	с другой стороны	3	1
92	потому что они	1	1
93	и во всяком	1	1
94	тут не может	1	1
95	самим по себе	1	1
96	во всяком случае	5	1
97	ее но и	1	1
98	и вместе с	1	1
99	о том что	2	1
100	не только не	1	1
101	вопрос о том	1	1
102	и прежде всего	4	1
103	именно потому что	2	1
104	но все же	1	1
105	самим собою в	1	1
106	на него если	1	1
107	с собою и	1	1
108	одного и того	1	1
109	для того чтобы	1	1
110	не может и	1	1
111	чего бы то	2	1
112	в отношении себя	1	1
113	и что он	1	1
114	в отношении к	7	1
115	нет что же	1	1
116	друг с другом	2	1
117	и в нем	3	1
118	только себя самого	1	1
119	что и в	1	1
120	проявляет себя вовне	1	1
121	мы еще не	1	1
122	и только в	1	1
