N	4gram	Potebnia_M_1	Problema
1	в то же время	3	3
2	бы то ни было	1	2
3	дело в том что	2	1
4	с одной стороны и	1	1
5	что бы то ни	1	1
6	и в том и	1	1
7	и т п и	1	1
8	бы то ни стало	1	1
9	и проч то есть	1	1
10	в противном случае мы	1	1
11	не что иное как	2	1
12	имеет прямого отношения к	1	1
13	и не нуждается в	1	1
14	не говоря уже о	1	1
15	которые не могли быть	1	1
16	во что бы то	1	1
17	и в этом отношении	1	1
18	в том смысле что	1	1
19	не имеет прямого отношения	1	1
20	не в том что	2	1
21	но которые не могли	1	1
22	далеко не совпадает с	1	1
23	бы они ни были	2	1
