N	4gram	Potebnia_M_4	EvropaiE
1	в то же время	3	14
2	можно сказать что в	1	2
3	заключается в том что	1	2
4	дело в том что	1	1
5	с другой стороны в	1	1
6	одного и того же	1	1
7	и то и другое	1	1
8	чтобы ответить на этот	1	1
9	в том числе и	1	1
10	и та и другая	1	1
11	в том смысле что	1	1
12	но и эта последняя	1	1
13	один и тот же	2	1
14	одна и та же	1	1
15	в том случае если	1	1
16	одну и ту же	1	1
17	так как мы не	1	1
18	рано или поздно не	1	1
19	не заключает в себе	1	1
20	на этот вопрос мы	1	1
21	ответить на этот вопрос	1	1
22	только в том смысле	1	1
23	и во многих других	1	1
