N	2gram	Bakhtin_sl_1	VeschiIm
1	не есть	2	49
2	не может	14	33
3	не только	16	31
4	может быть	14	29
5	и не	16	28
6	и в	41	26
7	вещи и	1	24
8	и есть	1	23
9	и т	28	21
10	т д	5	20
11	а не	15	20
12	не просто	1	18
13	есть только	1	17
14	и следовательно	7	15
15	в смысле	4	15
16	что она	1	14
17	только в	6	14
18	и что	1	13
19	того что	3	13
20	и то	2	12
21	есть не	1	12
22	все же	7	12
23	в себя	1	12
24	было бы	3	12
25	и ее	3	12
26	но и	16	12
27	сказать что	2	12
28	таким образом	9	11
29	то же	14	10
30	в ней	4	10
31	не значит	1	10
32	как бы	12	10
33	потому что	2	10
34	уже не	2	10
35	что мы	1	10
36	бы то	1	9
37	в самом	5	9
38	то ни	1	9
39	и с	4	9
40	в том	3	9
41	что не	1	9
42	прежде всего	8	9
43	ни было	2	9
44	с ее	4	8
45	сущности и	1	8
46	в себе	3	8
47	на то	1	8
48	смысл и	1	8
49	и это	1	8
50	ничего не	4	8
51	себя и	1	8
52	но это	1	8
53	также и	3	7
54	в этом	12	7
55	его в	3	7
56	с другими	5	7
57	том что	2	7
58	в то	14	7
59	со своим	5	7
60	себя в	9	7
61	и их	1	7
62	так как	3	7
63	как раз	2	7
64	смысла и	3	7
65	совершенно не	2	7
66	есть и	1	7
67	со стороны	1	6
68	что они	2	6
69	но в	8	6
70	бы и	3	6
71	одно и	2	6
72	точки зрения	16	6
73	но если	1	6
74	по крайней	1	6
75	с ним	7	6
76	она не	3	6
77	отличается от	1	6
78	можно было	2	6
79	должно быть	2	6
80	и только	1	6
81	крайней мере	1	6
82	так что	2	6
83	если мы	2	6
84	ни с	1	6
85	для него	3	6
86	но что	1	6
87	быть только	2	6
88	в результате	3	6
89	жизни и	1	6
90	того же	6	5
91	и до	1	5
92	ведь и	1	5
93	в сущности	13	5
94	но не	2	5
95	как к	2	5
96	вообще не	3	5
97	это не	6	5
98	не в	7	5
99	тем не	1	5
100	в отношении	6	5
101	не менее	1	5
102	одна из	2	5
103	только и	1	5
104	у нас	2	5
105	свою очередь	2	5
106	в ее	2	5
107	если бы	1	5
108	для этого	1	5
109	еще не	4	5
110	что для	1	5
111	с этой	3	5
112	и для	4	5
113	а в	6	5
114	в свою	3	5
115	явления и	1	4
116	мы не	2	4
117	в их	4	4
118	во всех	17	4
119	точка зрения	8	4
120	для всякого	1	4
121	нет и	1	4
122	его на	1	4
123	с этим	3	4
124	в своем	3	4
125	с чем	1	4
126	ведь не	1	4
127	же не	1	4
128	не предполагает	2	4
129	на почве	4	4
130	как и	4	4
131	с точки	8	4
132	и более	1	4
133	на себе	1	4
134	же время	12	4
135	точке зрения	2	4
136	должен быть	1	4
137	и о	2	4
138	то или	1	4
139	смысле и	1	4
140	о том	3	4
141	с другой	5	4
142	что и	1	4
143	быть и	4	4
144	оно и	4	4
145	то и	1	4
146	из них	3	4
147	со всем	1	4
148	и даже	6	4
149	и потому	4	4
150	в данном	3	4
151	быть не	1	4
152	как только	3	4
153	с полной	1	4
154	и все	4	4
155	от того	1	4
156	между ними	2	4
157	оно не	6	4
158	себя как	1	3
159	в чисто	2	3
160	к другому	1	3
161	мы имеем	1	3
162	но даже	1	3
163	момент в	1	3
164	более или	3	3
165	как оно	3	3
166	в нем	30	3
167	перестает быть	2	3
168	на этом	2	3
169	могла бы	1	3
170	в жизни	1	3
171	несмотря на	1	3
172	значит не	1	3
173	нисколько не	2	3
174	или менее	3	3
175	в своей	7	3
176	все это	5	3
177	есть еще	1	3
178	между прочим	1	3
179	ее с	1	3
180	в основе	5	3
181	того чтобы	1	3
182	ему не	2	3
183	ни о	2	3
184	к тому	3	3
185	всегда есть	1	3
186	на это	1	3
187	и самое	2	3
188	без всякого	1	3
189	нет никакой	1	3
190	и сам	3	3
191	понимание и	1	3
192	так и	11	3
193	и вообще	2	3
194	можно сказать	2	3
195	один из	4	3
196	явления как	1	3
197	мы видим	2	3
198	тот же	1	3
199	но как	1	3
200	не мешает	1	3
201	только на	2	3
202	и чисто	3	3
203	в одном	2	3
204	отношение к	7	3
205	никогда не	3	3
206	эти две	1	3
207	а с	2	3
208	вместе с	1	3
209	в той	10	3
210	есть как	3	3
211	да и	1	3
212	это может	1	3
213	бы в	1	3
214	тем более	1	3
215	хотя бы	3	3
216	есть понимание	2	3
217	от этого	2	2
218	в первом	3	2
219	ту же	4	2
220	из его	1	2
221	поэтому и	3	2
222	мы уже	2	2
223	той же	2	2
224	как мы	8	2
225	оба эти	1	2
226	но она	1	2
227	бы ни	3	2
228	конечно и	2	2
229	не нужно	1	2
230	на их	1	2
231	может сделать	1	2
232	а только	1	2
233	абстрактный момент	2	2
234	не все	1	2
235	как в	8	2
236	и нет	1	2
237	то в	2	2
238	себе как	1	2
239	так или	1	2
240	выражение в	3	2
241	приводит к	1	2
242	только один	1	2
243	и если	1	2
244	он не	3	2
245	всех смысловых	1	2
246	для того	2	2
247	не суть	1	2
248	а затем	1	2
249	и может	3	2
250	различие между	1	2
251	на все	2	2
252	то есть	26	2
253	затем и	1	2
254	и тем	2	2
255	только одно	1	2
256	ни в	1	2
257	но уже	1	2
258	в слове	7	2
259	и уже	1	2
260	к имени	1	2
261	жизнь и	1	2
262	понимания и	1	2
263	и эти	2	2
264	же мы	1	2
265	тому что	2	2
266	дело в	1	2
267	но только	1	2
268	для всего	1	2
269	в разных	3	2
270	в самой	1	2
271	тех или	1	2
272	и его	14	2
273	исходить из	1	2
274	оно может	2	2
275	данном случае	3	2
276	в в	1	2
277	степени и	1	2
278	не с	2	2
279	является в	1	2
280	находится в	1	2
281	в виду	1	2
282	именно потому	1	2
283	так оно	1	2
284	и ничем	1	2
285	может не	8	2
286	и во	3	2
287	это было	1	2
288	заключается в	1	2
289	во втором	1	2
290	подходит к	1	2
291	еще более	5	2
292	в качестве	3	2
293	и они	1	2
294	не из	2	2
295	его и	3	2
296	свое выражение	2	2
297	о которых	1	2
298	а потому	1	2
299	в особенности	8	2
300	или иначе	1	2
301	них и	1	2
302	ничем не	1	2
303	о чем	1	2
304	ближе к	1	2
305	но оно	3	2
306	в частности	2	2
307	как вещь	2	2
308	мы говорили	1	2
309	понимание в	1	2
310	первый тип	1	2
311	кроме того	4	2
312	при всем	3	2
313	в более	1	2
314	взаимного понимания	2	2
315	но именно	4	2
316	есть уже	1	2
317	отношении к	6	2
318	состоит из	1	2
319	от всех	1	2
320	первом случае	2	2
321	будучи в	1	2
322	так же	2	2
323	во всяком	7	2
324	этой точки	1	2
325	его моменты	1	1
326	сознание в	1	1
327	же как	2	1
328	чтобы не	1	1
329	словом как	1	1
330	и движение	1	1
331	связана с	2	1
332	своей основной	1	1
333	к полному	1	1
334	чего не	1	1
335	от самого	1	1
336	из самых	1	1
337	по преимуществу	4	1
338	не имеют	1	1
339	выражается в	1	1
340	оно было	2	1
341	и вещам	1	1
342	действительности и	1	1
343	с таким	1	1
344	в зависимости	3	1
345	для своего	1	1
346	и ничего	1	1
347	в которой	4	1
348	что уже	1	1
349	из своих	2	1
350	именно к	1	1
351	но по	2	1
352	в каждый	5	1
353	время как	2	1
354	это отношение	2	1
355	и со	1	1
356	полное и	1	1
357	и заставляет	2	1
358	своему смыслу	1	1
359	предстает как	1	1
360	на другом	1	1
361	и на	14	1
362	между собой	2	1
363	именно для	1	1
364	с его	4	1
365	внутри этих	1	1
366	своим и	2	1
367	могло быть	1	1
368	в общем	1	1
369	отличие от	1	1
370	в едином	1	1
371	и речи	2	1
372	смысловой и	1	1
373	и сознательное	1	1
374	в настоящем	1	1
375	один и	1	1
376	которые не	1	1
377	представим себе	1	1
378	в истории	3	1
379	конститутивным признаком	1	1
380	стороны и	1	1
381	что как	1	1
382	словом в	4	1
383	перед нами	4	1
384	и где	1	1
385	хотя и	2	1
386	себя так	2	1
387	и к	5	1
388	слова он	1	1
389	которую оно	1	1
390	и свою	1	1
391	о самом	1	1
392	еще на	1	1
393	есть для	2	1
394	все эти	9	1
395	в этой	1	1
396	зависимости от	3	1
397	не могла	2	1
398	в определенном	1	1
399	при этом	6	1
400	только себя	1	1
401	отказа от	1	1
402	что же?	1	1
403	они в	2	1
404	в понимании	3	1
405	и совершенно	1	1
406	он должен	1	1
407	к одному	1	1
408	не к	1	1
409	не как	4	1
410	какой бы	1	1
411	одной и	1	1
412	бы оно	1	1
413	из него	2	1
414	и по	2	1
415	всех своих	2	1
416	одному и	2	1
417	однако в	1	1
418	или иных	1	1
419	именно это	1	1
420	подход к	1	1
421	сущности всегда	1	1
422	есть все	1	1
423	конечно в	1	1
424	входя в	4	1
425	того или	2	1
426	может стать	1	1
427	форму и	1	1
428	существенную форму	1	1
429	и преломления	1	1
430	в это	1	1
431	в них	6	1
432	как общее	1	1
433	но вся	1	1
434	далеко не	5	1
435	всецело в	1	1
436	всегда и	1	1
437	он и	1	1
438	и вне	1	1
439	человек имеет	1	1
440	предмета в	1	1
441	и того	1	1
442	от всякого	2	1
443	и ощущение	1	1
444	этом случае	2	1
445	и без	1	1
446	в котором	2	1
447	в отличие	1	1
448	от его	3	1
449	основе ее	1	1
450	единство и	3	1
451	есть его	1	1
452	без всяких	2	1
453	уже сказали	2	1
454	с такими	1	1
455	где нет	2	1
456	даже в	2	1
457	заставляет его	2	1
458	сам он	1	1
459	например и	1	1
460	запутаться в	1	1
461	какие бы	1	1
462	которое он	1	1
463	дело не	2	1
464	взглянуть на	1	1
465	эта внутренняя	2	1
466	разную степень	1	1
467	к такому	1	1
468	и вместо	1	1
469	находятся в	1	1
470	что самое	1	1
471	слиты и	1	1
472	явление в	2	1
473	они вообще	1	1
474	находиться в	1	1
475	видим что	1	1
476	по своей	1	1
477	притом как	1	1
478	и непосредственного	1	1
479	сводится к	1	1
480	в сознании	2	1
481	так называемый	1	1
482	должны иметь	1	1
483	отталкивается от	1	1
484	только с	1	1
485	за ними	1	1
486	в каком	1	1
487	с другом	2	1
488	не могут	3	1
489	могут быть	19	1
490	понимает и	2	1
491	этот уже	1	1
492	которая есть	1	1
493	единым и	4	1
494	самостоятельно и	1	1
495	всегда в	2	1
496	есть наконец	1	1
497	объединения и	4	1
498	и единственный	3	1
499	с каким	1	1
500	и от	4	1
501	только не	1	1
502	прямо и	4	1
503	с самого	1	1
504	то время	2	1
505	в пределах	14	1
506	не те	1	1
507	дано в	1	1
508	смысле но	1	1
509	на том	2	1
510	они могут	7	1
511	в другом	2	1
512	здесь как	1	1
513	не предмет	1	1
514	на которую	1	1
515	оно все	1	1
516	такое понимание	2	1
517	совершенно невозможно	1	1
518	же просто	1	1
519	языковое сознание	6	1
520	или иной	9	1
521	связанное с	1	1
522	языка или	2	1
523	все дело	1	1
524	о нем	4	1
525	только так	1	1
526	или только	1	1
527	не был	1	1
528	за пределами	2	1
529	таким же	1	1
530	его своим	1	1
531	последнего времени	2	1
532	как чисто	1	1
533	а также	2	1
534	в единую	1	1
535	нас в	2	1
536	язык и	10	1
537	для освещения	1	1
538	от них	1	1
539	но внутренняя	1	1
540	нуждается в	1	1
541	на одном	1	1
542	направлений в	1	1
543	а его	1	1
544	из видов	1	1
545	и полное	1	1
546	в понимаемом	1	1
547	одного из	2	1
548	но с	1	1
549	сделать это	1	1
550	в двух	1	1
551	в поэтическом	7	1
552	в какой	1	1
553	из многих	2	1
554	каждый момент	2	1
555	и так	1	1
556	никак нельзя	1	1
557	не было	3	1
558	второй тип	1	1
559	с одной	4	1
560	именно на	1	1
561	где они	2	1
562	существенным и	1	1
563	конечно не	3	1
564	и у	2	1
565	в виде	2	1
566	в начале	1	1
567	и единой	2	1
568	от других	2	1
569	конечно нет	1	1
570	момент своего	1	1
571	к своим	1	1
572	зрения на	7	1
573	которого на	1	1
574	всяком случае	5	1
575	слова в	8	1
576	философского и	1	1
577	вовсе не	7	1
578	себя от	2	1
579	ее смысла	1	1
580	и перестает	1	1
581	как его	5	1
582	у него	3	1
