N	3gram	Losev_Vlad_3	Hudozhes
1	в отличие от	3	7
2	то же время	2	6
3	в то же	3	6
4	более или менее	5	5
5	с другой стороны	2	5
6	той или иной	1	5
7	в том что	10	5
8	с точки зрения	6	3
9	одно и то	1	3
10	и то же	1	3
11	тем не менее	9	3
12	в этом смысле	3	3
13	и не могло	1	2
14	в том и	1	2
15	в таком случае	2	2
16	и в то	2	2
17	в основе своей	1	2
18	в противном случае	1	2
19	не могло быть	1	2
20	с одной стороны	3	2
21	а с другой	2	2
22	так или иначе	2	2
23	для того чтобы	1	2
24	в том числе	1	2
25	к тому что	2	2
26	сама по себе	1	2
27	однако и в	1	1
28	что иное как	1	1
29	того времени когда	1	1
30	иметь в виду	2	1
31	в виду что	1	1
32	это было бы	1	1
33	в настоящее время	3	1
34	в этом случае	1	1
35	так и его	1	1
36	он мог бы	1	1
37	том случае если	2	1
38	в иных случаях	1	1
39	в которой я	1	1
40	при этом что	1	1
41	бы то ни	3	1
42	сказать что для	1	1
43	настоящего времени то	1	1
44	только то что	1	1
45	в себе и	2	1
46	ясно говорит в	1	1
47	также еще и	1	1
48	несмотря на свою	1	1
49	собственно говоря только	2	1
50	перед нами не	1	1
51	точно так же	4	1
52	отчет в том	1	1
53	значении этого слова	1	1
54	с этой точки	1	1
55	в том случае	3	1
56	и тем и	1	1
57	может быть и	1	1
58	еще не есть	1	1
59	содержит в себе	4	1
60	себе отчет в	2	1
61	то ни было	1	1
62	к своему собственному	1	1
63	в себя и	1	1
64	и потому что	2	1
65	в известном смысле	1	1
66	в сравнении с	2	1
67	в связи с	2	1
68	еще и потому	2	1
69	как впрочем и	1	1
70	в первую очередь	1	1
71	в другом и	1	1
72	так же как	2	1
73	и в том	2	1
74	все то что	1	1
75	что несмотря на	2	1
76	в то время	4	1
77	что даже в	1	1
78	не содержит в	1	1
79	это и есть	1	1
80	о том что	8	1
81	тем и другим	1	1
82	этой точки зрения	1	1
83	они представляются в	1	1
84	включает в себя	1	1
85	собственно говоря и	1	1
86	он еще не	1	1
87	может и не	1	1
88	жизни а также	1	1
89	в данном отношении	1	1
90	не просто о	1	1
91	отдает себе отчет	1	1
92	не что иное	1	1
93	возможна только в	1	1
94	он не только	1	1
95	том что он	1	1
96	не может быть	6	1
97	только при условии	1	1
98	при всей своей	1	1
99	к тому же	5	1
