N	2gram	Trubetskoy_1	FransuaR
1	и в	26	41
2	то есть	4	24
3	мы уже	1	18
4	во всех	2	17
5	таким образом	22	17
6	в нем	4	16
7	и с	10	16
8	тела и	1	15
9	и его	1	13
10	но и	9	13
11	в этом	15	12
12	телом и	1	12
13	все эти	6	11
14	уже говорили	1	11
15	все это	6	11
16	в самом	4	10
17	не только	10	10
18	так как	9	10
19	прежде всего	2	10
20	то что	7	10
21	и на	2	9
22	кроме того	1	9
23	во время	4	9
24	границы между	1	9
25	о том	6	9
26	и все	2	9
27	в сущности	1	8
28	но в	7	8
29	в этой	4	8
30	никогда не	5	8
31	и до	1	7
32	в них	2	7
33	как и	1	7
34	том что	7	7
35	в его	5	7
36	у него	1	7
37	как бы	12	7
38	что в	9	7
39	части тела	1	6
40	в эпоху	7	6
41	в то	4	6
42	в образе	2	6
43	один из	2	6
44	мы видим	1	6
45	с помощью	1	6
46	вместе с	15	6
47	сказать что	2	6
48	что он	4	6
49	с его	2	5
50	в ее	1	5
51	в своем	3	5
52	что это	3	5
53	в себе	6	5
54	то же	4	5
55	той же	1	5
56	тем что	1	5
57	так и	6	5
58	и что	4	5
59	а также	2	5
60	же время	2	5
61	до нас	1	5
62	из них	7	5
63	в одном	3	5
64	там где	1	5
65	так же	5	5
66	в той	1	5
67	одним из	2	4
68	того же	6	4
69	самом деле	1	4
70	в ней	1	4
71	как в	1	4
72	и как	3	4
73	и наконец	2	4
74	та же	1	4
75	в преисподнюю	1	4
76	не в	2	4
77	даже в	1	4
78	но они	1	4
79	того чтобы	5	4
80	все же	6	4
81	у нас	1	4
82	и образ	1	4
83	роль в	1	4
84	с ним	1	4
85	тот же	2	4
86	всех его	1	4
87	с одной	7	4
88	уже в	2	4
89	в результате	3	4
90	в котором	4	4
91	и даже	3	4
92	с другой	8	4
93	именно в	2	4
94	одной стороны	7	4
95	и от	4	4
96	о котором	2	4
97	а в	4	4
98	не может	4	4
99	из этого	2	4
100	все что	2	4
101	говорили о	2	3
102	он сам	1	3
103	людей в	1	3
104	в чем	1	3
105	в одной	1	3
106	с этим	1	3
107	в первом	1	3
108	при этом	3	3
109	людей и	2	3
110	связанных с	2	3
111	на все	2	3
112	с другими	4	3
113	было бы	1	3
114	весь мир	1	3
115	в ад	1	3
116	и их	1	3
117	к этим	1	3
118	потому что	7	3
119	только с	1	3
120	этом отношении	2	3
121	в индии	8	3
122	те же	2	3
123	до сих	5	3
124	к нему	7	3
125	во втором	1	3
126	того что	3	3
127	одной из	5	3
128	только в	4	3
129	конечно не	2	3
130	в начале	2	3
131	страха перед	1	3
132	связано с	2	3
133	и самый	1	3
134	не были	1	3
135	и особенно	2	3
136	в данном	1	3
137	и смерти	1	3
138	и не	8	3
139	с этой	3	3
140	сих пор	5	3
141	но это	1	3
142	и для	5	3
143	пор еще	2	3
144	первом случае	1	3
145	жизни и	2	3
146	они не	1	3
147	всем и	2	2
148	как известно	1	2
149	с образом	1	2
150	связана с	2	2
151	это и	1	2
152	с точки	6	2
153	мы не	1	2
154	в народных	3	2
155	природы и	1	2
156	землю и	1	2
