N	4gram	Vinokur_St_1	Myshleni
1	заключается в том что	2	4
2	в той мере в	1	2
3	в том что он	1	2
4	той мере в какой	1	2
5	в то время как	1	2
6	в той же мере	1	2
7	в том и другом	1	2
8	одним и тем же	2	2
9	никаких сомнений в том	1	1
10	только в том что	1	1
11	того чтобы получить ответ	1	1
12	внимание на то что	1	1
13	о том что в	1	1
14	в том числе и	2	1
15	в том что в	2	1
16	что с точки зрения	1	1
17	сомнений в том что	1	1
18	так же как и	1	1
19	по этому поводу в	1	1
20	для того чтобы получить	1	1
21	не давая себе труда	1	1
22	в своем направлении и	1	1
23	чтобы получить ответ на	1	1
