N	2gram	Nazirov_Tv_1	Tragedij
1	и в	21	18
2	и оскорбленных	4	17
3	униженных и	4	16
4	в романе	10	10
5	в году	7	9
6	в этом	6	9
7	князь валковский	2	9
8	и оскорбленные	2	9
9	униженные и	2	9
10	в бесах	3	9
11	не только	7	8
12	он сам	6	7
13	и с	3	7
14	и на	7	7
15	достоевский в	3	7
16	может быть	5	7
17	как бы	17	7
18	и не	7	7
19	ивана петровича	1	6
20	но в	7	6
21	и его	6	6
22	в образе	1	6
23	же время	12	6
24	что он	6	6
25	у него	7	6
26	в униженных	1	6
27	то же	13	5
28	все же	5	5
29	что это	1	5
30	это не	4	5
31	как и	12	5
32	в то	15	5
33	в дальнейшем	3	5
34	так и	2	5
35	это очень	1	5
36	не может	4	5
37	к жизни	2	5
38	у достоевского	28	5
39	а я	1	5
40	я не	3	4
41	еще не	1	4
42	в себе	2	4
43	в целом	4	4
44	что достоевский	7	4
45	в этой	5	4
46	иваном петровичем	1	4
47	в нем	3	4
48	об этом	2	4
49	том что	11	4
50	что я	3	4
51	достоевский не	4	4
52	и что	1	4
53	но и	3	4
54	и даже	3	4
55	прежде всего	4	4
56	так же	3	4
57	но это	5	4
58	все это	10	4
59	что в	12	4
60	и все	6	4
61	то что	8	4
62	к людям	1	3
63	достоевского в	12	3
64	в мире	4	3
65	и он	2	3
66	своего рода	4	3
67	отнюдь не	5	3
68	как в	8	3
69	в своем	4	3
70	и как	4	3
71	романтический эстетизм	2	3
72	все эти	1	3
73	при этом	7	3
74	то есть	12	3
75	сам достоевский	2	3
76	тем самым	7	3
77	что с	1	3
78	о чем	1	3
79	с ее	3	3
80	и сам	1	3
81	жизнь и	1	3
82	с ним	3	3
83	к нему	1	3
84	в его	13	3
85	один из	4	3
86	романа и	1	3
87	уже в	3	3
88	записках из	3	3
89	романе идиот	4	3
90	для него	6	3
91	в конце	1	3
92	как будто	5	3
93	иван петрович	1	3
94	как это	1	3
95	в основном	4	3
96	социального зла	1	3
97	неточки незвановой	1	3
98	ставрогина и	1	3
99	вряд ли	2	2
100	в первом	2	2
101	из самых	1	2
102	и до	1	2
103	а как	2	2
104	никогда не	3	2
105	он был	1	2
106	не был	3	2
107	столь же	1	2
108	в преступлении	6	2
109	с его	11	2
110	роман достоевского	1	2
111	отличие от	2	2
112	так что	2	2
113	и я	1	2
114	как говорит	1	2
115	о жизни	1	2
116	романах достоевского	15	2
117	это был	1	2
118	перед нами	2	2
119	боли и	1	2
120	говорит что	2	2
121	в самом	3	2
122	бы и	1	2
123	то и	1	2
