N	3gram	Tiupa_Hudo_1	Analitik
1	не может быть	2	16
2	в том что	6	9
3	в то же	8	8
4	на наш взгляд	2	6
5	то же время	8	6
6	в отличие от	1	6
7	по отношению к	8	5
8	факторов художественного впечатления	1	5
9	времени и пространстве	1	4
10	в конечном счете	2	4
11	с точки зрения	3	4
12	о том что	9	3
13	с одной стороны	1	3
14	в таком случае	1	3
15	и т п	8	3
16	во времени и	1	3
17	состоит в том	1	3
18	того или иного	2	3
19	себя в другом	1	3
20	не в том	2	3
21	того и другого	1	2
22	при встрече с	2	2
23	но в то	3	2
24	и того и	1	2
25	в равной степени	1	2
26	в этом отношении	3	2
27	в самом деле	4	2
28	то же самое	1	2
29	именно в этом	1	2
30	в свое время	1	2
31	сами по себе	1	2
32	в том и	1	2
33	том что он	1	2
34	не сводится к	1	2
35	автора и читателя	1	2
36	в первом случае	1	2
37	в данном случае	1	2
38	и быть может	3	1
39	в литературном произведении	1	1
40	таком взгляде на	1	1
41	сознания не только	1	1
42	во всяком случае	1	1
43	в науке о	1	1
44	здесь имеется и	1	1
45	в том случае	1	1
46	друг с другом	1	1
47	вне всякого сомнения	1	1
48	в частности к	1	1
49	ставим перед собой	1	1
50	подхода к художественному	1	1
51	в полном соответствии	1	1
52	при таком взгляде	1	1
53	о себе знать	1	1
54	то в основе	1	1
55	ему самому в	1	1
56	как и в	3	1
57	опять как и	1	1
58	субъекта к объекту	1	1
59	теории литературы и	1	1
60	до сих пор	2	1
61	не вызывает сомнений	1	1
62	специфически человеческий способ	1	1
63	может претендовать на	1	1
64	ни с какой	1	1
65	в этом смысле	1	1
66	к тому что	4	1
67	целостного духовного самоопределения	2	1
68	том случае если	1	1
69	творения в его	1	1
70	самом деле в	2	1
71	человеческий способ существования	1	1
72	и та же	1	1
73	такой же мере	2	1
74	организации текста и	1	1
75	несет в себе	3	1
76	как нам представляется	1	1
77	и состоит что	1	1
78	таит в себе	1	1
79	в этой связи	4	1
80	художественного целого в	1	1
81	никогда не бывает	1	1
82	в своей эстетической	1	1
83	на самом же	1	1
84	более или менее	1	1
85	не только в	2	1
86	как будто бы	1	1
87	не может претендовать	1	1
88	человеческого бытия и	2	1
89	только в том	2	1
90	в свою очередь	1	1
91	в результате которой	1	1
92	речь идет об	1	1
93	между тем в	1	1
94	первой из них	1	1
95	художественности при этом	1	1
96	в связи с	3	1
97	в пределах текста	1	1
98	то что мы	1	1
99	духовного самоопределения личности	1	1
100	целого в этом	1	1
101	прежде всего в	1	1
102	может быть найден	1	1
103	все же не	1	1
104	и в самом	3	1
105	в такой же	2	1
106	эстетический анализ текста	1	1
107	одна и та	1	1
108	самом же деле	1	1
109	в равной мере	2	1
110	и на тех	1	1
111	по своему содержанию	1	1
112	литература xx века	1	1
113	том и состоит	1	1
114	только в качестве	1	1
115	о нем но	1	1
116	по своей природе	2	1
117	с ним в	1	1
118	полном соответствии с	1	1
119	при этом мы	1	1
120	как уже говорилось	1	1
121	что же касается	2	1
122	и как будто	1	1
123	организации художественного целого	1	1
124	состоит что он	1	1
125	этой точки зрения	1	1
126	точки зрения в	1	1
127	с этой точки	1	1
128	не в его	1	1
129	на первый взгляд	1	1
130	о том как	2	1
131	я никогда не	1	1
