N	3gram	Voloshinov_1	Myslijsy
1	то что я	1	7
2	в том что	1	7
3	по крайней мере	3	5
4	не может быть	3	5
5	о том что	2	5
6	то же самое	1	4
7	до сих пор	3	4
8	и в этом	2	4
9	можно сказать что	3	4
10	для того чтобы	1	4
11	на самом деле	4	3
12	с точки зрения	6	3
13	вместе с тем	1	3
14	во всяком случае	3	3
15	и таким образом	1	3
16	мы не можем	1	3
17	что иное как	1	2
18	подобно тому как	1	2
19	в том смысле	1	2
20	рано или поздно	1	2
21	в данном случае	1	2
22	не могут быть	2	2
23	в большинстве случаев	3	2
24	не что иное	1	2
25	можем сказать что	1	2
26	другими словами мы	1	1
27	и говорить о	1	1
28	в следующем в	1	1
29	на чем держится	1	1
30	даже тогда когда	1	1
31	и того же	1	1
32	дело в том	1	1
33	он может быть	1	1
34	со всех сторон	1	1
35	а потом и	1	1
36	которое достаточно для	1	1
37	довести до сознания	1	1
38	и та же	1	1
39	а может быть	1	1
40	в этом отношении	1	1
41	может быть только	1	1
42	и потому мы	1	1
43	что есть в	1	1
44	что может быть	1	1
45	с одной стороны	1	1
46	на первый взгляд	1	1
47	еще не имеет	1	1
48	в связи с	1	1
49	человека и все	1	1
50	как один из	1	1
51	частей тела и	1	1
52	какое значение для	1	1
53	что я в	1	1
54	имеем дело с	1	1
55	один из моментов	1	1
56	одна и та	1	1
57	и проч самый	1	1
58	все то что	2	1
59	в свое время	1	1
60	те же что	1	1
61	на наших глазах	1	1
62	сказать что эти	1	1
63	с самого начала	4	1
64	нам в голову	1	1
65	одного и того	1	1
66	и ту же	1	1
67	все что не	1	1
68	и быть не	1	1
69	в каком отношении	1	1
70	быть не может	1	1
71	на всю жизнь	1	1
72	одну и ту	1	1
73	что рано или	1	1
74	самом деле есть	1	1
75	представлений и слов	1	1
