N	2gram	Tiupa_Hudo_2	BTomashe
1	и не	18	2
2	в ней	3	2
3	можно было	3	2
4	все это	3	2
5	не то	1	2
6	говорить о	2	1
7	по нашему	1	1
8	с другой	3	1
9	о свободе	1	1
10	не все	3	1
11	совершенно не	1	1
12	в своей	6	1
13	остановиться на	1	1
14	между ними	2	1
15	и о	4	1
16	в области	1	1
17	до конца	1	1
18	и ее	3	1
19	только сейчас	1	1
20	и в	28	1
21	будто бы	3	1
22	так и	8	1
23	то как	1	1
24	за пределы	1	1
25	не о	1	1
26	установка на	1	1
27	об этом	7	1
28	представляется нам	2	1
29	что все	3	1
30	же не	2	1
31	и нет	1	1
32	не было	6	1
33	было бы	3	1
34	начинает говорить	1	1
35	отнюдь не	2	1
36	одной из	3	1
37	и потому	1	1
38	в пределах	1	1
39	в значительной	1	1
40	никак не	1	1
41	все же	2	1
42	о них	3	1
43	и более	1	1
44	прежде всего	3	1
45	что в	5	1
46	к ней	2	1
47	всего в	1	1
48	а о	2	1
49	еще не	3	1
50	как будто	4	1
51	в речи	1	1
52	не только	11	1
53	в данном	2	1
54	не следует	1	1
55	и на	3	1
56	другой стороны	1	1
57	учителя словесности	1	1
58	из ее	1	1
59	значительной степени	1	1
60	а не	14	1
