N	2gram	Propp_Isto_1	Russkaja
1	не может	15	22
2	и не	9	19
3	в том	9	17
4	в этом	8	17
5	и в	28	14
6	с другом	3	14
7	друг с	4	14
8	то что	9	13
9	то же	12	11
10	таким образом	8	11
11	в то	3	10
12	но и	10	10
13	в себе	2	9
14	не только	12	9
15	том что	7	9
16	может быть	25	9
17	во всяком	1	9
18	того чтобы	1	8
19	прежде всего	10	8
20	отнюдь не	1	7
21	и если	2	7
22	и с	4	7
23	к тому	6	7
24	стремление к	1	7
25	о том	9	7
26	мы должны	13	7
27	ни к	2	7
28	к которой	1	6
29	в своем	5	6
30	и к	1	6
31	с тем	4	6
32	если бы	8	6
33	все это	4	6
34	и для	4	6
35	для того	1	6
36	что он	10	6
37	для всех	2	6
38	для него	2	6
39	на самом	1	6
40	вопрос о	5	5
41	и на	4	5
42	между собой	4	5
43	во всех	2	5
44	на то	4	5
45	в нем	2	5
46	при этом	3	5
47	он не	2	5
48	он должен	2	5
49	было бы	7	5
50	в своей	1	5
51	никогда не	14	5
52	потому что	4	5
53	между тем	2	5
54	и только	2	5
55	только в	11	5
56	хотя бы	4	5
57	конечно не	2	5
58	до сих	5	5
59	из которых	3	5
60	по существу	5	5
61	сих пор	5	5
62	а в	7	5
63	и то	1	4
64	бы то	2	4
65	но не	5	4
66	себя в	2	4
67	все же	10	4
68	более или	5	4
69	не в	9	4
70	в этой	6	4
71	тому чтобы	1	4
72	то ни	2	4
73	в совершенно	1	4
74	том случае	1	4
75	его в	6	4
76	как и	4	4
77	которой он	1	4
78	или менее	5	4
79	в их	3	4
80	точку зрения	3	4
81	тогда когда	2	4
82	во всем	3	4
83	не могут	2	4
84	приводит к	2	4
85	идет речь	1	4
86	можно было	5	4
87	путь к	1	4
88	в его	5	4
89	так как	6	4
90	со стороны	2	4
91	вместе с	6	4
92	он будет	1	4
93	что же	3	4
94	как бы	2	4
95	отказаться от	2	4
96	что в	12	4
97	к этой	1	4
98	и т	25	3
99	то в	1	3
100	и этот	1	3
101	так чтобы	2	3
102	говорить о	1	3
103	еще не	7	3
104	из этих	1	3
105	что они	5	3
106	что это	8	3
107	главным образом	1	3
108	на том	1	3
109	и по	3	3
110	в другом	3	3
111	несмотря на	1	3
112	должно быть	2	3
113	всех этих	2	3
114	но если	2	3
115	и сейчас	1	3
116	таким же	1	3
117	мы говорили	1	3
118	знаем что	1	3
119	том чтобы	2	3
120	можно ли	1	3
121	одна из	2	3
122	связи с	4	3
123	то это	3	3
124	точке зрения	1	3
125	что оно	1	3
126	приходит к	1	3
127	собой и	1	3
128	для этого	3	3
129	сводится к	1	3
130	может не	1	3
131	при котором	1	3
