N	3gram	Medvedev_U_1	Istorich
1	до сих пор	2	6
2	в том что	2	5
3	в этом случае	1	5
4	мы имеем в	1	5
5	не только в	1	4
6	с одной стороны	1	3
7	с тем что	1	3
8	с другой стороны	3	2
9	не может быть	4	2
10	на то что	1	2
11	так или иначе	1	1
12	часто бывает что	1	1
13	в отдельности и	1	1
14	сам по себе	1	1
15	он прежде всего	1	1
16	по существу то	1	1
17	и прежде всего	1	1
18	и не только	1	1
19	но это не	1	1
20	этого сложного и	1	1
21	то что было	1	1
22	все же остается	1	1
23	а как живой	1	1
24	друг с другом	1	1
25	они до сих	1	1
26	другой стороны в	1	1
27	только в этом	1	1
