N	3gram	Trubetskoy_1	Vvedenie
1	для того чтобы	7	20
2	в том что	15	12
3	о том что	4	12
4	не может быть	3	8
5	тем не менее	4	8
6	до сих пор	8	6
7	в самом деле	5	6
8	то же время	2	6
9	в то же	2	6
10	с другой стороны	4	5
11	в широком смысле	1	5
12	с течением времени	4	5
13	не трудно видеть	1	5
14	по отношению к	9	4
15	в этом случае	4	4
16	можно было бы	1	4
17	по крайней мере	1	4
18	в данном случае	3	4
19	по сравнению с	5	4
20	так или иначе	5	4
21	во всяком случае	2	4
22	трудно видеть что	1	4
23	с одной стороны	2	4
24	в том виде	2	3
25	вместе с тем	2	3
26	широком смысле слова	1	3
27	и в том	2	3
28	заключается в том	2	3
29	но все же	2	3
30	как мы видели	1	3
31	что несмотря на	2	2
32	состоит в том	1	2
33	дело в том	1	2
34	и той же	1	2
35	не говоря уже	1	2
36	не может служить	2	2
37	то же самое	1	2
38	что же касается	2	2
39	с точки зрения	8	2
40	принять во внимание	2	2
41	точно так же	1	2
42	может быть и	4	2
43	можно представить себе	1	2
44	в конце концов	4	2
45	на задний план	1	2
46	смысле этого слова	1	2
47	не в том	1	2
48	в связи с	3	2
49	но вместе с	1	2
50	в целом ряде	3	2
51	а так как	1	2
52	и что следовательно	1	2
53	по этому поводу	1	2
54	сильнее чем в	1	2
55	одной и той	1	2
56	и при том	1	2
57	мы уже знаем	1	2
58	таким образом по	1	2
59	в большей степени	1	2
60	одна от другой	1	2
61	и в конце	1	1
62	и для того	1	1
63	и того же	3	1
64	а между тем	8	1
65	а потому что	1	1
66	национальной культуры в	1	1
67	не может не	3	1
68	точки зрения на	1	1
69	судя по его	1	1
70	того что в	1	1
71	не только по	1	1
72	в начале этой	2	1
73	истории других народов	1	1
74	более или менее	7	1
75	на самом деле	7	1
76	в настоящее время	2	1
77	в самом широком	1	1
78	идет речь в	1	1
79	никак не может	1	1
80	том же направлении	1	1
81	что одним из	1	1
82	в том же	3	1
83	тогда когда оно	1	1
84	том виде в	1	1
85	в этом пункте	1	1
86	целом ряде других	1	1
87	в котором они	1	1
88	тем что она	1	1
89	в лучшем случае	1	1
90	кто так или	1	1
91	говоря уже о	1	1
92	нем не осталось	1	1
93	представление о том	1	1
94	также и то	1	1
95	только в том	1	1
96	только то что	2	1
97	то что входит	1	1
98	совершенно ясно что	1	1
99	заключает в себе	2	1
100	том или ином	1	1
101	между тем мы	1	1
102	нечего и говорить	3	1
103	с этой точки	1	1
104	том виде как	1	1
105	и то что	3	1
106	в зависимости от	1	1
107	взгляда на историю	1	1
108	одно и то	1	1
109	самом деле есть	1	1
110	все то что	1	1
111	во всех отношениях	1	1
112	в том или	1	1
113	уже о том	1	1
114	речь в общем	1	1
115	тот факт что	4	1
116	так же как	3	1
117	то что у	2	1
118	это может быть	1	1
119	в европейской науке	2	1
120	и т.д в	1	1
121	то ни было	2	1
122	именно в этой	1	1
123	и то же	1	1
124	и в целом	1	1
125	таким образом для	1	1
126	одно из двух	1	1
127	в нем не	1	1
128	что мы можем	1	1
129	бы то ни	2	1
130	в одно целое	1	1
131	лишь в том	5	1
132	о котором мы	1	1
133	с этой целью	1	1
134	этой точки зрения	1	1
135	а в том	1	1
136	что с течением	1	1
137	может быть не	1	1
138	у него в	1	1
139	что входит в	1	1
140	до тех пор	1	1
141	в общих чертах	1	1
142	то обстоятельство что	1	1
143	таким образом мы	1	1
144	два различных аспекта	1	1
145	же самое что	1	1
146	то для того	1	1
147	разница лишь в	1	1
148	одним из самых	1	1
149	в свою очередь	2	1
150	та или иная	1	1
151	уже и сейчас	1	1
152	не только с	1	1
153	с самого начала	1	1
154	что это есть	1	1
155	именно потому что	2	1
156	так как эта	1	1
157	в его собственной	1	1
158	только тогда когда	1	1
159	одного и того	3	1
160	но с другой	1	1
161	и все прочие	1	1
162	в европе и	1	1
163	к тому что	1	1
164	только в этом	1	1
165	в силу указанных	1	1
166	все это делает	1	1
167	большая или меньшая	1	1
168	быть и не	1	1
169	того чтобы быть	2	1
170	из того что	1	1
171	как мы знаем	1	1
